,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,244053000,225419000,274184000,271629000,311388000,305214000,292297000,326409000,385376000,367049000,351338000,338123000,337928000,318061000,298961000,316886000,377169000,357956000,350124000,370991000,428343000,450383000
IncomeRevenues_yy,,,,,27.59,35.40,6.61,20.17,23.76,20.26,20.20,3.59,-12.31,-13.35,-14.91,-6.28,11.61,12.54,17.11,17.07,13.57,25.82
IncomeRevenues_sy,,,,,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35
IncomeRevenues_qq,,-7.64,21.63,-0.93,14.64,-1.98,-4.23,11.67,18.07,-4.76,-4.28,-3.76,-0.06,-5.88,-6.00,6.00,19.02,-5.09,-2.19,5.96,15.46,5.15
IncomeRevenues_sq,,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52
IncomeCostOfSales,233464000,214212000,255133000,250018000,284492000,278537000,268679000,299632000,360898000,335292000,312789000,298090000,296857000,281555000,270305000,286908000,346272000,331956000,322172000,339986000,392794000,404217000
IncomeCostOfSales_yy,,,,,21.86,30.03,5.31,19.84,26.86,20.38,16.42,-0.51,-17.74,-16.03,-13.58,-3.75,16.65,17.90,19.19,18.50,13.44,21.77
IncomeCostOfSales_sy,,,,,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94
IncomeCostOfSales_qq,,-8.25,19.10,-2.01,13.79,-2.09,-3.54,11.52,20.45,-7.10,-6.71,-4.70,-0.41,-5.15,-4.00,6.14,20.69,-4.13,-2.95,5.53,15.53,2.91
IncomeCostOfSales_sq,,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26
IncomeDistributionExpenses,3251000,3355000,4314000,4463000,4919000,6007000,5232000,4855000,5546000,5137000,4980000,5732000,5345000,5763000,5730000,6185000,6726000,6347000,6619000,6017000,7452000,7989000
IncomeDistributionExpenses_yy,,,,,51.32,79.05,21.29,8.80,12.74,-14.49,-4.81,18.05,-3.62,12.20,15.06,7.91,25.82,10.13,15.51,-2.71,10.81,25.88
IncomeDistributionExpenses_sy,,,,,7.13,8.62,5.08,8.22,-1.01,4.11,2.64,5.01,6.76,-2.70,-1.09,10.09,2.58,8.16,11.96,8.94,3.42,0.44
IncomeDistributionExpenses_qq,,3.21,28.57,3.45,10.23,22.12,-12.90,-7.20,14.22,-7.38,-3.04,15.08,-6.74,7.81,-0.57,7.94,8.74,-5.63,4.29,-9.09,23.85,7.20
