,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,5123000,5141000,3512000,4653000,6234000,5357000,4225000,5401000,6352000,7102000,6423000,9588000,21445000,14930000,14834000,15726000,24930000,23669000,20325000,22829000,29378000,28877000,28205000,37395000
IncomeRevenues_yy,,,,,21.68,4.20,20.33,16.07,1.90,32.58,52.00,77.52,237.62,110.22,130.96,64.02,16.25,58.53,37.02,45.17,17.84,22.00,38.77,63.81
IncomeRevenues_sy,,,,,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57
IncomeRevenues_qq,,0.35,-31.69,32.51,33.96,-14.07,-21.12,27.82,17.61,11.81,-9.56,49.28,123.67,-30.38,-0.64,6.01,58.53,-5.06,-14.13,12.32,28.69,-1.71,-2.33,32.59
IncomeRevenues_sq,,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23
IncomeCostOfSales,10941000,3662000,2617000,3165000,3911000,3620000,2773000,3709000,4032000,5015000,4391000,7333000,16880000,11534000,10584000,12426000,19539000,18281000,16508000,19665000,22954000,23267000,21919000,28819000
IncomeCostOfSales_yy,,,,,-64.25,-1.15,5.95,17.19,3.08,38.54,58.37,97.69,318.66,130.01,141.02,69.45,15.75,58.49,55.97,58.26,17.48,27.28,32.78,46.55
IncomeCostOfSales_sy,,,,,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45
IncomeCostOfSales_qq,,-66.53,-28.53,20.94,23.58,-7.46,-23.40,33.77,8.70,24.38,-12.44,66.99,130.20,-31.67,-8.24,17.41,57.25,-6.44,-9.70,19.13,16.73,1.36,-5.79,31.48
IncomeCostOfSales_sq,,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18
IncomeDistributionExpenses,1372000,400000,471000,493000,484000,329000,330000,232000,262000,373000,420000,193000,425000,392000,1125000,647000,645000,927000,736000,999000,1191000,875000,1037000,1295000
IncomeDistributionExpenses_yy,,,,,-64.74,-17.79,-29.99,-52.84,-45.90,13.57,27.33,-17.03,62.58,5.12,167.98,235.91,51.59,136.35,-34.61,54.26,84.67,-5.65,41.05,29.63
IncomeDistributionExpenses_sy,,,,,-34.71,-11.60,-11.91,3.44,-3.02,-2.34,-18.11,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,-2.35,19.68,22.84
