,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,58714000,65848000,46746000,59288000,147277000,48522000,94949000,75206000,72522000,164093000,78739000,94328000,87948000,83883000,71980000,68055000,69233000,109683000,84221000,76848000,67475000,125872000,94436000,93418000,84191000,222287000,187115000,139979000,258197000,153217000,157539000,145100000,109043000,-231000,129025000,164438000,172200000,188205000,166555000,190826000,183939000,195836000,211739000,222775000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136398000,160272000,,178325000,192142000,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8446000,14635000,,13649000,14162000,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5446000,-458000
IncomeGrossProfit,-804000,4971000,21355000,-333000,11782000,7150000,8255000,15935000,16296000,2631000,11454000,12416000,6003000,1926000,20064000,1522000,7824000,4364000,-2084000,21604000,11977000,7283000,6184000,25811000,32019000,19983000,29753000,11230000,15284000,12572000,5050000,3001000,9106000,19481000,15176000,19123000,21711000,15919000,19783000,14173000,19765000,16471000,187000,1234000
IncomeOtherOperatingIncome,5212000,-984000,1010000,-439000,2244000,829000,3291000,1844000,3068000,1828000,-274000,634000,2239000,50992000,2009000,1977000,2719000,2719000,788000,17348000,2005000,9010000,6479000,-5780000,3185000,4192000,3619000,497000,1771000,2009000,1138000,-2331000,503000,576000,2888000,747000,6145000,-2666000,4643000,-2139000,2295000,1250000,1472000,1617000
IncomeOtherOperatingCosts,2759000,455000,2579000,8658000,4603000,4318000,3403000,4081000,2813000,4739000,1501000,861000,3383000,10149000,4666000,9795000,4123000,3557000,3578000,7770000,3583000,6952000,8355000,8329000,6941000,8160000,6353000,8918000,6157000,5470000,4310000,-7732000,1992000,1286000,3301000,964000,10851000,-38000,5775000,3366000,9579000,9298000,4161000,-841000
IncomeEBIT,1649000,3532000,19786000,-9430000,9423000,3661000,8143000,13698000,16551000,-280000,9679000,12189000,4859000,42769000,17407000,-6296000,6420000,3526000,-4874000,31182000,10399000,9341000,4308000,11702000,28263000,16015000,27019000,2809000,10898000,9111000,1878000,8402000,7617000,18771000,14763000,18906000,17005000,13291000,18651000,8668000,12481000,8423000,,
IncomeFinanceIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144000,130000,,172000,101000,181000,3733000,4998000
IncomeFinanceCosts,300000,1887000,2673000,1894000,1522000,1315000,1145000,1696000,2127000,1793000,1261000,4039000,7199000,7591000,-9322000,3404000,3421000,4118000,3109000,2974000,3403000,4666000,4474000,5001000,4269000,5147000,3058000,4115000,2702000,3279000,-8050000,405000,349000,508000,399000,897000,718000,737000,1472000,1600000,1660000,548000,-413000,183000
IncomeOtherIncome,4073000,127000,313000,106000,119000,39000,-75000,161000,174000,4370000,1130000,2045000,8096000,122000,92000,277000,4995000,-5127000,280000,362000,231000,-76000,-82000,60000,76000,,,,,,,,,,,,4528000,-4987000,-3166000,7305000,18026000,-11790000,7635000,2258000
IncomeNetGrossProfit,6867000,12478000,14855000,-2246000,8060000,15298000,1950000,37615000,17912000,3148000,3108000,382000,-3997000,22946000,7705000,6300000,-127000,7152000,23180000,11806000,21948000,-303000,6783000,6409000,-1401000,16452000,7212000,18422000,14255000,18507000,16252000,12703000,17640000,7196000,11053000,6864000,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4528000,-4987000,-3166000,7305000,18026000,-11790000,7635000,2258000
IncomeBeforeTaxProfit,6867000,12478000,14855000,-2246000,8060000,15298000,1950000,37615000,17912000,3148000,3108000,382000,-3997000,22946000,7705000,6300000,-127000,7152000,23180000,11806000,21948000,-303000,6783000,6409000,-1401000,16452000,7212000,18422000,14255000,18507000,16252000,12703000,17640000,7196000,11053000,6864000,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,635000,169000,445000,6052000,,,,,,,3871000,-4050000,-3693000,6254000,14134000,-9786000,5823000,3135000,5274000,10266000,12876000,-2946000
IncomeNetProfit,6442000,13169000,408000,33905000,14441000,311000,2011000,-505000,-4150000,20370000,5794000,4779000,36000,3036000,19681000,9472000,17716000,-664000,5200000,5764000,16000,21363000,6662000,15747000,11513000,12811000,13004000,13246000,15445000,6364000,8764000,3893000,3871000,-4050000,-3693000,6254000,14134000,-9786000,5823000,3135000,5274000,10266000,12876000,-2946000
IncomeShareholderNetProfit,6442000,13169000,408000,33905000,14441000,311000,2011000,-505000,-4150000,20370000,5794000,4779000,36000,3036000,19681000,9472000,17716000,-664000,5200000,5764000,16000,21363000,6662000,15747000,11513000,12811000,13004000,13246000,15445000,6364000,8764000,3893000,,,,,,,,,,,,
BalanceNoncurrentAssets,34905000,39623000,43929000,48969000,49159000,54256000,52889000,52820000,52202000,51690000,51415000,110806000,120923000,132778000,151684000,165027000,166958000,175000000,180972000,180004000,169673000,168205000,169963000,156262000,156135000,157280000,154601000,152458000,155198000,161668000,188477000,199037000,193419000,191954000,227530000,47742000,62653000,81654000,84464000,86617000,97390000,90669000,779000,800000
BalanceIntangibleAssets,812000,806000,801000,822000,854000,887000,876000,867000,849000,836000,881000,874000,862000,825000,911000,1153000,1127000,1110000,1074000,1049000,1007000,965000,928000,896000,869000,840000,1019000,850000,721000,888000,888000,1254000,1337000,808000,906000,931000,944000,1265000,1257000,467000,31015000,33734000,37288000,41896000
BalanceProperty,42081000,46698000,46046000,44266000,44302000,44050000,43490000,102891000,112110000,124667000,137984000,153440000,150317000,142760000,147627000,140713000,137608000,137285000,136837000,136324000,136019000,134134000,137584000,136110000,140923000,140692000,140224000,134951000,135318000,137111000,137348000,32151000,46136000,58774000,59602000,62854000,75812000,74539000,2820000,2811000,3601000,3594000,3585000,2777000
BalanceNoncurrentReceivables,2768000,3051000,2888000,2805000,2798000,2841000,3708000,3614000,3704000,235000,3647000,3634000,241000,11884000,11884000,76000,76000,76000,76000,,,,,,,,,,,,,,291000,2278000,2228000,2673000,2692000,2513000,2243000,1929000,1749000,1801000,2208000,2320000
BalanceNoncurrInvestments,2228000,2374000,2937000,2742000,2903000,17698000,21349000,18767000,19107000,21778000,22804000,8074000,8458000,9175000,5979000,5805000,6237000,6839000,33863000,37559000,40273000,42991000,76906000,6557000,7300000,8126000,8704000,10809000,5827000,4144000,,0,0,0,,1446000,978000,2687000,2387000,2167000,2070000,1918000,1996000,1249000
BalanceOtherNoncurrentAssets,6197000,7785000,9180000,9755000,10628000,7530000,0,8017000,9239000,10823000,10654000,13075000,10169000,9703000,7019000,13287000,13669000,25639000,16940000,10598000,11939000,8226000,8311000,13823000,15214000,11689000,14494000,11519000,291261000,343208000,405174000,459803000,412187000,430243000,379618000,369292000,306000000,296386000,324907000,263206000,345652000,365047000,504606000,515898000
BalanceCurrentAssets,565577000,625674000,666958000,681909000,721355000,816756000,869932000,826980000,798686000,824968000,700680000,679848000,728768000,694077000,769978000,664152000,741880000,776820000,708993000,255872000,264768000,289787000,292189000,321754000,446918000,384307000,222375000,286308000,342915000,407438000,359522000,372103000,336473000,326460000,251686000,259887000,239110000,186377000,261665000,298841000,432997000,460767000,502060000,568394000
BalanceInventory,613393000,645904000,671606000,728398000,785008000,715299000,681537000,706362000,576903000,522659000,525850000,520594000,529088000,445445000,473861000,498264000,458501000,71911000,112433000,135901000,134668000,177234000,285476000,247300000,31989000,26272000,37506000,34694000,38152000,42409000,28448000,33971000,32010000,25153000,37183000,57580000,51588000,40462000,50786000,36816000,42421000,43999000,38534000,32443000
BalanceCurrentReceivables,17501000,53059000,59363000,74124000,56711000,56172000,62725000,68955000,44176000,40878000,93006000,48951000,57353000,62198000,79927000,70960000,50571000,91742000,94076000,80782000,102466000,107592000,2899000,2962000,3008000,3056000,3111000,2319000,2362000,2404000,2493000,2538000,2584000,1706000,1734000,1761000,1788000,,,,,,,
BalanceCurrentInvestments,,,,,,,9000000,9000000,5800000,5800000,5748000,5840000,5200000,33998000,27666000,21745000,14615000,11402000,13412000,12335000,3616000,17187000,6035000,41350000,13713000,27620000,20661000,13781000,15080000,17397000,7439000,10419000,3562000,32248000,30122000,20573000,33656000,55906000,55024000,55050000,83645000,153418000,126565000,141642000
BalanceCash,155372000,195310000,201001000,151773000,105060000,92536000,43414000,44593000,45660000,43713000,17456000,,,,,,,,2841000,2624000,2773000,4680000,3830000,3045000,3322000,5254000,3235000,3699000,5842000,4612000,0,0,5177000,4988000,3901000,4532000,7410000,6002000,4589000,5324000,6040000,6242000,5384000,6356000
BalanceOtherCurrentAssets,9557000,12992000,7941000,9228000,12982000,13012000,12878000,15263000,11959000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceAssetsForSale,,,664238000,734925000,762234000,867828000,8195000,326166000,382831000,449103000,508772000,461346000,484499000,432507000,422112000,358202000,348076000,376322000,374012000,466575000,497825000,656290000,680925000,732535000,800674000,847930000,861913000,891028000,984961000,1039895000,983242000,954821000,982248000,855281000,832306000,883966000,855745000,958455000,863189000,935299000,968774000,936523000,967852000,1062346000
BalanceTotalAssets,1133675000,1244481000,408371000,544308000,483171000,74509000,72691000,68998000,76743000,90878000,79343000,85166000,88301000,109864000,137283000,127513000,133955000,147124000,147532000,177805000,190259000,190920000,201707000,197182000,217401000,223145000,224676000,224712000,247772000,267676000,276925000,291830000,292899000,298099000,303863000,303879000,326058000,334458000,340891000,368835000,390505000,407603000,394570000,410005000
BalanceCapital,76892000,85656000,51321000,6237000,7183000,7183000,7183000,7183000,7183000,7183000,7183000,7306000,7306000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,7385000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000,8310000
BalanceShareCapital,8310000,,,,,,,,,,,,0,,0,0,-3632000,-8740000,-10090000,-240000,-615000,-766000,-816000,-816000,-816000,-816000,-816000,-816000,-816000,-816000,-816000,-816000,-816000,,,,,,,,,,,2519000
BalanceOwnShares,0,0,0,,5900000,5900000,13540000,13540000,13540000,13540000,30599000,33409000,46203000,47645000,47645000,47645000,47645000,44397000,44397000,63496000,240501000,240278000,237467000,237467000,285405000,285405000,285405000,285405000,317690000,313177000,313177000,313177000,382195000,348123000,348123000,2770000,2770000,30354000,,,,,,
BalanceReserve,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62951000,83294000,83641000,88269000,90708000,103235000
BalanceNonshareCapital,93378000,53887000,42182000,39204000,63096000,71356000,118523000,135280000,272853000,340034000,346835000,338010000,370200000,297760000,278410000,312076000,322556000,321952000,345315000,195738000,232272000,225666000,248979000,181781000,262388000,254846000,270935000,273397000,258833000,86264000,44129000,57254000,81670000,22300000,92252000,91254000,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49405000,76020000,75987000,79212000,77857000,88687000,80619000,42605000
BalanceNoncurrentTradeLiabilities,30191000,25963000,53981000,60897000,107091000,124679000,254096000,313538000,320337000,309558000,340835000,271607000,259078000,284783000,294789000,284171000,307462000,153544000,188541000,72199000,114598000,74992000,99121000,60396000,89697000,97723000,103569000,76896000,33298000,46678000,69550000,10062000,81656000,86170000,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,113886000,98036000,65092000,124653000,137906000,138161000,138370000,111847000,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,1604000,1419000,1512000,874000,672000,583000,523000,604000,80000,1219000,1097000,993000,936000,933000,940000,13546000,7274000,7654000,9057000,12851000,14548000,12759000,11282000,11991000,13241000,9115000,10459000,11432000,10601000
BalanceNoncurrentLeasing,18757000,26496000,26498000,28452000,29365000,26153000,19332000,27293000,27767000,37781000,37853000,42194000,43731000,37977000,34926000,40185000,37740000,55872000,42494000,36781000,42813000,9288000,9612000,9479000,11127000,11302000,9663000,4144000,188706000,226846000,296464000,343760000,279760000,301921000,253963000,279924000,206156000,171589000,185713000,168701000,200928000,215013000,205632000,150632000
BalanceNoncurrentOtherLiabilities,194780000,260957000,280548000,346752000,389473000,448209000,492627000,413518000,341830000,509585000,331179000,313741000,336888000,370101000,392188000,282285000,329906000,354486000,308855000,168146000,220877000,232787000,218937000,309179000,366400000,340596000,83721000,67173000,94706000,107509000,97668000,106333000,80221000,81848000,109637000,82052000,93100000,75740000,94224000,103101000,85898000,75508000,95978000,93903000
BalanceCurrentLiabilities,69600000,89318000,101605000,143208000,158045000,168834000,169308000,179952000,145712000,134892000,175253000,154182000,180946000,125711000,208201000,197505000,205605000,154900000,206956000,210270000,194882000,207912000,308828000,197467000,32099000,55097000,73076000,81745000,87114000,67127000,61962000,91267000,58072000,58516000,49359000,44668000,49216000,53851000,54496000,16721000,26177000,59240000,73237000,131130000
BalanceCurrentTradePayablesv,154766000,138364000,103370000,68702000,35337000,155385000,120267000,50551000,925000,40337000,925000,33476000,7399000,12705000,,1736000,2222000,81913000,41301000,128431000,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,40414000,41023000,31676000,23110000,20643000,10158000,2095000,27969000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,1046000,984000,1039000,709000,934000,710000,695000,733000,54000,406000,423000,404000,368000,338000,195000,336000,6197000,6355000,5655000,4081000,3494000,4052000,4528000,8907000,7133000,11349000,5407000,4875000,4503000,7074000,4965000,5303000,7199000,5761000,1605000,1101000,8484000,6039000,4823000,5691000,8354000,6368000,4974000
BalanceCurrentLeasing,7455000,8080000,7841000,5703000,6888000,11537000,17308000,335939000,402687000,469422000,555296000,18986000,15911000,14251000,72550000,98379000,122327000,148851000,90897000,124967000,107728000,102281000,29540000,23888000,31905000,42886000,52613000,53558000,58164000,53438000,67322000,100615000,131950000,124699000,132001000,158153000,225173000,171159000,131494000,165894000,58832000,81864000,111248000,134787000
BalanceCurrentOtherLiabilities,178657000,95818000,103949000,135255000,44535000,190000,565000,2000,22000,252000,326166000,382831000,449103000,508772000,461346000,484499000,432507000,422112000,0,358202000,348076000,376322000,374012000,466575000,497825000,656290000,0,680925000,732535000,800674000,847930000,861913000,891028000,984961000,1039895000,983242000,954821000,982248000,855281000,832306000,883966000,855745000,958455000,863189000
BalanceReckoning,935299000,968774000,936523000,644915000,672609000,684611000,710612000,408371000,544308000,483171000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,-51886000,-55475000,-14049000,-15132000,-2126000,22807000,13041000,8220000,17924000,39329000,-3980000,8488000,-24644000,-33110000,-24038000,-121139000,-16526000,14317000,-2542000,-18410000,-27777000,5914000,26264000,-2939000,25267000,30740000,38277000,38937000,4858000,66368000,102684000,19679000,10638000,43000,57813000,1470000,-17695000,57807000,-46498000,-45662000,-10747000,719000,-23855000,-89251000
CashflowAmortization,149000,787000,610000,512000,562000,663000,717000,523000,634000,692000,664000,675000,817000,718000,736000,733000,758000,770000,768000,841000,871000,873000,856000,955000,907000,846000,869000,552000,802000,839000,826000,786000,966000,561000,517000,584000,585000,753000,547000,599000,594000,478000,297000,371000
CashflowInvestingCashflow,-1584000,-2581000,-4988000,-1469000,27000,-1730000,612000,-879000,-302000,-1140000,18000,-411000,1171000,-692000,-266000,-7676000,-1622000,-2697000,-2398000,-3919000,-620000,4010000,2061000,-254000,-252000,13411000,-509000,2515000,-1006000,-1051000,-5808000,-615000,-26622000,13074000,-213000,146000,-34035000,100374000,-18224000,-30851000,9848000,6099000,-7948000,-7311000
CashflowCapex,1638000,2612000,5121000,1836000,591000,2179000,714000,999000,342000,1190000,145000,691000,-73000,423000,458000,4055000,416000,908000,1152000,734000,315000,672000,159000,381000,331000,1208000,509000,1515000,983000,945000,5823000,470000,372000,1390000,889000,2738000,1090000,1065000,13050000,1392000,2869000,2611000,13233000,7382000
CashflowFinancingCashflow,56283000,56296000,13008000,8732000,-1522000,-18344000,-15271000,-12633000,-15699000,-26541000,-7190000,27238000,-4164000,47709000,17345000,121935000,25911000,-18084000,7257000,12371000,31377000,-16781000,361000,1067000,-34564000,-31068000,-15518000,-42334000,-3826000,-36722000,-27103000,-45917000,31061000,613000,-17662000,4075000,2503000,-12253000,3919000,-4828000,63497000,63787000,29856000,70305000
CashflowShareCapitalCash,0,946000,,,0,,0,0,6413000,4471000,0,0,,,,,,,0,,,49000000,-28976000,,,,,,,,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4571000,0,,,17036000,17036000,19114000,2813000,-1760000,-6029000,-7869000,-3621000,2733000,-1618000
CashflowNetCashflow,-5292000,1923000,11648000,-11152000,35315000,-27637000,13907000,-6959000,-6880000,7763000,-6464000,2317000,-9958000,2980000,-6857000,28686000,-2126000,-9549000,13083000,22250000,-882000,26000,28595000,69773000,-26853000,15077000,13730000,39938000,5691000,-49227000,145928000,-60803000,-81341000,62598000,70605000,-1947000,-26257000,,,,,,,
