,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1
IncomeRevenues,815000,849000,696000,973000,1029000,1080000,1104000,2022000,2991000,3619000,5062000,8008000,6765000,5325000,4839000,5719000,3398000,3378000,3069000,5010000,4782000,3156000,3599000,3614000,1787000,1326000,11670000,18515000,56390000,64153000,122809000,276215000,393733000,438742000,554536000,94196000,274822000,164112000,92516000,665000,639000,563000,575000,549000,530000,530000,535000,536000,505000
IncomeCostOfSales,434000,422000,494000,352000,329000,346000,388000,807000,1933000,2699000,4057000,6654000,5601000,4386000,3986000,4637000,2875000,3144000,2399000,3713000,3683000,2391000,2565000,2251000,1020000,822000,6858000,15221000,52838000,59380000,116573000,266202000,385419000,428614000,540206000,86095000,264898000,157220000,85922000,54000,9000,11000,10000,-1000,,130000,101000,-34000,258000
IncomeDistributionExpenses,255000,310000,335000,602000,616000,737000,854000,1167000,614000,698000,555000,594000,412000,319000,185000,417000,204000,261000,287000,382000,225000,219000,1303000,1306000,1434000,1602000,1570000,2434000,2303000,2719000,3372000,3791000,2732000,2595000,2947000,4000,2000,0,0,4000,,,112000,118000,106000,117000,122000,130000,108000
IncomeAdministrativExpenses,262000,314000,348000,377000,470000,710000,391000,566000,609000,452000,464000,361000,427000,378000,406000,430000,580000,163000,271000,975000,1162000,693000,1102000,1171000,2430000,1690000,1654000,1326000,3587000,2144000,1951000,2773000,-427000,136000,133000,88000,64000,57000,48000,42000,50000,72000,139000,208000,130000,246000,323000,294000,273000
IncomeGrossProfit,351000,128000,-165000,-226000,-283000,-160000,-150000,-268000,-121000,-341000,-549000,124000,453000,517000,98000,317000,401000,379000,14000,2534000,826000,1425000,2069000,3495000,5149000,4321000,5755000,9632000,723000,5048000,2346000,874000,1034000,494000,417000,477000,486000,469000,486000,493000,486000,433000,,23000,5000,33000,1000,0,1000
IncomeOtherOperatingIncome,0,1000,12000,10000,26000,17000,111000,177000,43000,20000,281000,108000,271000,221000,130000,324000,66000,58000,125000,221000,741000,53000,116000,77000,402000,469000,148000,226000,132000,-475000,686000,277000,-94000,2000,0,4000,50000,,,7000,13000,6000,52000,4000,0,13000,51000,3000,28000
IncomeOtherOperatingCosts,10000,670000,1000,203000,29000,216000,306000,272000,238000,358000,103000,290000,86000,184000,166000,77000,134000,147000,120000,61000,64000,540000,144000,508000,1939000,383000,782000,944000,2522000,21000,13000,21978000,49000,38000,,132000,218000,129000,227000,320000,294000,261000,300000,126000,-181000,-226000,-927000,-144000,-242000
IncomeEBIT,-120000,-294000,-627000,-540000,-6000,366000,635000,-62000,555000,283000,271000,62000,2621000,1420000,1358000,2124000,3508000,5011000,4646000,5395000,7919000,472000,3791000,2088000,-1371000,919000,483000,-21561000,432000,498000,469000,486000,493000,486000,433000,1000,0,2000,28000,28000,27000,69000,35000,18000,67000,0,303000,52000,39000
IncomeFinanceIncome,55000,90000,58000,79000,33000,17000,-4000,-25000,133000,83000,42000,102000,133000,1167000,85000,42000,26000,1306000,71000,686000,202000,997000,246000,238000,347000,1443000,460000,335000,355000,340000,368000,534000,100000,411000,301000,2000,1000,2000,1000,1000,0,1000,26000,76000,-72000,3000,440000,3000,75000
IncomeFinanceCosts,123000,2862000,28000,10000,10000,2000,11000,2000,126000,11000,112000,170000,217000,79000,295000,297000,236000,1779000,524000,874000,704000,662000,769000,1529000,2203000,10774000,477000,34840000,1523000,1457000,1524000,1515000,1154000,1438000,1312000,,-2000,,,,,81000,,,,,,,
