,2005/Q4,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,17701000,19440000,19697000,8197000,15405000,21256000,23283000,10845000,14757000,14702000,14608000,8549000,11924000,17247000,16306000,8615000,16747000,20878000,19567000,11088000,17020000,23354000,20427000,11694000,17032000,21122000,19202000,10670000,14646000,18664000,19090000,12024000,125000,0,0,65000,39000,0,,0,31000,0,,2045000,-455000,0,,395000,13716000
IncomeCostOfSales,13781000,13051000,5823000,11283000,14804000,15683000,7835000,10937000,9913000,10338000,7561000,10295000,14376000,12741000,8344000,14767000,16782000,14542000,10060000,14148000,18009000,15925000,10737000,14635000,16778000,14734000,9140000,12022000,15364000,13513000,10854000,3692000,0,0,,,,0,0,,,1590000,0,0,,2786000,2743000,3089000,2091000
IncomeDistributionExpenses,2677000,3940000,4245000,2523000,3544000,3875000,3548000,1878000,2462000,2630000,2551000,1802000,2030000,2686000,2837000,2425000,1934000,2910000,2858000,1839000,2589000,2873000,3479000,2219000,2628000,2925000,3169000,2851000,,,,,,,,,,,,,,365000,316000,372000,357000,469000,468000,630000,663000
IncomeAdministrativExpenses,826000,990000,771000,524000,537000,489000,581000,497000,503000,627000,628000,565000,612000,824000,919000,822000,664000,656000,647000,687000,588000,716000,676000,713000,-677000,85000,86000,64000,57000,31000,167000,74000,87000,94000,78000,115000,59000,92000,86000,111000,83000,834000,2600000,3185000,-74000,976000,2044000,2725000,-176000
IncomeGrossProfit,-550000,-76000,-49000,-1414000,-1370000,-248000,433000,-2028000,-553000,783000,1560000,-1962000,326000,1611000,725000,-1704000,-856000,815000,342000,-1376000,-592000,-341000,1732000,-2394000,-39000,-85000,-86000,-64000,8000,8000,-167000,-74000,-87000,-63000,-78000,-115000,396000,-547000,-86000,-111000,312000,11000,108000,190000,104000,171000,895000,578000,168000
IncomeOtherOperatingIncome,515000,-82000,615000,123000,116000,148000,212000,144000,368000,203000,321000,172000,655000,226000,283000,230000,196000,414000,267000,163000,135000,348000,-446000,2935000,1000,2000,0,4000,0,0,3000,14000,10000,9000,1031000,-989000,3000,179000,7000,176000,23000,11000,14000,375000,7000,72000,6000,113000,3000
IncomeOtherOperatingCosts,4000,111000,16000,20000,85000,109000,48000,44000,77000,187000,121000,15000,69000,555000,247000,93000,267000,315000,-486000,30000,1000,0,0,2000,0,0,25000,0,4000,6000,24000,8000,408000,-405000,428000,13000,251000,666000,2701000,3199000,7000,1136000,2925000,2928000,-15000,-107000,-164000,453000,-1294000
IncomeEBIT,-1258000,-211000,629000,-1904000,-270000,877000,1833000,-1834000,904000,1650000,887000,-1489000,-729000,674000,362000,-1306000,-724000,-308000,1772000,511000,-39000,-83000,-86000,-62000,8000,8000,-189000,-74000,-77000,-59000,-93000,-123000,1019000,-1131000,-511000,-124000,61000,1000,14000,40000,47000,128000,177000,173000,199000,212000,91000,706000,191000
IncomeFinanceIncome,3000,-31000,93000,2000,10000,13000,9000,128000,-98000,328000,-318000,1000,1000,6000,48000,26000,10000,43000,185000,122000,-70000,1000,111000,286000,540000,405000,424000,450000,208000,211000,269000,256000,-248000,1668000,218000,229000,-219000,66000,10000,0,7000,2000,2000,15000,14000,36000,16000,-48000,22000
IncomeFinanceCosts,26000,30000,28000,161000,75000,65000,44000,147000,-92000,607000,-184000,44000,114000,195000,-78000,97000,139000,39000,106000,133000,-70000,0,13000,54000,65000,53000,53000,60000,50000,47000,735000,218000,-171000,601000,204000,193000,-189000,,,,,,,,,,,,
