,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,5067000,6087000,4748000,4574000,5565000,8144000,7423000,4464000,4689000,7023000,6182000,7670000,6295000,8565000,6735000,5585000,9059000,9803000
IncomeRevenues_yy,,,,,9.83,33.80,56.33,-2.40,-15.74,-13.77,-16.71,71.80,34.25,21.96,8.95,-27.18,43.91,14.45
IncomeRevenues_sy,,,,,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,20.13,-22.00,-3.66,21.67,46.34,-8.86,-39.85,5.03,49.78,-11.97,24.07,-17.93,36.06,-21.37,-17.07,62.20,8.21
IncomeRevenues_sq,,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,2494000,2535000,2198000,2459000,2796000,3362000,3022000,2298000,2709000,2991000,2278000,2381000,2212000,3161000,2830000,3114000,3669000,4108000
IncomeCostOfSales_yy,,,,,12.10,32.61,37.50,-6.54,-3.11,-11.03,-24.63,3.60,-18.35,5.68,24.23,30.79,65.87,29.96
IncomeCostOfSales_sy,,,,,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,1.64,-13.29,11.87,13.70,20.24,-10.10,-23.96,17.87,10.41,-23.84,4.52,-7.10,42.90,-10.47,10.04,17.82,11.97
IncomeCostOfSales_sq,,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,126000,156000,144000,151000,233000,328000,302000,249000,436000,380000,427000,436000,432000,531000,312000,347000,493000,502000
IncomeDistributionExpenses_yy,,,,,85.22,110.44,109.74,65.16,86.82,15.75,41.38,74.82,-0.92,39.74,-26.93,-20.41,14.12,-5.46
IncomeDistributionExpenses_sy,,,,,6.80,3.87,1.68,14.01,9.27,7.79,4.00,6.12,5.62,5.11,9.20,9.83,-1.76,7.77
IncomeDistributionExpenses_qq,,23.81,-7.69,4.86,54.55,40.67,-8.00,-17.43,74.82,-12.84,12.37,2.11,-0.92,22.92,-41.24,11.22,42.07,1.83
IncomeDistributionExpenses_sq,,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30,-16.42,14.34,-3.04,14.18,-5.51,8.28,2.12,11.22,-15.93,10.61
IncomeAdministrativExpenses,701000,645000,645000,865000,1009000,976000,826000,929000,900000,1026000,816000,1186000,1525000,1500000,1287000,1154000,1742000,2370000
IncomeAdministrativExpenses_yy,,,,,43.92,51.24,27.99,7.44,-10.79,5.17,-1.15,27.62,69.44,46.20,57.72,-2.70,14.23,58.00
IncomeAdministrativExpenses_sy,,,,,8.60,7.35,3.04,2.56,4.65,-0.67,-0.45,7.89,1.59,5.14,6.80,0.26,4.82,2.66
IncomeAdministrativExpenses_qq,,-7.99,,34.11,16.63,-3.31,-15.37,12.58,-3.16,14.00,-20.47,45.34,28.58,-1.64,-14.20,-10.33,50.95,36.05
IncomeAdministrativExpenses_sq,,3.81,,15.10,-9.02,1.72,-7.65,12.99,-6.98,2.35,-3.96,11.40,-6.59,5.18,-2.01,14.33,-10.08,4.80
