,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,44984000,40183000,44560000,114450000,39226000,52079000,27445000,22255000,10096000,65476000,10100000,14534000,14945000,10891000,10965000,10784000,438000,379000,218000,237000,233000,13817000,9952000,26444000,15764000,64536000,26190000,29720000,17677000,53765000,41666000,50932000,27814000,35244000,40153000,38961000,30804000,43784000,36166000,-14560000,25587000,487110000,113250000,172067000,86995000,232001000,100807000,164100000,99342000,155482000,84747000,123613000,75435000,92999000
IncomeCostOfSales,41060000,37014000,41169000,105181000,35839000,50206000,23968000,19433000,8825000,63737000,9193000,12560000,12822000,9362000,10164000,11729000,387000,537000,-30000,244000,41000,2707000,4484000,10588000,4728000,34196000,13256000,15657000,9189000,30447000,25783000,27845000,18049000,22008000,25963000,23277000,22473000,27248000,30469000,-19559000,17496000,115261000,32009000,45855000,17014000,57922000,18440000,19862000,14823000,23263000,18852000,25236000,16133000,27696000
IncomeDistributionExpenses,2864000,3316000,2998000,7476000,3757000,3146000,3941000,3785000,2265000,2348000,2086000,2121000,713000,1315000,1242000,1341000,446000,191000,132000,252000,140000,5102000,6462000,7898000,4316000,8174000,5892000,6266000,5608000,3772000,5378000,6839000,4633000,5864000,5601000,6279000,5204000,10759000,4699000,-2109000,7787000,75310000,24636000,38848000,26014000,44221000,31605000,36668000,22434000,36036000,15353000,36850000,22775000,23864000
IncomeAdministrativExpenses,1827000,1874000,1529000,2329000,1613000,1503000,2097000,3311000,1960000,2848000,1626000,1132000,1299000,1439000,1257000,1522000,699000,1318000,954000,1248000,771000,1903000,1657000,3730000,1653000,2120000,4759000,3054000,2251000,5215000,2561000,3036000,2692000,3406000,3945000,2813000,3101000,3717000,3287000,1178000,3044000,3763000,4628000,3085000,5293000,5558000,6004000,8484000,8440000,7889000,7848000,8051000,8804000,7742000
IncomeGrossProfit,-767000,-2021000,-1136000,-536000,-1983000,-2776000,-2561000,-4274000,-2954000,-3457000,-2805000,-1279000,111000,-1225000,-1698000,-3808000,-1094000,-1667000,-838000,-1507000,-719000,4105000,-2651000,4228000,5067000,20046000,2283000,4743000,629000,14331000,7944000,13212000,2440000,3966000,4644000,6592000,26000,2060000,-2289000,5930000,-2740000,292776000,51977000,84279000,38674000,124300000,44758000,99086000,53645000,88294000,42694000,53476000,27723000,33697000
IncomeOtherOperatingIncome,446000,1052000,228000,265000,-71000,128000,2517000,-1019000,118000,203000,91000,775000,230000,2000000,60000,6298000,799000,48000,1447000,2529000,40000,65000,354000,1102000,126000,2430000,3765000,2737000,513000,570000,138000,1835000,647000,1010000,336000,1427000,1867000,1990000,622000,91000,258000,395000,843000,437000,205000,629000,1229000,396000,433000,2170000,1341000,1701000,500000,365000
IncomeOtherOperatingCosts,35000,327000,222000,3277000,348000,1469000,509000,714000,211000,1254000,366000,6161000,19000,140000,165000,444000,15000,95000,0,1757000,24000,812000,3835000,2528000,517000,3733000,837000,8488000,1014000,1167000,2367000,6257000,485000,598000,57000,5518000,682000,188000,897000,-480000,194000,1948000,1642000,248000,299000,391000,1160000,3800000,248000,1047000,1056000,463000,324000,660000
IncomeEBIT,-356000,-1296000,-1130000,-3548000,-2402000,-4117000,-553000,-6007000,-3047000,-4508000,-3080000,-6665000,322000,635000,-1803000,2046000,-310000,-1714000,609000,-735000,-703000,3358000,-6132000,2802000,4676000,18743000,5211000,-1008000,128000,13734000,5715000,8790000,2602000,4378000,4923000,2501000,1211000,3862000,-2564000,6501000,-2676000,291223000,51178000,84468000,38580000,124538000,44827000,95682000,53830000,89417000,42979000,54714000,27899000,33402000
IncomeFinanceIncome,,,,,,,,121000,9000,12000,96000,-90000,77000,126000,72000,27000,7000,4000,5000,60000,5000,692000,617000,313000,378000,669000,1077000,-323000,483000,799000,484000,121000,897000,192000,469000,1437000,788000,576000,1294000,224000,57000,129000,7044000,1169000,3272000,1536000,2816000,963000,3869000,1590000,2189000,3208000,1636000,4145000
IncomeFinanceCosts,341000,955000,-446000,187000,-579000,643000,2201000,-1374000,107000,185000,235000,605000,195000,1008000,39000,-859000,1000,13000,8000,229000,187000,1829000,376000,-462000,533000,930000,684000,47000,363000,600000,586000,418000,193000,257000,147000,82000,59000,24000,1139000,1330000,2005000,2710000,6039000,253000,1674000,-1264000,1713000,-1847000,864000,1571000,736000,1220000,378000,114000
IncomeOtherIncome,,,,,,,,1234000,-133000,286000,-35000,-4246000,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-697000,-2251000,-684000,-3735000,-1823000,-4760000,-2754000,-3278000,-3278000,-4395000,-3254000,-11606000,204000,-247000,-1770000,2932000,-304000,-1723000,606000,-904000,-885000,2221000,-5891000,3577000,4521000,18482000,5604000,-1378000,248000,13933000,5613000,8493000,3306000,4313000,5245000,3856000,1940000,4414000,-2409000,5395000,-4624000,288642000,52183000,85384000,40178000,127338000,45930000,98492000,56835000,89436000,44432000,56702000,29157000,37433000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
