,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,60318000,87522000,37985000,34493000,63959000,84950000,41189000,39830000,90863000,83379000,18682000,15111000,21353000,20594000,25477000,32307000,49907000,42266000,19218000,33549000,40252000,-92889000,589000,-433000,1000,-10000,57000,7000,8000,13000,1000,2000,1000,6000,1000,0,1000,143000,1000,96000,76000,58000,20000,0,0
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,2422000,3423000,-8701000,-8375000,-6166000,-4533000,-11867000,-8658000,-15193000,-12057000,-32404000,-37268000,-39949000,-13173000,-7798000,-7441000,-3318000,-31231000,-17301000,1012000,-9045000,-2969000,-11359000,-3998000,-6917000,-16251000,-8400000,-13985000,-7201000,-3478000,-3933000,-3445000,-3397000,-1960000,-2283000,-3473000,-1923000,-2233000,-1880000,-1919000,-1508000,-1660000,-1902000,-1619000,-1376000
IncomeOtherOperatingIncome,518000,533000,512000,283000,121000,1019000,1290000,-10000,297000,-250000,1928000,311000,-77000,2508000,310000,109000,114000,2017000,318000,299000,85000,14489000,1711000,3794000,-162000,7136000,419000,700000,2665000,-2265000,547000,592000,15000,2401000,196000,-92000,5988000,2385000,2000,3022000,1000,11173000,444000,345000,17000
IncomeOtherOperatingCosts,191000,111000,476000,223000,448000,119000,41871000,267000,71261000,7745000,7844000,6979000,7445000,6321000,22749000,6062000,8724000,6557000,6938000,5480000,5592000,10611000,6669000,18291000,-3005000,5802000,3665000,6210000,6014000,7718000,10092000,5279000,5027000,5776000,6651000,4233000,21282000,4474000,18458000,3593000,4283000,4233000,2496000,3611000,-8206000
IncomeEBIT,-8283000,-6156000,-3990000,-10800000,-9116000,-15015000,-54178000,-30743000,-108218000,-47771000,-18509000,-14467000,-14777000,-9525000,-51963000,-23045000,-7413000,-15517000,4582000,-15128000,-5796000,-17690000,-15784000,-26272000,-10280000,-10338000,-9408000,-9596000,-8867000,-11100000,-9651000,-7366000,-8592000,-1711000,-6499000,-6111000,-20179000,-5981000,-8945000,-5495000,-5902000,-5609000,758000,-288000,2104000
IncomeFinanceIncome,11874000,7673000,28713000,24125000,15396000,-20691000,-9105000,2344000,2042000,1879000,3865000,2500000,-2330000,863000,751000,11931000,1538000,-7858000,-3352000,6518000,-2487000,4706000,-6668000,1156000,-102000,521000,469000,67000,200000,258000,-12000,66000,155000,69000,509000,137000,6464000,7750000,1583000,40498000,-12951000,-26948000,21461000,3740000,3506000
IncomeFinanceCosts,4095000,6124000,13072000,6498000,1286000,4115000,28101000,109661000,62388000,-5511000,86100000,45912000,13833000,-3647000,14686000,12462000,12136000,12794000,66241000,19161000,-2175000,3044000,16686000,-2795000,22710000,12004000,25652000,82684000,15595000,12920000,15913000,27550000,11217000,242140000,151854000,16527000,6989000,10813000,25553000,11032000,10356000,19735000,,,
