,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,56213000,66974000,66288000,73406000,72666000,83856000,81267000,78549000,69868000,61052000,65161000,65672000,60875000,82995000,92322000,103986000,111138000,123541000,118003000,133024000,124845000,138430000,132200000,137487000,127546000,132702000,148834000,155030000,146525000,163828000,149963000,146357000,132487000,136967000,140848000,131034000,126542000,121194000,127652000,104480000,93719000,85641000,73924000,64205000,54190000,56081000,60335000
IncomeCostOfSales,53014000,63570000,196834000,69112000,79574000,230826000,65545000,56783000,60825000,60064000,57609000,77198000,86702000,99243000,102939000,115306000,112812000,127504000,115600000,129161000,126847000,128311000,117832000,126449000,142230000,146973000,137536000,155608000,142399000,139663000,125981000,129281000,129232000,125217000,118265000,114607000,120220000,98820000,88308000,79681000,68928000,59843000,50769000,52425000,56501000,1704000,1731000
IncomeDistributionExpenses,5485000,2260000,2239000,6968000,2458000,2788000,2678000,2724000,2655000,3030000,3023000,2985000,3317000,3716000,3146000,3262000,3298000,3741000,3604000,3732000,4390000,3975000,4184000,4228000,4100000,4528000,4705000,4432000,4663000,4266000,4657000,4095000,4070000,4180000,4116000,3943000,3717000,3629000,3730000,3526000,3715000,3455000,3539000,593000,578000,1978000,984000
IncomeAdministrativExpenses,885000,2696000,916000,741000,796000,901000,917000,886000,923000,826000,869000,1154000,1025000,943000,1147000,1090000,1252000,1070000,1506000,1060000,1086000,980000,1041000,1009000,1338000,1126000,1271000,1337000,1132000,1213000,1774000,1808000,2168000,1776000,1616000,1793000,1937000,1845000,1870000,2112000,2210000,902000,1095000,685000,591000,310000,1158000
IncomeGrossProfit,634000,1390000,949000,740000,862000,1983000,-306000,1881000,1674000,932000,4013000,3365000,1020000,1315000,4800000,4438000,497000,4374000,3818000,1218000,1334000,2849000,3848000,2683000,1521000,1136000,572000,2083000,5827000,509000,2433000,599000,1148000,-59000,78000,538000,-671000,-1009000,-2164000,-1911000,-1915000,-308000,19000,80000,116000,1520000,88000
IncomeOtherOperatingIncome,68000,-41000,130000,194000,-109000,-211000,819000,-329000,-77000,264000,1239000,3000,193000,819000,1186000,-84000,802000,-417000,2643000,327000,706000,-103000,33000,32000,-297000,338000,477000,-42000,-1644000,290000,585000,-284000,503000,-159000,-10232000,-78000,17000,195000,-5064000,154000,-101000,,,,,,
IncomeOtherOperatingCosts,,,149000,,,549000,,,2069000,,,2281000,,,1407000,,,198000,,,329000,,,10000,,,,,,,,,594000,1114000,765000,707000,1830000,1246000,702000,1349000,930000,934000,753000,1772000,-36000,1552000,1597000
IncomeEBIT,1196000,3183000,3368000,1213000,2134000,3705000,4354000,1299000,3957000,5054000,1545000,2040000,2746000,3683000,2715000,1224000,1474000,720000,2041000,4183000,799000,3008000,315000,1651000,-218000,-10154000,460000,-654000,-814000,-7228000,-1757000,-2016000,,,,,,,,,492000,,,351000,,,337000
IncomeFinanceIncome,,,162000,,,156000,,,2919000,,,369000,,,,,,,,,,,,,225000,262000,254000,221000,163000,290000,197000,337000,753000,205000,194000,160000,465000,150000,227000,253000,606000,399000,424000,358000,495000,439000,465000
IncomeFinanceCosts,458000,670000,501000,405000,-2435000,3294000,547000,379000,303000,657000,279000,252000,106000,254000,239000,251000,364000,264000,267000,261000,391000,349000,287000,270000,,,,,,,,9000,2000,3000,2000,2000,3000,-11000,-111000,-7000,-16000,-4000,0,0,-60000,-20000,-6000
