,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,17786000,23262000,19427000,22991000,20757000,25056000,22989000,24300000,24340000,27827000,16755000,14756000,12138000,10832000,3836000,-14976000,3976000,12529000,9132000,11013000,9995000,9242000,11929000,7644000,11105000,13949000,15501000,10257000,8241000,10521000,8064000,8828000,8885000,8411000,5588000,11888000,7236000,6902000,8778000,8049000,8485000,8538000,10911000,4246000,4962000,5041000,5434000,4770000,6607000,5168000
IncomeRevenues_yy,,,,,16.70,7.71,18.34,5.69,17.26,11.06,-27.12,-39.28,-50.13,-61.07,-77.11,-201.49,-67.24,15.67,138.06,173.54,151.38,-26.24,30.63,-30.59,11.11,50.93,29.94,34.18,-25.79,-24.57,-47.98,-13.94,7.81,-20.05,-30.70,34.67,-18.57,-17.95,57.09,-32.29,17.27,23.71,24.29,-47.25,-41.52,-40.96,-50.20,12.35,33.15,2.53
IncomeRevenues_sy,,,,,27.79,3.88,38.59,7.38,35.10,25.86,-24.64,-12.32,-38.31,22.09,-74.94,-21.67,-3.16,15.67,138.06,238.01,86.99,20.62,30.50,10.60,18.46,4.01,29.94,5.53,8.04,5.39,-5.64,7.96,-5.28,6.98,2.13,25.62,-1.58,13.69,26.72,-10.38,17.27,1.96,4.59,-8.65,1.91,-7.34,12.97,6.02,-0.82,5.69
IncomeRevenues_qq,,30.79,-16.49,18.35,-9.72,20.71,-8.25,5.70,0.16,14.33,-39.79,-11.93,-17.74,-10.76,-64.59,-490.41,126.55,215.12,-27.11,20.60,-9.24,-7.53,29.07,-35.92,45.28,25.61,11.13,-33.83,-19.65,27.66,-23.36,9.47,0.65,-5.33,-33.57,112.74,-39.13,-4.62,27.19,-8.30,5.41,0.63,27.79,-61.08,16.87,1.58,7.80,-12.21,38.51,-21.78
IncomeRevenues_sq,,27.80,-5.48,15.30,-7.90,5.30,29.67,5.70,0.16,14.33,-10.21,-10.33,-16.38,1.96,-64.59,36.57,21.56,88.74,-11.08,12.94,-11.75,5.88,22.48,-9.38,5.22,-0.88,11.13,3.22,-2.48,-7.32,6.69,13.75,-3.96,2.63,-4.16,18.52,-21.54,5.26,8.12,9.50,-15.41,0.26,-9.84,8.80,0.72,0.79,14.93,-9.51,-3.32,3.79
IncomeCostOfSales,9123000,9948000,8509000,11306000,9412000,12921000,10977000,11284000,9099000,11539000,6938000,10976000,4526000,6291000,3460000,-4886000,2027000,5703000,5191000,6126000,5651000,5182000,6911000,5537000,6501000,7588000,8972000,12587000,3943000,5667000,4188000,4287000,3806000,4317000,2989000,4560000,4279000,4826000,4411000,4916000,4913000,5278000,5835000,5128000,3034000,3833000,3468000,4177000,4112000,3421000
IncomeCostOfSales_yy,,,,,3.17,29.89,29.00,-0.19,-3.33,-10.70,-36.80,-2.73,-50.26,-45.48,-50.13,-144.52,-55.21,-9.35,50.03,225.38,178.79,-9.14,33.13,-9.61,15.04,46.43,29.82,127.33,-39.34,-25.31,-53.32,-65.94,-3.48,-23.84,-28.65,6.36,12.41,11.81,47.59,7.82,14.84,9.35,32.29,4.31,-38.25,-27.36,-40.57,-18.55,35.53,-10.77
IncomeCostOfSales_sy,,,,,19.78,15.88,68.46,-1.98,5.89,56.12,-5.35,8.78,28.37,2.80,-50.13,-0.62,7.06,-9.35,85.16,7.21,10.52,21.62,28.24,-6.10,28.37,-0.62,0.38,18.90,9.08,-5.39,-22.08,4.67,2.94,4.96,2.54,-13.97,12.41,11.81,16.82,-5.44,12.21,8.00,-11.31,11.25,-1.21,-25.91,-28.56,7.05,-19.78,-13.33
IncomeCostOfSales_qq,,9.04,-14.47,32.87,-16.75,37.28,-15.05,2.80,-19.36,26.82,-39.87,58.20,-58.76,39.00,-45.00,-241.21,141.49,181.35,-8.98,18.01,-7.75,-8.30,33.37,-19.88,17.41,16.72,18.24,40.29,-68.67,43.73,-26.10,2.35,-11.22,13.41,-30.76,52.57,-6.17,12.81,-8.61,11.46,-0.06,7.41,10.57,-12.12,-40.84,26.35,-9.53,20.44,-1.56,-16.81
IncomeCostOfSales_sq,,31.34,-12.30,35.52,-22.63,26.02,34.17,2.80,-19.36,26.82,-22.15,46.86,-23.33,39.00,-45.00,56.76,3.25,25.68,-8.98,-15.20,-10.76,38.21,4.28,-23.50,10.08,16.52,-4.60,-2.52,-14.88,9.64,0.75,7.90,-20.07,7.00,-0.31,38.87,-18.54,7.39,-6.21,-1.91,3.40,7.41,-1.59,-7.29,2.55,-5.36,6.16,12.28,-5.56,-8.08
IncomeDistributionExpenses,2904000,4214000,4309000,7368000,3331000,6763000,5706000,8019000,4703000,8422000,5900000,6448000,1801000,4331000,3223000,2500000,1121000,1765000,1429000,2331000,1467000,3108000,2782000,4485000,2579000,3751000,4329000,5607000,2061000,2203000,2076000,2723000,2934000,2850000,2527000,3134000,2244000,2821000,2683000,3737000,2680000,3510000,3116000,3566000,2581000,2414000,2193000,2444000,2011000,1954000
