,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,43766000,39525000,37558000,34156000,46031000,40690000,39645000,43175000,49587000,47043000,45165000,47617000,58692000,52201000,50471000,50626000,66486000,62720000,57063000,54745000
IncomeRevenues_yy,,,,,5.18,2.95,5.56,26.41,7.73,15.61,13.92,10.29,18.36,10.96,11.75,6.32,13.28,20.15,13.06,8.14
IncomeRevenues_sy,,,,,11.00,10.13,17.47,16.22,7.92,13.50,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47
IncomeRevenues_qq,,-9.69,-4.98,-9.06,34.77,-11.60,-2.57,8.90,14.85,-5.13,-3.99,5.43,23.26,-11.06,-3.31,0.31,31.33,-5.66,-9.02,-4.06
IncomeRevenues_sq,,15.10,-16.70,18.19,4.60,10.24,-12.68,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,4692000,2204000,4293000,5121000,6196000,5460000,1992000,5930000,5269000,5253000,2338000,5360000,4058000,7174000,3151000,6335000,5987000,10581000,4142000,7795000
IncomeGrossProfit_yy,,,,,32.05,147.73,-53.60,15.80,-14.96,-3.79,17.37,-9.61,-22.98,36.57,34.77,18.19,47.54,47.49,31.45,23.05
IncomeGrossProfit_sy,,,,,35.06,-8.16,5.41,23.82,-14.36,11.18,-2.71,3.41,-10.77,12.45,-32.56,3.30,25.97,11.56,2.60,24.93
IncomeGrossProfit_qq,,-53.03,94.78,19.29,20.99,-11.88,-63.52,197.69,-11.15,-0.30,-55.49,129.26,-24.29,76.79,-56.08,101.05,-5.49,76.73,-60.85,88.19
IncomeGrossProfit_sq,,99.72,-79.14,181.23,-9.96,27.36,-80.03,182.18,-38.05,100.87,-81.79,147.09,-53.28,76.79,-94.59,101.05,-5.92,44.84,-106.00,125.03
IncomeOtherOperatingIncome,318000,324000,408000,1448000,-370000,-471000,2271000,204000,-542000,758000,1740000,1321000,746000,743000,648000,195000,803000,509000,582000,1018000
IncomeOtherOperatingIncome_yy,,,,,-216.35,-245.37,456.62,-85.91,-46.49,260.93,-23.38,547.55,237.64,-1.98,-62.76,-85.24,7.64,-31.49,-10.19,422.05
IncomeOtherOperatingIncome_sy,,,,,-35.49,-17.94,-26.60,15.93,-14.40,2.92,13.84,12.30,0.32,-8.62,-11.86,-11.46,-7.47,-6.81,26.46,-16.90
IncomeOtherOperatingIncome_qq,,1.89,25.93,254.90,-125.55,-27.30,582.17,-91.02,-365.69,239.85,129.55,-24.08,-43.53,-0.40,-12.79,-69.91,311.79,-36.61,14.34,74.91
IncomeOtherOperatingIncome_sq,,0.21,-5.38,-3.84,-2.10,45.02,-48.74,4.06,-24.68,35.41,-26.42,12.30,-26.77,33.79,-34.03,47.56,-16.50,30.01,-6.19,-1.20
IncomeOtherOperatingCosts,-131000,1642000,1251000,1629000,290000,2803000,472000,522000,436000,1796000,669000,1318000,927000,1833000,1164000,8000,351000,1249000,2395000,1013000
IncomeOtherOperatingCosts_yy,,,,,321.37,70.71,-62.27,-67.96,50.34,-35.93,41.74,152.49,112.61,2.06,73.99,-99.39,-62.14,-31.86,105.76,12562.50
IncomeOtherOperatingCosts_sy,,,,,-17.06,7.00,-10.00,-7.75,-6.85,33.59,28.74,29.56,36.75,-2.26,-4.28,11.64,3.61,54.38,4.95,22.44
