,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,40545000,37496000,34778000,36729000,47664000,49289000,43598000,51604000,84265000,81198000,74363000,75033000,84783000,73015000,59430000,77614000,69923000,74520000,63660000,68952000,72631000,62624000,56140000,-56667000,154160000,53848000,51388000,57524000,60601000,60499000,52789000,51990000,61049000,52597000,50809000
IncomeCostOfSales,27195000,27313000,25997000,27651000,39061000,39260000,35505000,41411000,56240000,59508000,61503000,57131000,63612000,57206000,48096000,61125000,56706000,57695000,49976000,52406000,56562000,49118000,44648000,-52976000,129624000,42826000,41191000,46080000,53936000,49392000,43579000,44014000,53233000,42011000,41628000
IncomeDistributionExpenses,3787000,4280000,3724000,3957000,4314000,4445000,4255000,4904000,11634000,12609000,6288000,9032000,9225000,9844000,6935000,8029000,8708000,7325000,9036000,9063000,9249000,7766000,7058000,-5047000,16217000,6763000,6574000,7981000,4619000,7162000,5988000,6845000,5148000,6997000,6828000
IncomeAdministrativExpenses,2468000,2217000,1660000,1256000,2036000,2666000,2986000,2654000,5942000,4941000,5981000,5466000,6189000,3177000,3661000,3073000,4888000,3952000,3828000,4026000,4123000,3954000,3845000,-459000,5656000,3214000,4167000,3128000,4176000,3123000,3079000,2879000,3129000,2733000,2911000
IncomeGrossProfit,7095000,3686000,3397000,3865000,2253000,2918000,852000,2635000,10449000,4140000,591000,3404000,5757000,2788000,738000,5387000,-379000,5548000,820000,3457000,2697000,1786000,589000,1815000,2663000,1045000,-544000,335000,-2130000,822000,143000,-1748000,-461000,856000,-558000
IncomeOtherOperatingIncome,282000,6000,87000,531000,460000,52000,181000,244000,1843000,893000,1023000,4293000,-3453000,426000,467000,359000,658000,476000,2367000,367000,910000,428000,540000,-516000,2343000,161000,369000,460000,263000,1287000,1018000,908000,-245000,293000,593000
IncomeOtherOperatingCosts,506000,54000,70000,57000,539000,120000,291000,433000,4077000,364000,1135000,4067000,-2501000,577000,778000,674000,2473000,738000,975000,839000,1346000,582000,434000,-268000,2435000,390000,27009000,875000,9341000,741000,862000,1138000,1070000,409000,3815000
IncomeEBIT,6871000,3638000,3414000,4339000,2174000,2850000,742000,2446000,8215000,4669000,479000,3630000,4805000,2637000,427000,5072000,-2194000,5286000,2212000,2985000,2261000,1632000,695000,1567000,2571000,816000,-27184000,-80000,-11208000,1368000,299000,-1978000,-1776000,740000,-3780000
IncomeFinanceIncome,-1056000,77000,-76000,329000,279000,368000,1684000,-1364000,27000,186000,-52000,262000,-66000,42000,19000,-8000,-7000,6000,-3000,22000,17000,84000,104000,29000,59000,113000,494000,210000,103000,130000,45000,10106000,-9979000,14000,222000
IncomeFinanceCosts,192000,332000,344000,653000,44000,513000,215000,818000,1071000,1290000,1228000,1511000,1183000,1076000,856000,669000,863000,775000,566000,561000,540000,513000,461000,-171000,933000,556000,478000,351000,517000,421000,606000,10559000,-9516000,509000,449000
IncomeOtherIncome,,,0,0,0,,-480000,313000,-1000,,,,,,,,,,,,,,,,,,,,,,,5623000,3383000,2994000,4015000
IncomeNetGrossProfit,2409000,2705000,1731000,577000,7170000,3565000,-801000,2381000,3556000,1603000,-410000,4395000,-3064000,4517000,1643000,2446000,1738000,1203000,338000,1767000,1697000,373000,-27168000,-221000,-11622000,1077000,-262000,-2431000,-2239000,245000,-4007000,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5623000,3383000,2994000,4015000
IncomeBeforeTaxProfit,2409000,2705000,1731000,577000,7170000,3565000,-801000,2381000,3556000,1603000,-410000,4395000,-3064000,4517000,1643000,2446000,1738000,1203000,338000,1767000,1697000,373000,-27168000,-221000,-11622000,1077000,-262000,-2431000,-2239000,245000,-4007000,,,,
IncomeDiscontinuedProfit,,,,,,0,0,0,0,-4000,-69000,0,0,,,,,245000,-348000,-175000,-10824000,65000,906000,4000,1768000,-546000,429000,-1000,72000,4584000,2717000,2419000,3242000,2101000,2206000
IncomeNetProfit,1349000,449000,5701000,3243000,-844000,1692000,2568000,1318000,-654000,3347000,-1020000,3905000,1682000,2401000,1191000,1348000,251000,1591000,622000,470000,-38075000,-514000,-8009000,987000,590000,-2685000,-2708000,448000,-4310000,4584000,2717000,2419000,3242000,2090000,2198000
IncomeShareholderNetProfit,1340000,435000,4690000,2772000,-127000,1893000,1985000,1536000,-104000,3611000,-218000,3734000,1611000,2485000,1611000,823000,257000,1550000,837000,345000,-37982000,-231000,1406000,681000,890000,-2309000,-2097000,222000,-4090000,,,,,,
BalanceNoncurrentAssets,61682000,65415000,67828000,93252000,96091000,137051000,188805000,188100000,185911000,182876000,180033000,177733000,176055000,172981000,171628000,169634000,166902000,168914000,167091000,167057000,166737000,166157000,170086000,87314000,93072000,127324000,127619000,125033000,131239000,122944000,120553000,118967000,619000,583000,542000
BalanceIntangibleAssets,5721000,4898000,5833000,22960000,21911000,22731000,22876000,21914000,22607000,22081000,19108000,19176000,22196000,22107000,19464000,19249000,19264000,19305000,19421000,19490000,1735000,1696000,1810000,1686000,1621000,7165000,1557000,1430000,1296000,60379000,63968000,66602000,87105000,88740000,102201000
BalanceProperty,162899000,163006000,160136000,157621000,155618000,152628000,151482000,148851000,147235000,142078000,141873000,144046000,142227000,142173000,141954000,141757000,145154000,84010000,89915000,121994000,122327000,120150000,120333000,117464000,115022000,113012000,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,6000,1892000,28496000,6000,6000
BalanceNoncurrInvestments,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,,,,,,684000,864000,684000,420000,561000,521000,2940000,3177000,3038000,2373000,2501000,2498000,2486000,5016000,5211000,5354000,2916000
BalanceOtherNoncurrentAssets,5398000,5609000,5614000,5472000,4973000,5436000,1569000,1461000,3520000,3606000,3262000,3741000,3923000,4101000,4659000,43622000,43752000,42827000,90056000,83954000,57865000,89756000,105680000,92168000,104604000,96564000,84525000,104053000,92075000,95120000,88905000,93009000,93110000,87705000,81146000
BalanceCurrentAssets,83745000,88062000,90156000,76041000,73910000,73995000,81977000,82239000,77815000,76305000,76821000,77697000,5722000,6668000,7190000,9702000,10830000,10910000,18199000,22739000,22692000,19069000,20707000,22053000,21442000,17991000,20179000,22157000,19958000,20856000,26017000,22781000,21409000,24341000,24216000
BalanceInventory,13698000,16235000,17472000,18286000,21143000,21313000,16960000,18644000,20332000,37074000,36195000,34865000,48653000,47903000,43504000,69275000,76756000,66940000,80508000,71280000,58200000,76977000,68322000,69901000,62448000,68442000,67816000,58185000,53782000,58385000,55930000,58699000,56280000,54147000,52364000
BalanceCurrentReceivables,56249000,54115000,51663000,51643000,48934000,45633000,0,0,,,10067000,10172000,,0,0,,,3000,30000,,,,,,,,,82000,12000,,,,,580000,692000
BalanceCurrentInvestments,379000,21261000,14435000,3283000,1506000,4826000,2130000,4516000,4229000,3288000,4950000,5267000,4585000,3542000,4115000,4029000,3170000,3960000,3568000,7157000,6180000,5122000,2964000,3821000,6177000,4924000,3281000,6097000,6941000,8784000,246000,197000,393000,373000,614000
BalanceCash,168000,776000,1359000,406000,511000,345000,954000,684000,495000,455000,758000,494000,409000,333000,623000,383000,634000,1061000,859000,552000,338000,1265000,2057000,1558000,1605000,2302000,2948000,,,,,,,,
BalanceOtherCurrentAssets,,0,,,0,331000,,1440000,1440000,738000,738000,733000,733000,733000,733000,733000,733000,87884000,93255000,24619000,24341000,25148000,8397000,7438000,8497000,6844000,105304000,109167000,110655000,183308000,180045000,194916000,278561000,293780000,278079000
BalanceAssetsForSale,287480000,276928000,262258000,280108000,266496000,268188000,259277000,260649000,262757000,255529000,248936000,251215000,254952000,260975000,251239000,260237000,225938000,233937000,232420000,217451000,206687000,205871000,203508000,44489000,47205000,49625000,110895000,113093000,114378000,119260000,122032000,121905000,125703000,127239000,127135000
BalanceTotalAssets,130746000,128842000,132498000,134109000,135177000,138329000,139152000,139534000,141084000,141868000,141836000,104824000,103362000,103806000,104434000,105557000,109278000,101025000,101211000,96772000,1700000,1700000,1700000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000
BalanceCapital,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,2550000,,,,,,,,,,,,,,,,,,
BalanceShareCapital,,,,,,,,,,,,,,,,,,31486000,31486000,41107000,96048000,96048000,106091000,106091000,106091000,111204000,111204000,111204000,117418000,117418000,117418000,117418000,122901000,122901000,121001000
BalanceOwnShares,121001000,129158000,129158000,129154000,128777000,133081000,133495000,132472000,132466000,97986000,93187000,97853000,97818000,99225000,0,0,0,,546000,554000,563000,12068000,12539000,11822000,12122000,11904000,11354000,11090000,9454000,9617000,9688000,8722000,9052000,9577000,9571000
BalanceReserve,9612000,9369000,9494000,2868000,2791000,-1531000,5020000,4475000,3138000,3687000,3913000,4164000,23282000,23207000,22254000,26911000,25990000,27708000,52806000,49914000,46595000,44033000,41326000,38166000,35592000,31926000,31428000,28619000,26755000,23406000,21921000,20080000,18248000,15966000,20590000
BalanceNonshareCapital,13389000,18107000,24625000,24776000,24398000,25677000,24324000,22647000,22284000,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLiabilities,,,,,,,,,,19806000,19747000,18720000,22887000,21591000,23710000,38433000,35585000,32414000,29937000,27336000,24248000,21857000,19457000,18898000,16584000,15227000,11109000,9717000,7932000,6236000,3877000,8427000,9567000,13945000,19829000
BalanceNoncurrentTradeLiabilities,19717000,18846000,19947000,16873000,15352000,14203000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,3476000,3460000,3534000,4024000,4399000,3998000,14373000,14329000,14181000,14096000,13990000,13918000,13735000,12469000,12530000,12035000,11528000,12297000,12204000,12148000,12012000,12089000,12163000,3822000,4162000,4796000,5059000,5552000,5730000
BalanceNoncurrentLeasing,7451000,7295000,8081000,37533000,38755000,38776000,44956000,40408000,52267000,94427000,109295000,97757000,105622000,96124000,85603000,102680000,96274000,94645000,86861000,89995000,91970000,84879000,79751000,82271000,87749000,89055000,65597000,69886000,88071000,88222000,87349000,75075000,73772000,73290000,77138000
BalanceNoncurrentOtherLiabilities,23460000,18373000,21300000,29144000,25291000,31255000,53022000,49599000,43742000,54702000,41342000,36785000,44996000,44589000,42195000,39811000,36628000,47217000,41239000,32246000,37766000,40663000,37751000,25048000,29507000,45081000,43775000,44456000,40261000,44127000,37791000,36660000,8190000,12894000,12516000
BalanceCurrentLiabilities,9087000,9168000,14622000,28745000,38149000,42276000,38044000,39328000,37830000,42683000,39576000,36354000,32936000,37571000,32629000,30482000,33061000,29213000,33441000,35633000,36911000,37209000,36689000,37149000,35432000,29456000,23352000,28338000,30838000,,,,,,
BalanceCurrentTradePayablesv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883000,7488000,4960000,6725000,5949000,6390000
BalanceCurrentObligations,12660000,21547000,11739000,12876000,15789000,10988000,15001000,12109000,16096000,14114000,15796000,12124000,13158000,14444000,15292000,13645000,15671000,68199000,69261000,17268000,18783000,18102000,9641000,10172000,11971000,12790000,,,,,,,,,
BalanceCurrentLeasing,,,,,,,,,,,,,,,,,,,,,,,,,,,105304000,109167000,110655000,0,183308000,180045000,194916000,0,278561000
BalanceCurrentOtherLiabilities,293780000,278079000,0,287480000,276593000,262258000,280108000,266496000,268188000,259277000,260649000,262757000,255529000,248936000,251215000,254952000,260975000,186678000,194146000,214971000,222452000,221779000,213168000,202808000,201061000,200358000,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,4500000,183000,5363000,-4207000,5074000,-1096000,6504000,8310000,12033000,-357000,-1267000,11372000,1823000,1808000,3426000,2207000,9187000,5463000,4549000,2615000,12587000,2879000,4450000,10258000,2959000,-1317000,625000,2754000,7666000,-1473000,4352000,-2749000,10405000,-1583000,1719000
