,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,11088000,13502000,9279000,11352000,12763000,11764000,10642000,15251000,18766000,15121000,13623000,15634000,20339000,19715000,15396000,20554000,23280000,22819000,17817000,20383000,22199000,19704000,16739000,24411000,25890000,22282000,18242000,24676000,22459000,22988000,21794000,24188000,26559000,24138000,20517000,25718000,24112000,29498000,23133000,25620000
IncomeCostOfSales,5565000,8407000,5719000,6609000,5896000,6599000,6233000,9311000,11133000,9016000,7945000,8356000,10970000,12405000,9186000,12454000,13045000,14327000,11276000,12459000,13078000,11683000,9922000,15619000,16479000,14960000,11497000,15269000,14049000,14973000,14091000,15438000,17538000,16895000,13117000,16888000,15796000,19127000,14429000,16245000
IncomeDistributionExpenses,674000,-286000,394000,88000,167000,215000,203000,237000,206000,246000,248000,537000,386000,333000,406000,618000,481000,550000,351000,661000,488000,558000,452000,556000,622000,663000,417000,667000,499000,534000,397000,528000,469000,753000,489000,630000,350000,830000,519000,780000
IncomeAdministrativExpenses,1700000,3346000,2309000,2880000,2628000,2738000,2815000,3048000,3134000,2473000,2661000,2707000,2941000,3165000,2728000,3349000,3506000,3296000,2856000,2690000,3044000,2773000,3034000,3022000,3228000,3116000,3015000,3155000,3315000,3672000,3325000,3227000,3669000,3701000,3625000,3393000,3566000,4694000,4110000,3601000
IncomeGrossProfit,3149000,2035000,857000,1775000,4072000,2212000,1391000,2655000,4293000,3386000,2769000,4034000,6042000,3812000,3076000,4133000,6248000,4646000,3334000,4573000,5589000,4690000,3331000,5214000,5561000,3543000,3313000,5585000,4596000,3809000,3981000,4995000,4883000,2789000,3286000,4807000,4400000,4847000,4075000,4994000
IncomeOtherOperatingIncome,157000,163000,55000,439000,-160000,305000,127000,122000,166000,227000,168000,182000,146000,149000,377000,643000,213000,86000,227000,306000,91000,222000,194000,357000,284000,259000,72000,345000,163000,238000,250000,212000,148000,214000,88000,83000,472000,104000,125000,63000
IncomeOtherOperatingCosts,223000,103000,80000,280000,97000,246000,30000,92000,77000,133000,367000,292000,73000,203000,188000,186000,261000,724000,176000,181000,200000,233000,207000,290000,525000,674000,257000,449000,312000,114000,451000,186000,316000,576000,226000,233000,317000,226000,265000,195000
IncomeEBIT,3083000,2095000,832000,1934000,3815000,2271000,1488000,2685000,4382000,3480000,2570000,3924000,6115000,3758000,3265000,4590000,6200000,4008000,3385000,4698000,5480000,4679000,3318000,5281000,5320000,3128000,3128000,5481000,4447000,3933000,3780000,5021000,4715000,2427000,3148000,4657000,4555000,4725000,3935000,4862000
IncomeFinanceIncome,39000,-7000,145000,158000,137000,204000,279000,292000,312000,131000,250000,284000,261000,506000,354000,279000,186000,341000,370000,427000,107000,-100000,277000,173000,129000,54000,859000,482000,-1174000,48000,279000,589000,-192000,548000,153000,51000,88000,99000,196000,260000
IncomeFinanceCosts,73000,-99000,118000,263000,99000,-50000,60000,124000,262000,166000,207000,69000,639000,2458000,182000,119000,-4000,99000,0,273000,101000,94000,263000,51000,267000,1361000,715000,313000,-655000,203000,20000,82000,302000,124000,8000,266000,54000,97000,,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3049000,2187000
