,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,4441000000,4601000000,4614000000,4686000000,4563000000,4642000000,4734000000,4686000000,4440000000,4507000000,4647000000,4650000000,4527000000,4520000000,4539000000,4579000000,4312000000,4185000000,4058000000,4005000000,3873000000,3987000000,3898000000,3957000000,3729000000,3790000000,3679000000,3724000000,3520000000,3667000000,3472000000,3482000000,3267000000,3303000000,3196000000,3157000000,2995000000,3084000000,3046000000,3087000000,2930000000,3013000000,2971000000,2926000000,2803000000,2903000000,2851000000,2981000000,2818000000,2839000000,2814000000,2910000000,2710000000,2706000000,2755000000
IncomeRevenues_yy,,,,,2.75,0.89,2.60,,-2.70,-2.91,-1.84,-0.77,1.96,0.29,-2.32,-1.53,-4.75,-7.41,-10.60,-12.54,-10.18,-4.73,-3.94,-1.20,-3.72,-4.94,-5.62,-5.89,-5.60,-3.25,-5.63,-6.50,-7.19,-9.93,-7.95,-9.33,-8.33,-6.63,-4.69,-2.22,-2.17,-2.30,-2.46,-5.22,-4.33,-3.65,-4.04,1.88,0.54,-2.20,-1.30,-2.38,-3.83,-4.68,-2.10
IncomeRevenues_sy,,,,,73.88,63.57,55.71,,-2.70,1.06,-1.84,6.09,16.18,18.44,31.91,59.36,28.82,40.52,6.80,-17.56,-7.74,-4.73,4.85,4.86,7.14,-2.14,2.82,5.58,6.47,-0.88,-12.47,-13.83,-8.52,-8.82,-0.44,-9.32,0.73,-9.11,-7.71,-10.35,-10.51,-9.91,-2.46,-5.22,-4.33,1.72,-4.04,1.88,-19.28,-2.78,-5.57,-2.78,-3.83,-4.68,-3.24
IncomeRevenues_qq,,3.60,0.28,1.56,-2.62,1.73,1.98,-1.01,-5.25,1.51,3.11,0.06,-2.65,-0.15,0.42,0.88,-5.83,-2.95,-3.03,-1.31,-3.30,2.94,-2.23,1.51,-5.76,1.64,-2.93,1.22,-5.48,4.18,-5.32,0.29,-6.17,1.10,-3.24,-1.22,-5.13,2.97,-1.23,1.35,-5.09,2.83,-1.39,-1.51,-4.20,3.57,-1.79,4.56,-5.47,0.75,-0.88,3.41,-6.87,-0.15,1.81
IncomeRevenues_sq,,3.52,15.33,15.36,-2.62,1.73,13.33,-1.01,-5.25,0.58,16.23,8.24,0.81,1.53,9.55,31.04,-13.42,-2.83,-3.03,1.50,-8.26,2.34,0.06,0.94,3.36,-0.85,5.43,4.68,-2.44,0.44,-5.11,,-12.86,3.75,-3.76,-1.22,-3.64,2.97,-6.08,1.35,-7.95,-2.16,4.40,0.57,-1.51,1.14,8.42,-4.41,-3.96,-3.69,5.35,18.86,-6.87,-0.15,0.61
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
