,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,4371000,13035000,8164000,10219000,8531000,15792000,13081000,12116000,17154000,18239000,18701000,20956000,17542000,19072000,18174000,18260000,21017000,22218000,20641000,21204000,24414000,27600000,22399000,45216000,56837000,55068000,52960000,60272000,55603000,59763000,53559000
IncomeRevenues_yy,,,,,95.17,21.15,60.23,18.56,101.08,15.49,42.96,72.96,2.26,4.57,-2.82,-12.87,19.81,16.49,13.57,16.13,16.16,24.22,8.52,113.24,132.81,99.53,136.44,33.30,-2.17,8.52,1.13
IncomeRevenues_sy,,,,,32.31,20.22,15.88,18.31,8.98,17.41,7.21,13.48,5.91,4.57,4.54,2.11,0.05,9.11,2.51,-5.04,-2.10,0.86,10.01,14.96,11.56,9.87,3.17,2.90,3.44,6.10,1.89
IncomeRevenues_qq,,198.22,-37.37,25.17,-16.52,85.12,-17.17,-7.38,41.58,6.32,2.54,12.06,-16.29,8.73,-4.71,0.47,15.10,5.72,-7.10,2.73,15.14,13.05,-18.84,101.86,25.70,-3.11,-3.83,13.81,-7.75,7.48,-10.38
IncomeRevenues_sq,,-7.78,-5.63,33.38,1.76,-10.72,5.69,9.11,7.20,-8.47,2.54,12.30,1.17,-11.01,1.14,10.65,4.51,-7.44,0.80,6.93,6.29,-8.57,7.08,13.74,0.31,-7.90,5.60,5.14,8.57,-11.48,9.36
IncomeCostOfSales,,,,,,,,,,,,,,55629000,13751000,13481000,15015000,16612000,14166000,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,-70.14,3.02,-100.00,-100.00,-100.00,-100.00,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,6.55,3.68,-2.54,-1.72,-13.20,6.58,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,-75.28,-1.96,11.38,10.64,-14.72,-100.00,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,-1.68,6.86,4.36,-5.39,-5.80,8.01,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,4515000,1114000,1037000,1106000,1346000,1318000,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,-70.19,18.32,-100.00,-100.00,-100.00,-100.00,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,14.32,8.62,2.57,14.32,-10.72,14.45,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,-75.33,-6.95,6.72,21.67,-2.07,-100.00,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,-12.04,12.36,5.30,13.92,-10.37,12.10,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,4461000,1138000,1371000,1356000,1936000,1501000,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,-56.61,31.93,-100.00,-100.00,-100.00,-100.00,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,5.72,17.66,1.50,-6.24,-19.22,-13.44,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,-74.49,20.48,-1.12,42.79,-22.45,-100.00,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,-4.92,10.25,-0.51,6.73,-9.44,0.72,,,,,,,,,,,
