,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7832000,30872000,28237000,34667000,34327000,38107000,30436000,91159000,67172000,46314000,37606000,56377000,147003000,88608000,59267000,104801000,59031000,55589000,49225000,62816000,45869000,56505000,38538000,38875000,31318000,34274000,35801000,170251000,41830000,44185000,31087000,37649000,31906000,37250000,134601000,43561000,35449000,38126000,31810000,37047000,28901000,35376000,45435000,40341000,63292000,60203000
IncomeCostOfSales,7542000,22275000,20916000,25959000,19254000,20970000,21336000,72228000,46957000,26880000,26932000,38412000,126221000,65989000,45739000,80081000,43244000,35261000,32894000,42675000,31616000,36255000,23774000,25335000,20189000,20438000,22873000,113554000,29867000,25927000,18464000,22479000,18965000,21341000,90515000,26626000,21427000,21906000,19421000,21717000,18268000,18749000,36175000,23165000,42258000,37833000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,11527000,20942000,5625000,47479000,13994000,14718000,11810000,14954000,13573000,13181000,9429000,9367000,9744000,12802000,7340000,10570000,8417000,10903000,9678000,8776000,7324000,6388000,7890000,10593000,7607000,7351000,7163000,20603000,8109000,7207000,7328000,7531000,7127000,7491000,6850000,24998000,6761000,7528000,7477000,7477000,6714000,7096000,6546000,45304000,7276000,7633000
IncomeGrossProfit,-11237000,-12344000,1696000,-38772000,1079000,2418000,-2710000,3976000,6643000,6253000,1246000,8598000,11038000,9817000,6188000,14150000,7370000,9424000,6652000,11364000,6929000,13862000,6874000,2948000,3522000,6485000,5764000,36093000,3854000,11051000,5295000,7638000,5815000,8418000,37236000,-8063000,7261000,8692000,4911000,7853000,3920000,9531000,2715000,-28129000,13758000,14738000
IncomeOtherOperatingIncome,51228000,89140000,-124038000,-616000,1252000,-255000,869000,5495000,1758000,335000,148000,2214000,490000,846000,431000,-63052000,233000,195000,666000,707000,674000,1841000,576000,1038000,1069000,24070000,342000,-21230000,826000,-58781000,42000,-56348000,797000,-21840000,470000,2970000,34000,9015000,168000,8839000,55000,-18149000,13000,584000,84000,10843000
IncomeOtherOperatingCosts,4195000,-923000,-120691000,4943000,-3099000,25650000,3436000,-3496000,842000,93589000,25597000,107532000,2665000,17267000,351000,-8380000,15233000,13243000,-1791000,-14160000,1103000,36191000,1999000,49136000,343000,13369000,4000,-440000,1314000,-553000,347000,12241000,1239000,445000,335000,10735000,414000,620000,-397000,1867000,219000,406000,1263000,626000,88000,96000
IncomeEBIT,35797000,77719000,-1651000,-44331000,5430000,-23486000,-5276000,12968000,7560000,-87001000,-24204000,-96719000,8864000,-6604000,6268000,-40522000,-7631000,-3624000,9109000,26231000,6500000,-20488000,5451000,-45150000,4248000,17187000,6101000,15303000,3366000,-47176000,4990000,-60951000,5373000,-13867000,37372000,-15827000,6881000,17087000,5476000,14825000,3756000,-9024000,1465000,-28170000,13753000,25485000
IncomeFinanceIncome,1919000,1145000,763000,2837000,1238000,1714000,883000,-91442000,-87162000,84301000,650000,456000,36486000,-36976000,263000,-273000,2239000,-116000,-1367000,265000,36526000,-36396000,37000,347000,10640000,1459000,485000,257000,380000,320000,221000,264000,597000,93233000,280000,337000,179000,531000,-289000,71000,464000,549000,84299000,384000,189000,61000
IncomeFinanceCosts,766000,10390000,7581000,9152000,11290000,-11921000,18163000,46631000,16031000,60295000,-27261000,136000,11011000,25998000,-13492000,7354000,10696000,9448000,85657000,18065000,9110000,-12835000,-10844000,3585000,19421000,24728000,-6927000,124000,10812000,3853000,8226000,18507000,-19513000,20519000,6794000,9857000,8908000,20335000,-6653000,-5065000,2907000,2992000,-3215000,11341000,4448000,4078000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,-347000,,,,,115000,368000,-134000,-127000,-183000,-47000,-177000,65000,-13467000,12440000,-292000,-12509000,12700000,-1747000,-6865000,36950000,68474000
IncomeNetGrossProfit,-8469000,-50646000,-4622000,-9851000,-22556000,-125105000,-95634000,-62995000,3707000,-96399000,34339000,-69579000,20023000,-48149000,-16088000,-13188000,-77915000,8432000,33917000,-44049000,16332000,-48388000,-4879000,-5723000,13513000,15436000,-7066000,-50709000,-3015000,-79078000,25851000,58713000,30730000,-25531000,-1895000,-2894000,11905000,6494000,13752000,-11758000,76469000,-26427000,7748000,14603000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36950000,68474000
