,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,88688000,92239000,98621000,106005000,111867000,103401000,101387000,51780000,38405000,47677000,39132000,37619000,38838000,63411000,72541000,87003000,91663000,119147000,135806000,149429000,154658000,160520000,156164000,133896000,109336000,163600000,164635000,150530000,147390000,158781000,158309000,119727000,138401000,180779000,168746000,142350000,175201000,376576000,315797000,330124000,380132000,410690000,386825000,419601000,479938000,503477000
IncomeCostOfSales,72056000,74608000,76010000,82699000,85983000,78687000,80376000,43022000,29307000,38638000,38091000,36867000,37822000,56872000,62619000,76325000,82780000,104358000,113629000,124883000,133286000,130708000,132965000,115529000,95399000,134710000,134606000,128165000,127415000,131589000,133443000,100843000,122175000,156233000,143298000,121544000,147748000,319304000,270103000,283780000,329385000,354534000,331174000,364589000,412992000,432297000
IncomeDistributionExpenses,2697000,2984000,2951000,4861000,3238000,4750000,4028000,3405000,2820000,3336000,2958000,4785000,3098000,4922000,6051000,6890000,5975000,8745000,10239000,15827000,11895000,13108000,12389000,11723000,6830000,11385000,11108000,11311000,8380000,13155000,9875000,9763000,7546000,10422000,9829000,11878000,8383000,15782000,16130000,17568000,17778000,20496000,20913000,26213000,25522000,27280000
IncomeAdministrativExpenses,1758000,3092000,2720000,3580000,3284000,2974000,2525000,-124000,2244000,2233000,1962000,2656000,1941000,4181000,2442000,3973000,2555000,2692000,3205000,4702000,3337000,6229000,3971000,4639000,4292000,5979000,4710000,4676000,5061000,6592000,4045000,8662000,5210000,8574000,7649000,5144000,8062000,13052000,8820000,11382000,11802000,12836000,13642000,17043000,17220000,17089000
IncomeGrossProfit,12177000,11555000,16940000,14865000,19362000,16990000,14458000,5477000,4034000,3470000,-3879000,-6689000,-4023000,-2564000,1429000,-185000,353000,3352000,8733000,4017000,6140000,10475000,6839000,2005000,2815000,11526000,14211000,6378000,6534000,7445000,10946000,459000,3470000,5550000,7970000,3784000,11008000,28438000,20744000,17394000,21167000,22824000,21096000,11756000,24204000,26811000
IncomeOtherOperatingIncome,2053000,1421000,412000,1882000,207000,190000,79000,4341000,1381000,367000,108000,10536000,2280000,3740000,1041000,3818000,777000,347000,692000,3972000,350000,1534000,829000,3563000,464000,1914000,133000,402000,613000,386000,512000,1362000,442000,19703000,3768000,4325000,3550000,4531000,1448000,-670000,1648000,1288000,1649000,10582000,1882000,602000
IncomeOtherOperatingCosts,1913000,1073000,-201000,1614000,36000,112000,2514000,4853000,1284000,603000,188000,17409000,957000,3957000,-99000,6150000,214000,148000,311000,2849000,74000,846000,351000,1424000,154000,1754000,1139000,-555000,352000,267000,958000,184000,338000,1029000,314000,2723000,305000,1752000,1010000,969000,1087000,1285000,1706000,-1105000,534000,1131000
IncomeEBIT,12317000,11903000,17553000,15133000,19533000,17068000,12023000,4965000,4131000,3234000,-3959000,-13562000,-2700000,-2781000,2569000,-2517000,916000,3551000,9114000,5140000,6416000,11163000,7317000,4144000,3125000,11686000,13205000,7335000,6795000,7564000,10500000,1637000,3574000,24224000,11424000,5386000,14253000,31217000,21182000,15755000,21728000,22827000,21039000,23443000,25552000,26282000
IncomeFinanceIncome,36000,164000,166000,366000,1819000,1001000,1507000,4620000,1728000,731000,1307000,4171000,5371000,3557000,-1556000,-986000,1020000,1823000,-1658000,1478000,5662000,108000,2549000,-846000,437000,-244000,-89000,689000,356000,-31000,97000,-13000,2078000,-1972000,487000,-97000,954000,1910000,-1249000,2993000,2358000,-209000,-212000,1353000,112000,85000
IncomeFinanceCosts,831000,841000,-101000,663000,610000,555000,698000,15522000,9591000,-2483000,-2622000,4144000,2024000,7143000,-1101000,-1292000,2918000,2816000,4009000,8000,2600000,3232000,2877000,162000,1504000,4172000,2501000,2586000,5237000,620000,2650000,11080000,1673000,1058000,2564000,2711000,2592000,847000,858000,1563000,1220000,2065000,1495000,3099000,2595000,3468000
