,2006/Q3,2006/Q4,2007/Q3,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,1294000,1665000,1399000,3470000,4678000,-100000,10519000,6933000,6689000,7595000,8446000,11117000,8442000,10716000,10744000,10172000,11092000,18938000,23235000,17420000,12187000,18575000,21045000,20962000,22292000,21139000,22462000,20233000,25363000,27416000,25934000,24646000,21206000,24379000,64307000,30639000,16128000,28414000,17380000,34245000,31009000,33545000,23877000,45510000
IncomeRevenues_yy,,,8.11,,,-107.15,,99.80,42.99,7695.00,-19.71,60.35,26.21,41.09,27.21,-8.50,31.39,76.73,116.26,71.25,9.87,-1.92,-9.43,20.33,82.92,13.80,6.73,-3.48,13.78,29.69,15.46,21.81,-16.39,-11.08,147.96,24.32,-23.95,16.55,-72.97,11.77,92.27,18.06,37.38,32.90
IncomeRevenues_sy,,,39.22,,,-5.19,,13.49,1.98,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07
IncomeRevenues_qq,,28.67,,,34.81,-102.14,10619.00,-34.09,-3.52,13.54,11.20,31.62,-24.06,26.94,0.26,-5.32,9.04,70.74,22.69,-25.03,-30.04,52.42,13.30,-0.39,6.34,-5.17,6.26,-9.92,25.35,8.09,-5.41,-4.97,-13.96,14.96,163.78,-52.36,-47.36,76.18,-38.83,97.04,-9.45,8.18,-28.82,90.60
IncomeRevenues_sq,,97.14,,,13.25,-10.87,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,-4.50,-1.02,3.26
IncomeCostOfSales,261000,485000,632000,1105000,1697000,71000,4822000,3149000,2650000,4015000,3637000,5947000,4151000,4389000,3593000,2735000,2534000,4499000,8629000,,,,,,,,,,,,,,,,14070000,3048000,3981000,1661000,,,981000,703000,,
IncomeCostOfSales_yy,,,142.15,,,-88.77,,184.98,56.16,5554.93,-24.57,88.85,56.64,9.32,-1.21,-54.01,-38.95,2.51,140.16,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,,-100.00,-100.00,-75.36,-57.68,,
IncomeCostOfSales_sy,,,142.15,,,51.30,,2.07,-23.66,-54.95,-25.23,-48.93,-28.30,-29.70,96.31,-13.90,58.10,10.80,-3.66,80.90,-13.22,-15.82,-65.40,,,,,,,,,,,,,,,,-15.12,-20.33,-0.74,-11.98,,
IncomeCostOfSales_qq,,85.82,,,53.57,-95.82,6691.55,-34.70,-15.85,51.51,-9.41,63.51,-30.20,5.73,-18.14,-23.88,-7.35,77.55,91.80,-100.00,,,,,,,,,,,,,,,,-78.34,30.61,-58.28,-100.00,,,-28.34,-100.00,
IncomeCostOfSales_sq,,213.79,,,5.82,-21.56,-6.76,-16.70,-20.00,3.67,-21.48,8.91,-10.09,12.29,29.59,-22.28,1.32,5.25,5.68,-13.79,,,,,,,,,,,,,,,,-17.94,-2.86,-0.72,-9.64,,,-13.38,-1.34,
