,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,937103000,979420000,986094000,1054628000,1146027000,1402916000,1253562000,1329827000,1388349000,1464765000,1442616000,1488797000,1565887000,1620258000,1580700000,1628803000,1720797000,1739559000,1637200000,1688150000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,122775000,165165000,116364000,156997000,217356000,304818000,233918000,268609000,276300000,284618000,342633000,321404000,334163000,365838000,298200000,123719000,327681000,342200000,327600000,358323000
IncomeOtherOperatingIncome,15858000,10918000,16579000,12914000,12720000,21995000,14940000,26697000,13883000,22968000,18801000,17809000,16690000,17362000,27800000,18222000,7278000,56478000,17300000,40669000
IncomeOtherOperatingCosts,28997000,22185000,14585000,16970000,20520000,34184000,27417000,8098000,12243000,28322000,36049000,49568000,36483000,22349000,12700000,19870000,23630000,38495000,23200000,33303000
IncomeEBIT,109636000,153898000,118358000,152941000,209556000,292629000,221441000,287208000,277940000,279264000,325385000,289645000,314370000,360851000,313300000,122071000,311329000,360183000,321700000,365689000
IncomeFinanceIncome,5141000,5047000,14226000,45875000,-3093000,17719000,178149000,-100767000,-61505000,-8301000,3637000,22182000,81281000,27853000,101300000,34862000,36538000,6150000,1300000,280000
IncomeFinanceCosts,-24002000,8977000,91159000,80733000,60304000,200413000,72052000,79725000,78153000,138048000,108114000,230968000,-34582000,194596000,353300000,101053000,101147000,100923000,96400000,99228000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,138779000,149968000,41425000,118083000,146159000,109935000,327538000,106716000,138282000,132915000,220908000,80859000,430233000,194108000,61300000,55880000,246720000,265410000,226600000,266741000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,138779000,149968000,41425000,118083000,146159000,109935000,327538000,106716000,138282000,132915000,220908000,80859000,430233000,194108000,61300000,55880000,246720000,265410000,226600000,266741000
