,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,300500000,339120000,475625000,446482000,454210000,432768000,479360000,582948000,627122000,598301000,634632000,577487000,641415000,673655000,680420000,648422000,680742000,622133000,822339000,763668000,784000000,734894000,804492000,631570000,728242000,700817000,771103000,688249000,730700000,710408000,778560000,721265000,759981000,707166000,773902000,703087000,735866000,739951000,789731000,792431000
IncomeRevenues_yy,,,,,51.15,27.62,0.79,30.56,38.07,38.25,32.39,-0.94,2.28,12.59,7.21,12.28,6.13,-7.65,20.86,17.77,15.17,18.12,-2.17,-17.30,-7.11,-4.64,-4.15,8.97,0.34,1.37,0.97,4.80,4.01,-0.46,-0.60,-2.52,-3.17,4.64,2.05,12.71
IncomeRevenues_sy,,,,,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,12.85,40.25,-6.13,1.73,-4.72,10.77,21.61,7.58,-4.60,6.07,-9.00,11.07,5.03,1.00,-4.70,4.98,-8.61,32.18,-7.13,2.66,-6.26,9.47,-21.49,15.31,-3.77,10.03,-10.74,6.17,-2.78,9.59,-7.36,5.37,-6.95,9.44,-9.15,4.66,0.56,6.73,0.34
IncomeRevenues_sq,,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,232855000,277489000,352706000,331037000,329712000,326462000,396946000,519897000,549841000,562938000,551012000,507802000,543515000,570917000,565866000,549874000,575946000,783021000,732472000,771479000,704091000,705973000,700846000,537993000,597150000,591574000,635097000,602710000,628520000,624206000,660526000,549441000,608198000,581681000,647761000,523547000,606597000,639176000,669755000,600881000
IncomeCostOfSales_yy,,,,,41.60,17.65,12.54,57.05,66.76,72.44,38.81,-2.33,-1.15,1.42,2.70,8.29,5.97,37.15,29.44,40.30,22.25,-9.84,-4.32,-30.26,-15.19,-16.20,-9.38,12.03,5.25,5.52,4.00,-8.84,-3.23,-6.81,-1.93,-4.71,-0.26,9.88,3.40,14.77
IncomeCostOfSales_sy,,,,,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,23.18
IncomeCostOfSales_qq,,19.17,27.11,-6.14,-0.40,-0.99,21.59,30.97,5.76,2.38,-2.12,-7.84,7.03,5.04,-0.88,-2.83,4.74,35.95,-6.46,5.33,-8.73,0.27,-0.73,-23.24,11.00,-0.93,7.36,-5.10,4.28,-0.69,5.82,-16.82,10.69,-4.36,11.36,-19.18,15.86,5.37,4.78,-10.28
IncomeCostOfSales_sq,,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,4.18,1.47,-2.64,2.09
IncomeDistributionExpenses,37257000,52631000,58427000,56905000,67498000,54775000,62763000,72824000,67697000,69681000,71512000,68986000,73027000,80880000,77807000,74480000,79134000,76338000,79616000,73976000,74167000,70332000,74181000,60576000,66090000,65134000,82714000,59833000,58839000,64910000,64401000,116994000,87510000,84350000,63858000,113916000,85739000,84580000,56803000,112095000
IncomeDistributionExpenses_yy,,,,,81.17,4.07,7.42,27.97,0.29,27.21,13.94,-5.27,7.87,16.07,8.80,7.96,8.36,-5.62,2.32,-0.68,-6.28,-7.87,-6.83,-18.11,-10.89,-7.39,11.50,-1.23,-10.97,-0.34,-22.14,95.53,48.73,29.95,-0.84,-2.63,-2.02,0.27,-11.05,-1.60
IncomeDistributionExpenses_sy,,,,,-2.22,-10.29,1.48,27.97,0.29,18.87,13.94,5.03,11.18,17.48,17.50,9.87,-4.76,-34.71,-11.60,-11.91,3.44,-3.02,-2.34,-18.11,-10.13,-7.39,4.88,24.75,5.43,12.92,5.04,-16.92,3.84,9.33,-2.35,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,41.26,11.01,-2.60,18.62,-18.85,14.58,16.03,-7.04,2.93,2.63,-3.53,5.86,10.75,-3.80,-4.28,6.25,-3.53,4.29,-7.08,0.26,-5.17,5.47,-18.34,9.10,-1.45,26.99,-27.66,-1.66,10.32,-0.78,81.66,-25.20,-3.61,-24.29,78.39,-24.73,-1.35,-32.84,97.34
IncomeDistributionExpenses_sq,,41.26,-28.21,-4.77,4.76,12.96,-13.11,13.93,-7.04,36.18,-1.91,31.47,-6.87,20.46,-19.74,17.81,-10.65,-1.44,-14.48,4.57,-12.94,3.98,0.51,0.14,6.47,-4.24,-5.90,41.84,-5.45,6.11,-7.23,-0.34,-7.29,2.06,1.11,14.04,-8.39,1.46,-2.07,18.18
IncomeAdministrativExpenses,10717000,18343000,12844000,13069000,12861000,20330000,11297000,16596000,11639000,17741000,16470000,17058000,17775000,20206000,17757000,18407000,17726000,32644000,21099000,19170000,16130000,19778000,20057000,12992000,13989000,20674000,15874000,14418000,15693000,17612000,15946000,29409000,19281000,25699000,17206000,31533000,19714000,24218000,15695000,24610000
IncomeAdministrativExpenses_yy,,,,,20.01,10.83,-12.04,26.99,-9.50,-12.73,45.79,2.78,52.72,13.89,7.81,7.91,-0.28,61.56,18.82,4.15,-9.00,-39.41,-4.94,-32.23,-13.27,4.53,-20.86,10.98,12.18,-14.81,0.45,103.97,22.86,45.92,7.90,7.22,2.25,-5.76,-8.78,-21.95
IncomeAdministrativExpenses_sy,,,,,11.81,17.27,12.50,6.35,11.43,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,71.16,-29.98,1.75,-1.59,58.07,-44.43,46.91,-29.87,52.43,-7.16,3.57,4.20,13.68,-12.12,3.66,-3.70,84.16,-35.37,-9.14,-15.86,22.62,1.41,-35.22,7.67,47.79,-23.22,-9.17,8.84,12.23,-9.46,84.43,-34.44,33.29,-33.05,83.27,-37.48,22.85,-35.19,56.80
IncomeAdministrativExpenses_sq,,24.41,-5.38,9.81,-2.82,38.62,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
