,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,288462000,341057000,250519000,380849000,542364000,359370000,880285000,862482000,720330000,575056000,693184000,776048000,773858000,809605000,1010169000,1680870000,1454968000,1296791000,1275292000,2031289000,1868113000,1650135000,1639425000,2952636000,1947223000,2424456000,1289372000,2185176000,2048250000,1766971000,1909671000,2288560000,2314161000,1847692000,1426052000,2421908000,2282386000,1523627000,1480870000,2755333000,2426518000,1892304000,1957762000,1866224000,1848408000,2955521000
IncomeCostOfSales,210243000,257549000,185612000,292534000,427192000,261174000,659827000,600123000,414604000,419850000,517916000,507237000,519011000,581268000,737331000,1344717000,1035635000,1009805000,1023508000,1547515000,1513440000,1227230000,1231910000,2580281000,1594694000,2161630000,1179581000,1849386000,1580358000,1387771000,1536482000,1697601000,1804933000,1438540000,1154117000,1785202000,1686043000,1339888000,1244618000,2105640000,1870763000,1563972000,1726867000,1536151000,1609388000,2703651000
IncomeDistributionExpenses,33024000,42370000,16108000,27248000,35304000,40996000,104571000,118747000,117957000,81852000,79969000,114194000,111910000,93830000,95434000,127530000,164358000,100178000,114315000,193521000,176054000,172597000,170671000,188825000,227612000,177808000,131425000,229978000,242788000,196450000,147923000,208822000,192276000,159095000,89171000,212645000,181988000,126498000,123093000,205918000,174999000,124058000,104499000,116268000,108016000,224266000
IncomeAdministrativExpenses,10583000,11364000,11194000,9438000,15274000,9828000,17112000,21947000,23669000,7692000,15577000,19408000,15747000,30691000,21999000,22438000,25807000,38350000,38818000,58861000,51063000,72385000,53327000,53028000,62074000,83807000,69658000,53632000,62700000,49452000,49453000,56869000,63791000,71394000,48276000,60440000,52498000,67816000,53411000,53612000,63550000,63509000,66896000,70535000,86542000,60166000
IncomeGrossProfit,34611000,29775000,37604000,51629000,64593000,47373000,98775000,121665000,164100000,65662000,79721000,135210000,127189000,103817000,155405000,186184000,229169000,148457000,98650000,231392000,127556000,177923000,183517000,130502000,62843000,1211000,-91292000,52180000,162404000,133298000,175812000,325268000,253161000,178663000,134487000,363622000,361856000,-10576000,59749000,390163000,317206000,140765000,59500000,143269000,44463000,-32562000
IncomeOtherOperatingIncome,5399000,11271000,4242000,6462000,662000,43253000,8653000,21112000,8595000,11662000,8780000,10831000,3182000,32575000,19308000,8036000,1784000,44710000,2202000,60508000,12105000,147861000,-6849000,66149000,21327000,184665000,20176000,42295000,2846000,66806000,23243000,108899000,126236000,16643000,19934000,144871000,-41571000,132918000,165981000,94979000,-51643000,-55130000,31005000,51266000,135228000,56025000
IncomeOtherOperatingCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeEBIT,40010000,41046000,41846000,58092000,65256000,90626000,107428000,142777000,172695000,77324000,88501000,146041000,130372000,136392000,174713000,194220000,230953000,193167000,100852000,291901000,139661000,325784000,176668000,196651000,84170000,185876000,-71116000,94474000,165250000,200104000,199055000,434167000,379397000,195306000,154421000,508493000,320286000,122342000,225730000,485142000,265564000,85635000,90505000,194535000,179691000,23464000
IncomeFinanceIncome,-1444000,-4677000,136000,879000,-1731000,10586000,3604000,-5645000,-28297000,2634000,32358000,-5874000,4664000,608000,2477000,-60278000,-4480000,62736000,4987000,-3277000,28281000,-15594000,28882000,-24400000,-701000,6326000,3741000,,,,,,,,21195000,-8000,,7256000,-17337000,,19748000,14230000,15050000,25268000,14188000,5513000
IncomeFinanceCosts,57919000,30341000,-19397000,9653000,8889000,16526000,20210000,37110000,81725000,-22708000,39648000,99746000,18772000,64941000,63087000,71216000,75970000,67695000,83408000,30557000,44958000,129591000,80515000,122745000,73391000,74774000,75400000,41440000,32151000,95331000,77330000,80418000,43139000,61448000,73532000,71174000,58485000,55381000,177492000,45546000,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,,0,0,,0,-5328000,-29000,-1569000,6127000,14283000,-197075000,-111717000,-42789000,-189789000,-317738000,45460000,-5342000,71515000,153014000,-92721000,58180000,-5492000,-9008000,-56927000,25224000,104282000,-82968000,-22430000,18818000,22139000,26932000,33703000,49336000,95699000
IncomeNetGrossProfit,53113000,106791000,163795000,70304000,111969000,123640000,114825000,99889000,95466000,156650000,186825000,156156000,87067000,223682000,104855000,238974000,129580000,99227000,33000,160076000,-106206000,-24442000,-112340000,-34358000,82874000,169605000,-13740000,199327000,116928000,484677000,395969000,-50797000,261967000,418193000,161343000,-42466000,64500000,226100000,-70552000,-44512000,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18818000,22139000,26932000,33703000,49336000,95699000
IncomeBeforeTaxProfit,53113000,106791000,163795000,70304000,111969000,123640000,114825000,99889000,95466000,156650000,186825000,156156000,87067000,223682000,104855000,238974000,129580000,99227000,33000,160076000,-106206000,-24442000,-112340000,-34358000,82874000,169605000,-13740000,199327000,116928000,484677000,395969000,-50797000,261967000,418193000,161343000,-42466000,64500000,226100000,-70552000,-44512000,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,17474000,-674000,3050000,2177000,-36708000,-8934000,5530000,531000,-14508000,-5843000,-10837000,-1510000,-78659000,-16529000,-26020000,-31583000,9612000,,,,,21747000,24524000,22485000,29778000,43729000,88869000,55064000,118167000,167064000,68819000
IncomeNetProfit,113019000,123583000,115041000,98834000,99231000,154109000,220102000,171046000,104172000,205888000,105419000,287199000,119442000,97687000,-16217000,136445000,-107184000,-40698000,-87309000,-93848000,73550000,154790000,26649000,83203000,90878000,459339000,346881000,-28869000,247797000,405526000,131792000,-59662000,83333000,234542000,-89338000,-30207000,22122000,24409000,22442000,29744000,43559000,91263000,52165000,132182000,167220000,68861000
IncomeShareholderNetProfit,112961000,123407000,114900000,100310000,100067000,154216000,219797000,171076000,107139000,235804000,116009000,229113000,116915000,102126000,-11211000,150263000,-104379000,-27400000,-76057000,-93607000,77229000,192366000,27427000,80805000,90240000,454318000,346794000,-29725000,247303000,398555000,129933000,-60007000,83329000,233240000,-133408000,5260000,,,,,,,,,,
BalanceNoncurrentAssets,499036000,445339000,452354000,409974000,462376000,801716000,855145000,781575000,1008077000,1019661000,1029385000,1034696000,1188462000,1785807000,1498972000,1499470000,1458934000,2099242000,3064956000,3513959000,3059375000,3381696000,3453901000,3391849000,3671260000,4218357000,3988294000,3652770000,3316751000,3188978000,3420055000,3334081000,3224876000,3038177000,2951155000,2967216000,2953209000,3140011000,3026259000,3199242000,2982766000,3292570000,3342555000,3090444000,3057124000,3767381000
BalanceIntangibleAssets,82318000,79242000,107760000,89932000,111826000,219146000,253709000,194916000,229010000,256568000,225490000,221551000,221500000,400223000,342520000,345590000,326711000,417026000,692419000,728405000,661346000,773642000,714631000,684959000,824028000,1065700000,980862000,923503000,759847000,710978000,741266000,703095000,654217000,647547000,635460000,605958000,561095000,631793000,597888000,633732000,592377000,811550000,831906000,756361000,729332000,779340000
BalanceProperty,,357881000,336035000,307859000,317574000,490904000,559924000,564181000,738296000,703743000,698879000,720234000,741881000,1286672000,1120834000,1149493000,1084982000,1383423000,2167357000,2317588000,2123427000,2468085000,2289368000,2254283000,2334216000,2532284000,2408017000,2218522000,2009365000,1960822000,2060153000,2060462000,2030484000,2014674000,1988126000,1979777000,2074942000,2144299000,2054401000,2184211000,2043008000,2111474000,2147211000,2009027000,1978915000,2201947000
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,403845000,,,,,,,,,,,,,,,,0,0,0,0,302009000,288846000,316553000,311931000,300091000,296477000,296767000,298864000,397770000,380829000,362881000,214716000,181200000,171820000,183909000,207628000,201126000,208321000,194138000,189109000,184509000,176129000,174222000,195504000,12873000,8215000
BalanceOtherNoncurrentAssets,8559000,12182000,32976000,91666000,41513000,22477000,40771000,59350000,105016000,92911000,225082000,98912000,35618000,4387000,47241000,298793000,205180000,467965000,274602000,139969000,147895000,163761000,196462000,308441000,299323000,214268000,250772000,218315000,220866000,189694000,177293000,161241000,146368000,209661000,133264000,156290000,172844000,172977000,153243000,180436000,178928000,148927000,174655000,590590000,388752000,324583000
