,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7244000,2811000,631000,300000,388000,428000,355000,1124000,1015000,335000,40000,12024000,246000,309000,1554000,2555000,288000,63000,40000,121000,490000,90000,106000,470000,15000,2865000,2000,805000,-92000,2059000,276000,364000,426000,407000,476000,,,2000,,
IncomeRevenues_yy,,,,,-94.64,-84.77,-43.74,274.67,161.60,-21.73,-88.73,969.75,-75.76,-7.76,3785.00,-78.75,17.07,-79.61,-97.43,-95.26,70.14,42.86,165.00,288.43,-96.94,3083.33,-98.11,71.28,-713.33,-28.13,13700.00,-54.78,563.04,-80.23,72.46,-100.00,-100.00,-99.51,-100.00,
IncomeRevenues_sy,,,,,-26.14,-25.70,-8.88,-15.47,36.00,28.32,0.53,53.64,28.58,17.55,49.73,11.46,9.48,-10.04,-12.56,-11.06,9.47,23.04,14.48,12.83,-8.66,2.50,-3.60,-7.40,-11.22,-5.23,7.40,5.40,18.56,-10.16,4.23,1.53,5.79,3.54,7.07,
IncomeRevenues_qq,,-61.20,-77.55,-52.46,29.33,10.31,-17.06,216.62,-9.70,-67.00,-88.06,29960.00,-97.95,25.61,402.91,64.41,-88.73,-78.12,-36.51,202.50,304.96,-81.63,17.78,343.40,-96.81,19000.00,-99.93,40150.00,-111.43,2338.04,-86.60,31.88,17.03,-4.46,16.95,-100.00,,,-100.00,
IncomeRevenues_sq,,1.99,-9.10,-2.31,-18.73,3.65,9.24,3.08,8.52,-0.23,-5.62,4.22,2.46,21.40,-4.22,0.58,-2.52,1.31,-8.15,10.67,1.60,-1.20,3.98,12.21,-13.93,3.84,-2.50,2.13,-3.20,18.32,-16.66,5.82,5.51,-0.82,-3.61,0.09,,,3.26,
IncomeCostOfSales,7265000,-591000,691000,30000,841000,-96000,345000,360000,302000,597000,1000,12362000,620000,471000,9531000,1736000,385000,59000,89000,-36000,311000,1044000,161000,383000,23000,-348000,,,,3000,,,,,,,,,,
IncomeCostOfSales_yy,,,,,-88.42,83.76,-50.07,1100.00,-64.09,721.88,-99.71,3333.89,105.30,-21.11,953000.00,-85.96,-37.90,-87.47,-99.07,-102.07,-19.22,1669.49,80.90,1163.89,-92.60,-133.33,-100.00,-100.00,-100.00,100.86,,,,-100.00,,,,,,
IncomeCostOfSales_sy,,,,,-54.95,-25.23,-48.93,-28.30,-29.70,96.31,-13.90,58.10,10.80,-3.66,80.90,-13.22,-15.82,-65.40,-30.01,-42.80,17.34,34.98,6.77,-1.52,-27.04,-3.15,-10.96,-53.08,-14.08,6.82,,,,-15.12,,,,,,
IncomeCostOfSales_qq,,-108.13,216.92,-95.66,2703.33,-111.41,459.38,4.35,-16.11,97.68,-99.83,1236100.00,-94.98,-24.03,1923.57,-81.79,-77.82,-84.68,50.85,-140.45,963.89,235.69,-84.58,137.89,-93.99,-1613.04,100.00,,,,-100.00,,,,,,,,,
IncomeCostOfSales_sq,,-6.76,-16.70,-20.00,3.67,-21.48,8.91,-10.09,12.29,29.59,-22.28,1.32,5.25,5.68,-13.79,0.86,-8.50,1.89,30.94,16.34,6.22,-3.86,3.97,5.74,-20.21,7.66,-8.66,,,,-17.94,,,,,,,,,
IncomeDistributionExpenses,,2166000,,111000,,127000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,-94.14,,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,-94.14,,-52.92,,75.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
