,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,6003000,14305000,8281000,8212000,3571000,11678000,-64000,105873000,7000,-1000,0,208767000,54217000,33992000,38799000,35600000,35674000,55620000,44351000,38565000,22279000,31274000
IncomeCostOfSales,8144000,14066000,10182000,9463000,6634000,13339000,678000,95738000,359000,346000,0,194164000,48964000,32264000,37088000,34230000,33629000,51616000,42287000,36983000,20607000,29886000
IncomeDistributionExpenses,94000,472000,329000,127000,251000,439000,0,,,,,,,,,,,,,2255000,2729000,2488000
IncomeAdministrativExpenses,3142000,1769000,1810000,557000,-1170000,259000,308000,976000,3901000,1543000,638000,1095000,992000,1123000,833000,1004000,952000,1095000,1089000,-4490000,-2962000,-4718000
IncomeGrossProfit,-4520000,-5083000,-3910000,-1299000,11995000,-611000,-655000,-976000,10702000,3710000,1090000,616000,378000,922000,3171000,1060000,630000,577000,299000,991000,2440000,1587000
IncomeOtherOperatingIncome,793000,797000,1515000,258000,-1563000,228000,155000,59000,467000,397000,2704000,58000,2105000,664000,25000,13000,1560000,428000,682000,190000,131000,568000
IncomeOtherOperatingCosts,6653000,89000,1056000,1120000,-1892000,11000,2806000,27000,-1484000,110000,2295000,18000,1643000,301000,458000,4000,197000,41000,11000,-3689000,-653000,-3699000
IncomeEBIT,-10380000,-4375000,-3451000,-2161000,12324000,-394000,-3306000,-944000,12653000,3997000,1499000,656000,840000,1285000,2738000,1069000,1993000,964000,970000,2000,1000,1000
IncomeFinanceIncome,1000,1000,39000,1000,613000,1000,1000,0,1398000,117000,41000,172000,821000,355000,142000,230000,456000,37000,280000,3182000,3264000,2305000
IncomeFinanceCosts,2531000,2149000,2408000,124000,-2243000,54000,50000,21000,19753000,422000,849000,437000,207000,488000,458000,343000,1183000,436000,244000,1001000,576000,16000
IncomeOtherIncome,-2267000,399000,5332000,3649000,1508000,,,,,,,,,,-5868000,-3340000,-5987000,-15177000,-6124000,-488000,1365000,5800000
IncomeNetGrossProfit,-447000,-3355000,543000,-7210000,3692000,691000,391000,1454000,1152000,2422000,956000,1266000,565000,1006000,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,-5868000,-3340000,-5987000,-15177000,-6124000,-488000,1365000,5800000
IncomeBeforeTaxProfit,-447000,-3355000,543000,-7210000,3692000,691000,391000,1454000,1152000,2422000,956000,1266000,565000,1006000,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,-5787000,-3351000,-6139000,-14861000,-6118000,-494000,1365000,6015000
IncomeNetProfit,-447000,-3355000,543000,1546000,1975000,3072000,220000,986000,1005000,1781000,701000,1033000,617000,-489000,-5923000,-3732000,-5940000,-15429000,-5709000,-203000,1366000,5314000
IncomeShareholderNetProfit,-447000,-3355000,543000,1546000,1975000,3072000,220000,986000,1005000,1781000,701000,1033000,617000,-489000,,,,,,,,
BalanceNoncurrentAssets,203329000,191787000,189042000,180139000,177397000,35684000,14357000,14712000,12751000,8605000,174000,31130000,29399000,35943000,44201000,19552000,22611000,30898000,27757000,13802000,13833000,13934000
BalanceIntangibleAssets,8360000,6751000,6738000,421000,406000,263000,1000,,,,,,,,,,,,194969000,185036000,182304000,179718000
BalanceProperty,176991000,35421000,14356000,184000,12751000,8605000,174000,334000,304000,284000,262000,239000,274000,302000,326000,309000,319000,668000,,,,
BalanceNoncurrentReceivables,,,,10569000,,,14840000,14840000,18990000,27425000,6857000,6894000,15764000,12836000,3978000,3999000,4021000,,,,,
BalanceNoncurrInvestments,,,5000,,,1672000,1688000,1704000,1720000,1737000,1654000,1670000,1686000,5000,5000,1234000,,,,,,
BalanceOtherNoncurrentAssets,,3954000,,,14284000,12567000,14965000,14794000,10719000,13789000,13162000,12909000,9510000,9510000,8011000,17558000,19464000,18624000,13146000,12244000,3785000,959000
BalanceCurrentAssets,68118000,1033000,894000,783000,105983000,70388000,71458000,66845000,107751000,109152000,112776000,102555000,92193000,75980000,76365000,6416000,3168000,4456000,4217000,6336000,191000,47000
BalanceInventory,879000,112000,43000,1440000,886000,879000,899000,880000,998000,1304000,1333000,1069000,1069000,1069000,9917000,11116000,9209000,6393000,4411000,3276000,795000,49101000
BalanceCurrentReceivables,625000,671000,422000,45232000,46618000,42126000,42853000,51838000,65376000,71632000,60466000,62327000,44177000,50610000,,3817000,3742000,,15000,,,24000
BalanceCurrentInvestments,21000,17000,14000,17664000,17868000,18076000,18286000,3262000,1222000,601000,383000,523000,2115000,606000,113000,27000,8578000,94000,19000,306000,16356000,417000
BalanceCash,5766000,2536000,15605000,554000,3075000,2174000,7100000,8043000,5039000,624000,980000,694000,421000,891000,205000,90000,9545000,202000,161000,55000,42931000,22446000
