,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,101924000,99517000,109704000,120810000,118251000,108856000,134297000,127223000,124025000,124795000,129113000,144895000,143147000,144476000,153862000,166468000,183354000,172263000,185913000,186310000,188357000,180912000,174731000
IncomeRevenues_yy,,,,,16.02,9.38,22.42,5.31,4.88,14.64,-3.86,13.89,15.42,15.77,19.17,14.89,28.09,19.23,20.83,11.92,2.73,5.02,-6.01
IncomeRevenues_sy,,,,,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,-2.36,10.24,10.12,-2.12,-7.95,23.37,-5.27,-2.51,0.62,3.46,12.22,-1.21,0.93,6.50,8.19,10.14,-6.05,7.92,0.21,1.10,-3.95,-3.42
IncomeRevenues_sq,,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,80087000,76492000,88985000,101422000,95498000,86570000,109523000,101801000,90720000,94315000,98459000,116524000,111670000,114667000,123640000,136741000,149527000,140843000,153078000,146876000,144599000,140429000,135966000
IncomeCostOfSales_yy,,,,,19.24,13.17,23.08,0.37,-5.00,8.95,-10.10,14.46,23.09,21.58,25.58,17.35,33.90,22.83,23.81,7.41,-3.30,-0.29,-11.18
IncomeCostOfSales_sy,,,,,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,-4.49,16.33,13.98,-5.84,-9.35,26.51,-7.05,-10.89,3.96,4.39,18.35,-4.17,2.68,7.83,10.60,9.35,-5.81,8.69,-4.05,-1.55,-2.88,-3.18
IncomeCostOfSales_sq,,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
IncomeDistributionExpenses,11722000,14110000,13755000,12729000,15799000,13521000,17130000,14836000,18380000,21537000,20505000,14552000,22544000,20438000,21179000,19801000,24105000,22452000,23128000,19729000,22787000,23426000,23806000
IncomeDistributionExpenses_yy,,,,,34.78,-4.17,24.54,16.55,16.34,59.28,19.70,-1.91,22.65,-5.10,3.29,36.07,6.93,9.85,9.20,-0.36,-5.47,4.34,2.93
IncomeDistributionExpenses_sy,,,,,-0.97,-4.71,4.47,4.30,6.40,-0.96,2.86,-1.91,-2.58,-2.89,-4.06,3.86,1.80,5.68,2.71,9.16,11.45,1.94,6.60
IncomeDistributionExpenses_qq,,20.37,-2.52,-7.45,24.12,-14.42,26.69,-13.39,23.89,17.17,-4.79,-29.03,54.92,-9.34,3.63,-6.51,21.74,-6.86,3.01,-14.70,15.50,2.80,1.62
IncomeDistributionExpenses_sq,,-19.04,-0.99,6.18,20.30,-15.88,-3.10,-2.46,17.56,-14.52,3.50,-2.11,7.34,-14.68,-1.64,6.96,6.02,-7.94,-1.64,11.06,12.23,-13.40,1.04
IncomeAdministrativExpenses,2518000,3537000,3611000,3385000,3773000,4247000,4686000,3883000,5000000,3654000,3624000,3601000,3997000,4308000,4449000,4327000,5180000,5347000,5325000,6136000,7145000,7901000,7423000
IncomeAdministrativExpenses_yy,,,,,49.84,20.06,29.75,14.71,32.52,-13.96,-22.65,-7.26,-20.06,17.91,22.74,20.18,29.58,24.11,19.70,41.78,37.95,47.77,39.41
IncomeAdministrativExpenses_sy,,,,,-0.18,0.82,-12.33,-13.10,-3.93,-3.10,7.58,1.83,-0.61,2.23,9.68,2.50,-3.44,9.03,8.72,17.83,10.66,12.48,15.73
IncomeAdministrativExpenses_qq,,40.47,2.10,-6.27,11.47,12.55,10.34,-17.13,28.77,-26.93,-0.80,-0.65,11.01,7.78,3.25,-2.72,19.69,3.23,-0.41,15.22,16.45,10.58,-6.05
IncomeAdministrativExpenses_sq,,-15.25,3.02,-1.06,9.45,-11.09,-9.64,5.26,14.15,-19.66,1.56,-1.69,17.54,-11.67,4.11,-9.70,29.22,-9.24,3.67,-1.78,20.69,-13.33,0.86
IncomeGrossProfit,7597000,5378000,3352000,3273000,3182000,4518000,2958000,6703000,9925000,5290000,6524000,10218000,4937000,5063000,4593000,5598000,4542000,3622000,4381000,13569000,13825000,9156000,7536000
IncomeGrossProfit_yy,,,,,-58.12,-15.98,-11.76,104.78,211.94,17.07,120.58,52.44,-50.26,-4.28,-29.60,-45.21,-8.00,-28.47,-4.61,142.39,204.38,152.81,72.00
IncomeGrossProfit_sy,,,,,18.01,19.80,1.60,-6.75,27.38,17.07,5.70,36.43,-3.60,-7.96,-4.38,-13.84,17.78,0.99,-3.23,28.64,-5.88,5.48,-11.93
IncomeGrossProfit_qq,,-29.21,-37.67,-2.35,-2.80,42.01,-34.54,126.63,48.06,-46.70,23.34,56.62,-51.69,2.56,-9.28,21.88,-18.86,-20.27,20.98,209.71,1.89,-33.78,-17.69
IncomeGrossProfit_sq,,-1.37,-15.48,3.70,-2.16,-1.90,-34.54,38.04,48.06,-1.75,7.38,20.07,-19.01,3.66,25.94,1.66,26.30,-15.75,23.92,10.25,1.89,-1.10,-52.44
IncomeOtherOperatingIncome,-11074000,895000,1082000,800000,714000,441000,580000,539000,449000,3507000,564000,675000,1378000,538000,598000,717000,706000,1185000,555000,707000,532000,1385000,842000
IncomeOtherOperatingIncome_yy,,,,,106.45,-50.68,-46.34,-32.68,-37.16,694.51,-2.73,25.29,207.12,-84.66,5.88,6.25,-48.76,120.35,-7.05,-1.47,-24.59,16.83,51.49
IncomeOtherOperatingIncome_sy,,,,,-24.53,13.47,-11.35,4.97,13.14,-14.23,37.42,-2.05,15.25,-21.92,-31.34,-3.20,-13.46,26.98,-9.59,-13.88,-24.59,18.45,20.59
IncomeOtherOperatingIncome_qq,,108.08,20.84,-25.99,-10.79,-38.18,31.46,-7.15,-16.72,681.67,-83.91,19.59,104.14,-60.97,11.11,20.01,-1.56,67.87,-53.13,27.22,-24.66,160.08,-39.23
IncomeOtherOperatingIncome_sq,,-36.95,16.50,-23.13,60.56,-27.66,31.00,-27.94,78.91,-41.30,23.06,-19.86,92.68,-29.20,10.82,1.28,-1.56,-22.28,11.06,16.09,14.11,29.70,33.20
IncomeOtherOperatingCosts,1260000,586000,548000,609000,-384000,171000,365000,146000,3822000,145000,316000,366000,57000,117000,214000,124000,2204000,104000,130000,652000,920000,388000,12009000
IncomeOtherOperatingCosts_yy,,,,,-130.50,-70.78,-33.40,-75.98,1094.56,-15.58,-13.31,150.51,-98.51,-18.99,-32.27,-66.08,3777.79,-11.21,-39.47,424.83,-58.24,273.18,9158.48
