,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,21966000,35042000,31221000,32357000,22131000,35908000,59637000,34284000,30346000,32340000,35870000,40317000,46578000,58896000,61240000,43656000,25415000,27579000,32989000,33705000,18199000,25151000,23223000,45968000,36513000,37727000,32291000,50902000,27525000,40244000,38500000,47335000,27802000,28076000,37810000,64930000,44657000,33123000,38277000,48016000,26634000,31993000,36408000,35259000,23197000,31367000,32913000,35632000,31613000,50479000,56289000,60809000,55381000,67509000
IncomeRevenues_yy,,,,,0.75,2.47,91.02,5.96,37.12,-9.94,-39.85,17.60,53.49,82.12,70.73,8.28,-45.44,-53.17,-46.13,-22.79,-28.39,-8.80,-29.60,36.38,100.63,50.00,39.05,10.73,-24.62,6.67,19.23,-7.01,1.01,-30.24,-1.79,37.17,60.63,17.98,1.24,-26.05,-40.36,-3.41,-4.88,-26.57,-12.90,-1.96,-9.60,1.06,36.28,60.93,71.02,70.66,75.18,33.74
IncomeRevenues_sy,,,,,-12.56,12.49,26.27,39.29,99.18,59.27,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,59.53,-10.90,3.64,-31.60,62.25,66.08,-42.51,-11.49,6.57,10.92,12.40,15.53,26.45,3.98,-28.71,-41.78,8.51,19.62,2.17,-46.01,38.20,-7.67,97.94,-20.57,3.32,-14.41,57.64,-45.93,46.21,-4.33,22.95,-41.27,0.99,34.67,71.73,-31.22,-25.83,15.56,25.44,-44.53,20.12,13.80,-3.16,-34.21,35.22,4.93,8.26,-11.28,59.68,11.51,8.03,-8.93,21.90
IncomeRevenues_sq,,29.37,5.73,9.88,-38.46,43.69,26.67,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,18444000,29098000,24291000,27259000,18076000,30328000,51630000,28387000,24814000,25984000,28513000,33444000,38684000,51034000,50316000,33571000,18200000,20190000,23527000,24166000,14708000,20298000,19148000,37158000,30112000,29561000,24727000,40047000,20061000,30329000,29071000,36246000,21589000,20589000,29037000,53250000,37568000,27664000,29997000,37117000,19463000,23812000,26601000,26365000,16391000,21111000,20708000,25923000,22565000,39566000,44207000,48144000,42589000,53579000
IncomeCostOfSales_yy,,,,,-2.00,4.23,112.55,4.14,37.28,-14.32,-44.77,17.81,55.90,96.41,76.47,0.38,-52.95,-60.44,-53.24,-28.02,-19.19,0.53,-18.61,53.76,104.73,45.64,29.14,7.77,-33.38,2.60,17.57,-9.49,7.62,-32.11,-0.12,46.91,74.01,34.36,3.31,-30.30,-48.19,-13.92,-11.32,-28.97,-15.78,-11.34,-22.15,-1.68,37.67,87.42,113.48,85.72,88.74,35.42
IncomeCostOfSales_sy,,,,,-11.02,14.98,26.77,38.28,94.54,63.64,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,57.76,-16.52,12.22,-33.69,67.78,70.24,-45.02,-12.59,4.72,9.73,17.29,15.67,31.93,-1.41,-33.28,-45.79,10.93,16.53,2.72,-39.14,38.01,-5.67,94.06,-18.96,-1.83,-16.35,61.96,-49.91,51.18,-4.15,24.68,-40.44,-4.63,41.03,83.39,-29.45,-26.36,8.43,23.74,-47.56,22.34,11.71,-0.89,-37.83,28.80,-1.91,25.18,-12.95,75.34,11.73,8.91,-11.54,25.80
IncomeCostOfSales_sq,,23.45,11.71,12.22,-41.23,38.82,19.76,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
