,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,42855000,44488000,62124000,68540000,61878000,90700000,67450000,82143000,82610000,176654000,190532000,216439000,281813000,335859000,306543000,444033000,378331000,474814000,672994000,1005436000,661680000,758242000,779371000,805709000,679878000,843821000
IncomeRevenues_yy,,,,,44.39,103.87,8.57,19.85,33.51,94.77,182.48,163.49,241.13,90.12,60.89,105.15,34.25,41.37,119.54,126.43,74.89,59.69,15.81,-19.86,2.75,11.29
IncomeRevenues_sy,,,,,-4.38,6.22,8.31,3.77,5.62,8.90,6.14,0.94,11.28,1.79,2.12,-1.20,-5.84,8.04,12.38,8.14,11.60,8.36,12.03,12.08,7.52,16.57
IncomeRevenues_qq,,3.81,39.64,10.33,-9.72,46.58,-25.63,21.78,0.57,113.84,7.86,13.60,30.20,19.18,-8.73,44.85,-14.80,25.50,41.74,49.40,-34.19,14.59,2.79,3.38,-15.62,24.11
IncomeRevenues_sq,,4.06,5.76,-3.59,-9.28,12.36,1.39,-6.83,-2.51,13.88,2.34,-7.27,3.76,6.32,-0.38,-3.70,-4.04,15.77,-0.34,-0.14,-4.55,4.54,4.73,1.58,1.11,2.19
IncomeCostOfSales,,85809000,60507000,,,,,,,,,646176000,267720000,320491000,299834000,425191000,358849000,434794000,640311000,960354000,631455000,744078000,752281000,732420000,657211000,823206000
IncomeCostOfSales_yy,,,,,,-100.00,-100.00,,,,,,,,,-34.20,34.04,35.66,113.56,125.86,75.97,71.13,17.49,-23.73,4.08,10.63
IncomeCostOfSales_sy,,,,,,7.05,6.71,,,,,,,,,-6.12,-8.28,3.21,6.26,7.27,12.24,8.23,13.10,9.74,5.60,12.01
IncomeCostOfSales_qq,,,-29.49,-100.00,,,,,,,,,-58.57,19.71,-6.45,41.81,-15.60,21.16,47.27,49.98,-34.25,17.84,1.10,-2.64,-10.27,25.26
IncomeCostOfSales_sq,,,0.32,-3.28,,,,,,,,,-4.06,13.07,-0.62,-2.09,-4.52,16.79,-2.36,1.22,-2.07,8.59,4.03,1.08,-3.30,1.98
IncomeDistributionExpenses,,,,,,,475000,,,,,19005000,7220000,7980000,9834000,13811000,13322000,15557000,19645000,23367000,19486000,19584000,27686000,28873000,20295000,24560000
IncomeDistributionExpenses_yy,,,,,,,,,,,-100.00,,,,,-27.33,84.52,94.95,99.77,69.19,46.27,25.89,40.93,23.56,4.15,25.41
IncomeDistributionExpenses_sy,,,,,,,,,,,4.82,,,,,3.45,2.10,9.36,10.96,6.37,14.85,6.40,11.86,7.76,6.14,8.75
IncomeDistributionExpenses_qq,,,,,,,,-100.00,,,,,-62.01,10.53,23.23,40.44,-3.54,16.78,26.28,18.95,-16.61,0.50,41.37,4.29,-29.71,21.02
IncomeDistributionExpenses_sq,,,,,,,,13.32,,,,,-5.97,9.17,-2.10,10.77,-13.19,14.32,-1.93,2.36,-2.37,8.41,-0.42,2.06,-6.48,5.42
IncomeAdministrativExpenses,,,,,,,,,,,,2499000,882000,1259000,1108000,2620000,1694000,2760000,2820000,3721000,3544000,4773000,2619000,8913000,5672000,6145000
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,4.84,92.06,119.22,154.51,42.02,109.21,72.93,-7.13,139.53,60.05,28.75
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,2.17,0.88,0.76,5.16,5.96,6.23,-0.10,3.89,13.73,11.22,15.94
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,-64.71,42.74,-11.99,136.46,-35.34,62.93,2.17,31.95,-4.76,34.68,-45.13,240.32,-36.36,8.34
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,-8.14,7.57,-9.02,9.18,-7.02,17.36,-2.94,12.72,-6.74,3.76,-1.15,21.20,-11.26,2.98
IncomeGrossProfit,910000,624000,1617000,-98000,507000,1714000,567000,-574000,192000,4692000,1386000,-7715000,5991000,6129000,-4233000,2411000,4466000,21703000,10218000,17994000,7195000,-10193000,-3215000,35503000,-3300000,-10090000
IncomeGrossProfit_yy,,,,,-44.21,174.44,-64.97,-484.70,-62.14,173.81,144.68,-1243.62,3018.30,30.61,-405.39,131.25,-25.45,254.10,341.39,646.33,61.11,-146.97,-131.46,97.30,-145.87,1.01
IncomeGrossProfit_sy,,,,,-8.84,33.08,36.97,11.89,9.54,4.86,6.27,-26.46,-2.77,2.96,-1.50,3.02,11.53,27.44,38.26,5.98,20.60,-9.84,13.58,11.44,15.14,29.60
IncomeGrossProfit_qq,,-31.34,158.94,-106.07,616.76,237.72,-66.94,-201.35,133.46,2342.40,-70.46,-656.57,177.66,2.30,-169.07,156.96,85.23,385.96,-52.92,76.10,-60.01,-241.67,68.46,1204.29,-109.29,-205.76
IncomeGrossProfit_sq,,-11.22,9.82,-7.71,-11.63,44.40,0.50,-22.93,-16.42,42.94,-6.29,-31.34,11.08,43.56,1.43,-44.11,58.25,79.28,-28.24,-25.87,36.57,4.97,32.92,32.29,-6.18,-22.07
IncomeOtherOperatingIncome,8000,59000,112000,87000,102000,598000,94000,198000,150000,104000,107000,13722000,819000,-2438000,9632000,5304000,1937000,-11417000,4230000,-6217000,4445000,17174000,-8424000,-6747000,-2055000,924000
IncomeOtherOperatingIncome_yy,,,,,1104.83,921.72,-15.78,125.99,47.01,-82.57,13.59,6846.70,445.29,-2439.48,8888.76,-61.35,136.51,-368.29,-56.08,-217.21,129.48,250.42,-299.15,-8.53,-146.23,-94.62
IncomeOtherOperatingIncome_sy,,,,,-3.27,81.94,34.84,30.93,-26.76,-26.27,-10.84,32.67,10.54,-1.36,-3.60,-31.53,36.36,21.54,8.54,-42.73,16.70,8.71,19.78,-17.84,-30.17,-12.96
IncomeOtherOperatingIncome_qq,,590.09,91.39,-21.96,16.89,485.21,-84.22,109.41,-23.97,-30.62,2.83,12706.04,-94.03,-397.68,495.08,-44.93,-63.48,-689.42,137.05,-246.97,171.50,286.37,-149.05,19.91,69.54,144.96
IncomeOtherOperatingIncome_sq,,0.09,17.10,60.38,-0.08,-2.86,-44.01,65.25,-29.75,-1.61,-22.39,53.32,-58.02,-16.36,28.52,31.76,21.79,-14.98,-2.28,9.73,-13.60,76.40,-16.14,-60.65,69.54,25.48
IncomeOtherOperatingCosts,71000,143000,749000,-306000,140000,909000,522000,-628000,105000,371000,678000,4645000,3106000,458000,1063000,1920000,-3923000,5075000,1499000,-683000,540000,522000,-26208000,27377000,131000,30000
IncomeOtherOperatingCosts_yy,,,,,98.79,533.78,-30.31,-105.26,-25.40,-59.16,29.84,839.15,2868.64,23.35,56.84,-58.67,-226.30,1008.08,41.02,-135.57,113.76,-89.71,-1848.37,4108.35,-75.74,-94.25
IncomeOtherOperatingCosts_sy,,,,,-9.96,130.09,-18.91,-11.87,-0.81,-31.90,30.37,-19.22,19.47,-5.28,31.67,16.82,-32.23,-17.75,26.54,-6.35,25.00,-18.42,-28.80,-39.11,-47.62,44.29
IncomeOtherOperatingCosts_qq,,103.33,422.13,-140.88,145.81,548.25,-42.58,-220.40,116.65,254.87,82.54,585.41,-33.14,-85.25,132.10,80.62,-304.32,229.37,-70.46,-145.56,179.06,-3.33,-5120.69,204.46,-99.52,-77.10
IncomeOtherOperatingCosts_sq,,13.67,2.36,50.30,-55.88,87.44,-42.58,135.51,-61.52,46.23,-16.03,43.20,-45.08,8.97,-10.64,101.39,-72.28,71.95,-10.61,104.91,-67.44,20.64,9.74,65.76,-74.42,192.93
IncomeEBIT,847000,540000,980000,295000,469000,1403000,139000,252000,238000,4425000,816000,1362000,3704000,3233000,4336000,5795000,10326000,5211000,12949000,12460000,11100000,6459000,14569000,1379000,-5486000,-9196000
IncomeEBIT_yy,,,,,-44.61,159.95,-85.83,-14.74,-49.36,215.53,487.39,440.99,1458.31,-26.94,431.69,325.34,178.78,61.18,198.64,115.01,7.50,23.95,12.51,-88.93,-149.42,-242.37
IncomeEBIT_sy,,,,,-25.22,38.93,41.21,9.77,12.79,5.48,9.18,-23.53,-8.08,-0.84,2.84,-0.08,25.36,32.90,28.51,22.30,26.46,-0.78,16.31,11.46,14.90,20.73
IncomeEBIT_qq,,-36.33,81.64,-69.86,58.90,198.80,-90.10,81.39,-5.62,1761.79,-81.57,67.07,171.87,-12.72,34.12,33.65,78.19,-49.54,148.49,-3.78,-10.91,-41.81,125.56,-90.53,-497.82,-67.63
IncomeEBIT_sq,,-15.91,7.98,4.30,-14.25,54.34,-2.36,-27.97,0.27,27.20,7.22,-32.56,-2.60,37.80,8.42,-41.22,80.38,102.79,-23.40,-11.97,28.02,-7.79,33.37,-16.69,10.89,8.64
IncomeFinanceIncome,60000,-1000,5000,53000,9000,46000,81000,46000,26000,327000,43000,-387000,78000,-29000,9000,25000,109000,22000,-11000,142000,41000,21000,69000,80000,4924000,-421000
IncomeFinanceIncome_yy,,,,,-84.94,3303.47,1510.44,-13.88,182.68,609.71,-47.05,-942.23,203.22,-108.86,-78.89,106.46,39.74,175.86,-222.22,468.00,-62.39,-4.55,727.27,-43.66,11909.76,-2104.76
IncomeFinanceIncome_sy,,,,,-35.36,34.40,11.46,-4.98,-13.05,-32.74,-5.64,-2.16,29.36,-30.41,-46.58,-6.64,,29.77,36.54,-15.18,11.68,-40.00,-37.30,-22.61,-9.48,40.49
