,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,62152000,54030000,73688000,102726000,134265000,115507000,139790000,174265000,171227000,177823000,234437000,263769000,284168000,263766000,162354000,226081000,279183000,286972000,184360000,339817000,313636000,266094000,276017000,408470000,424882000,418463000,234402000,369010000,362368000,418674000,206433000,319469000,298684000,391897000,283602000,425487000,428274000,440467000,336236000,469584000,487956000,421642000,367976000,420192000,425391000,576217000,344085000,432235000,505878000,523261000,432355000,527407000
IncomeRevenues_yy,,,,,116.03,113.78,89.71,69.64,27.53,53.95,67.71,51.36,65.96,48.33,-30.75,-14.29,-1.75,8.80,13.55,50.31,12.34,-7.28,49.72,20.20,35.47,57.26,-15.08,-9.66,-14.71,0.05,-11.93,-13.43,-17.57,-6.40,37.38,33.19,43.39,12.39,18.56,10.36,13.94,-4.27,9.44,-10.52,-12.82,36.66,-6.49,2.87,18.92,-9.19,25.65,22.02
IncomeRevenues_sy,,,,,26.27,39.29,99.18,59.27,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,-13.07,36.38,39.41,30.70,-13.97,21.02,24.66,-1.74,3.85,31.84,12.51,7.73,-7.18,-38.45,39.25,23.49,2.79,-35.76,84.32,-7.70,-15.16,3.73,47.99,4.02,-1.51,-43.99,57.43,-1.80,15.54,-50.69,54.76,-6.51,31.21,-27.63,50.03,0.66,2.85,-23.66,39.66,3.91,-13.59,-12.73,14.19,1.24,35.46,-40.29,25.62,17.04,3.44,-17.37,21.98
IncomeRevenues_sq,,9.88,-38.46,43.69,26.67,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,61046000,47889000,65423000,90337000,133709000,99581000,129425000,154521000,157879000,164918000,214423000,242481000,253593000,233185000,130272000,197470000,250592000,258145000,163703000,306562000,288848000,268918000,278338000,411743000,406998000,394326000,214366000,348927000,342673000,394390000,188514000,300876000,273239000,362944000,263626000,399029000,405838000,410095000,313878000,436293000,444937000,405265000,339333000,392745000,395557000,532649000,319201000,396652000,474328000,483644000,407726000,542020000
IncomeCostOfSales_yy,,,,,119.03,107.94,97.83,71.05,18.08,65.61,65.67,56.92,60.62,41.39,-39.25,-18.56,-1.18,10.70,25.66,55.24,15.27,4.17,70.03,34.31,40.90,46.63,-22.98,-15.26,-15.80,0.02,-12.06,-13.77,-20.26,-7.97,39.84,32.62,48.53,12.99,19.06,9.34,9.63,-1.18,8.11,-9.98,-11.10,31.43,-5.93,0.99,19.91,-9.20,27.73,36.65
IncomeCostOfSales_sy,,,,,26.77,38.28,94.54,63.64,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,-21.55,36.61,38.08,48.01,-25.52,29.97,19.39,2.17,4.46,30.02,13.09,4.58,-8.05,-44.13,51.58,26.90,3.01,-36.58,87.27,-5.78,-6.90,3.50,47.93,-1.15,-3.11,-45.64,62.77,-1.79,15.09,-52.20,59.60,-9.19,32.83,-27.36,51.36,1.71,1.05,-23.46,39.00,1.98,-8.92,-16.27,15.74,0.72,34.66,-40.07,24.26,19.58,1.96,-15.70,32.94
IncomeCostOfSales_sq,,12.22,-41.23,38.82,19.76,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
IncomeDistributionExpenses,34000,20000,,79000,39000,-118000,,0,0,435000,0,1281000,27000,28000,1274000,37000,45000,87000,323000,747000,615000,1306000,495000,1121000,1040000,1014000,572000,633000,598000,2236000,850000,1086000,809000,773000,984000,1242000,1231000,1493000,1343000,1276000,887000,1153000,1913000,954000,1144000,1225000,1299000,1418000,1224000,1547000,1417000,1336000
