,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,332520000,323473000,362187000,318040000,378695000,309094000,326826000,282704000,266771000,338337000,367570000,381009000,411394000,741811000,1014026000,952098000,1314191000,2057714000,1905715000,1908933000,1697152000,1586935000,2677546000,2569500000,2226090000,2347887000,2702789000,2370357000,2268922000,2556408000,2834380000,2276151000,2396455000,2500910000,2475634000,2158448000,1999643000,2333079000,2687394000,2182297000,2196069000,2551735000,2497102000,2379927000
IncomeRevenues_yy,,,,,13.89,-4.45,-9.76,-11.11,-29.56,9.46,12.47,34.77,54.21,119.25,175.87,149.89,219.45,177.39,87.94,100.50,29.14,-22.88,40.50,34.60,31.17,47.95,0.94,-7.75,1.92,8.88,4.87,-3.97,5.62,-2.17,-12.66,-5.17,-16.56,-6.71,8.55,1.10,9.82,9.37,-7.08,9.06
IncomeRevenues_sy,,,,,11.86,-8.90,-18.24,-11.62,-16.40,3.76,0.96,30.17,51.87,69.68,63.96,44.42,24.80,34.31,12.54,17.22,28.34,-8.45,-0.12,-2.75,-4.69,-3.04,0.10,-3.97,5.64,8.88,7.75,-3.97,2.94,4.32,0.74,5.68,-1.17,,8.20,4.64,9.64,9.62,-7.10,8.40
IncomeRevenues_qq,,-2.72,11.97,-12.19,19.07,-18.38,5.74,-13.50,-5.64,26.83,8.64,3.66,7.97,80.32,36.70,-6.11,38.03,56.58,-7.39,0.17,-11.09,-6.49,68.72,-4.04,-13.36,5.47,15.12,-12.30,-4.28,12.67,10.87,-19.69,5.29,4.36,-1.01,-12.81,-7.36,16.67,15.19,-18.80,0.63,16.20,-2.14,-4.69
IncomeRevenues_sq,,-4.92,21.98,-6.32,4.54,-15.57,14.40,-11.29,-3.26,10.29,6.10,11.68,6.40,23.30,1.08,1.88,8.82,41.03,-7.39,8.50,-9.84,-8.39,26.85,0.41,-3.60,0.38,6.76,1.69,6.86,2.62,3.97,-7.44,11.14,2.17,-0.98,-2.54,-1.62,5.74,12.04,-8.59,0.26,11.64,-0.59,-0.78
IncomeCostOfSales,276310000,276444000,287046000,267154000,302285000,256367000,268355000,243639000,240938000,298632000,303987000,312506000,346387000,609413000,810136000,723349000,1025715000,1592189000,1521101000,1649450000,1514250000,1422879000,2171149000,2200507000,1958978000,2111149000,2220658000,1937856000,1940373000,2132678000,2147268000,1761471000,1951187000,1882052000,1744817000,1714643000,1666143000,1878880000,2012311000,1692290000,1738868000,2014265000,1922628000,2046519000
IncomeCostOfSales_yy,,,,,9.40,-7.26,-6.51,-8.80,-20.29,16.49,13.28,28.27,43.77,104.07,166.50,131.47,196.12,161.27,87.76,128.03,47.63,-10.63,42.74,33.41,29.37,48.37,2.28,-11.94,-0.95,1.02,-3.30,-9.10,0.56,-11.75,-18.74,-2.66,-14.61,-0.17,15.33,-1.30,4.36,7.21,-4.46,20.93
IncomeCostOfSales_sy,,,,,10.54,-1.02,-2.38,-6.92,-8.94,-0.30,5.21,18.20,30.33,78.06,34.67,25.18,27.16,39.22,20.48,26.86,36.62,-10.63,2.15,-2.36,-4.04,-1.93,-4.10,-11.49,-0.95,0.96,0.78,-7.18,-4.90,-2.32,-2.62,-2.66,-6.42,-0.17,10.60,2.57,7.38,7.21,-4.46,9.62
IncomeCostOfSales_qq,,0.05,3.84,-6.93,13.15,-15.19,4.68,-9.21,-1.11,23.95,1.79,2.80,10.84,75.93,32.94,-10.71,41.80,55.23,-4.46,8.44,-8.20,-6.03,52.59,1.35,-10.98,7.77,5.19,-12.74,0.13,9.91,0.68,-17.97,10.77,-3.54,-7.29,-1.73,-2.83,12.77,7.10,-15.90,2.75,15.84,-4.55,6.44
IncomeCostOfSales_sq,,-1.12,14.79,-1.41,2.34,-9.71,8.08,-6.02,-0.07,6.14,0.98,12.90,3.27,29.72,-0.58,2.84,4.45,31.69,-4.46,8.44,-8.20,-6.14,14.76,1.62,-7.72,3.15,4.68,-2.07,3.52,7.40,0.54,-7.73,10.73,-3.54,-6.27,-1.73,-1.34,5.14,8.16,-12.01,2.65,6.28,-0.40,6.44
IncomeDistributionExpenses,14325000,16835000,14793000,15695000,16558000,14008000,14043000,14763000,16039000,19868000,17029000,23045000,20492000,21557000,28442000,33808000,39645000,49722000,46063000,46087000,41916000,47850000,98000000,108501000,109351000,131898000,137003000,136386000,145454000,162302000,158875000,150998000,155721000,164654000,162138000,182834000,143849000,180494000,175648000,162357000,157176000,178374000,148510000,161650000
IncomeDistributionExpenses_yy,,,,,15.59,-16.79,-5.07,-5.94,-3.13,41.83,21.26,56.10,27.76,8.50,67.02,46.70,93.47,130.65,61.95,36.32,5.73,-3.76,112.75,135.43,160.88,175.65,39.80,25.70,33.02,23.05,15.96,10.71,7.06,1.45,2.05,21.08,-7.62,9.62,8.33,-11.20,9.26,-1.17,-15.45,-0.44
IncomeDistributionExpenses_sy,,,,,13.04,-12.98,-10.89,1.62,-6.36,-4.14,9.14,9.96,23.42,23.40,33.96,38.94,26.76,-5.43,10.78,-3.32,13.90,19.69,26.51,10.85,21.99,10.83,10.32,11.55,8.74,3.34,6.17,7.77,3.27,12.48,24.13,21.08,28.74,1.35,8.64,0.99,9.26,17.73,2.10,13.68
IncomeDistributionExpenses_qq,,17.52,-12.13,6.10,5.50,-15.40,0.25,5.13,8.64,23.87,-14.29,35.33,-11.08,5.20,31.94,18.87,17.27,25.42,-7.36,0.05,-9.05,14.16,104.81,10.72,0.78,20.62,3.87,-0.45,6.65,11.58,-2.11,-4.96,3.13,5.74,-1.53,12.76,-21.32,25.47,-2.68,-7.57,-3.19,13.49,-16.74,8.85
IncomeDistributionExpenses_sq,,17.73,1.56,0.53,10.42,-6.45,3.72,11.58,-1.01,18.86,5.28,20.08,-2.60,11.26,9.51,10.52,2.23,25.42,3.96,0.05,-3.46,14.16,-1.39,4.30,2.17,11.65,-7.41,1.02,8.74,5.07,-15.52,3.93,3.13,15.51,-15.74,11.77,-12.50,9.50,-2.68,-5.26,-3.19,9.56,-11.33,8.67
IncomeAdministrativExpenses,23101000,20665000,20794000,24181000,26310000,26133000,21998000,26405000,25699000,25618000,27361000,26850000,27135000,42488000,59137000,62934000,72914000,117102000,93202000,80006000,106557000,110968000,148973000,180339000,159981000,218473000,165173000,189362000,171243000,214199000,168457000,187074000,175785000,205230000,174199000,191645000,165470000,196098000,172445000,171643000,185546000,228133000,184935000,197470000
IncomeAdministrativExpenses_yy,,,,,13.89,26.46,5.79,9.20,-2.32,-1.97,24.38,1.69,5.59,65.85,116.14,134.39,168.71,175.61,57.60,27.13,46.14,-5.24,59.84,125.41,50.14,96.88,10.87,5.00,7.04,-1.96,1.99,-1.21,2.65,-4.19,3.41,2.44,-5.87,-4.45,-1.01,-10.44,12.13,16.34,7.24,15.05
IncomeAdministrativExpenses_sy,,,,,16.62,13.22,3.46,2.36,-7.74,-19.55,-1.66,-8.81,2.34,40.30,9.12,18.68,23.41,20.42,41.80,22.42,35.60,19.01,14.59,17.68,23.10,34.59,-3.62,7.41,10.07,15.18,13.18,5.82,11.69,-15.72,3.41,0.64,-12.68,-3.56,-1.01,-10.44,10.82,6.45,5.43,3.96
IncomeAdministrativExpenses_qq,,-10.54,0.62,16.29,8.80,-0.67,-15.82,20.03,-2.67,-0.32,6.80,-1.87,1.06,56.58,39.19,6.42,15.86,60.60,-20.41,-14.16,33.19,4.14,34.25,21.05,-11.29,36.56,-24.40,14.64,-9.57,25.08,-21.35,11.05,-6.03,16.75,-15.12,10.01,-13.66,18.51,-12.06,-0.47,8.10,22.95,-18.94,6.78
