,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,226749000,249164000,334573000,307676000,166263000,221666000,382919000,310155000,257852000,346251000,230250000,265751000,198842000,462638000,201714000,399943000,133243000,160895000,193511000,177392000,135776000,126058000,,1000411000,96494000,208906000,-110463000,90085000,34605000,35405000,283437000,-40534000,16013000,14320000,10923000,17272000,11998000,8435000,15364000,30158000,2443000,3183000,862000,17042000,19355000,22781000
IncomeRevenues_yy,,,,,-26.68,-11.04,14.45,0.81,55.09,56.20,-39.87,-14.32,-22.89,33.61,-12.39,50.50,-32.99,-65.22,-4.07,-55.65,1.90,-21.65,-100.00,463.96,-28.93,65.72,,-91.00,-64.14,-83.05,356.59,-145.00,-53.73,-59.55,-96.15,142.61,-25.07,-41.10,40.66,74.61,-79.64,-62.27,-94.39,-43.49,692.17,615.80
IncomeRevenues_sy,,,,,40.86,67.60,14.45,8.56,22.27,19.68,-3.26,5.96,-1.26,-3.94,-8.13,0.86,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,9.89,34.28,-8.04,-45.96,33.32,72.75,-19.00,-16.86,34.28,-33.50,15.42,-25.18,132.67,-56.40,98.27,-66.68,20.75,20.27,-8.33,-23.46,-7.16,-100.00,,-90.35,116.50,-152.88,181.55,-61.59,2.31,700.55,-114.30,139.50,-10.57,-23.72,58.13,-30.53,-29.70,82.14,96.30,-91.90,30.26,-72.92,1877.48,13.57,17.70
IncomeRevenues_sq,,11.90,26.42,3.43,-3.32,12.88,2.16,14.16,-10.28,14.41,-17.73,16.92,-16.67,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,55307000,86595000,42376000,99096000,76862000,-54653000,119965000,-485663000,96292000,-404168000,126361000,152759000,81106000,102861000,-116301000,304614000,74774000,81291000,115922000,30533000,84019000,-29867000,49966000,3990000,61876000,69345000,-468081000,-159248000,-64405000,2026000,203815000,19692000,14017000,31529000,10732000,-3200000,-350000,22959000,3583000,21549000,13503000,1403000,-892000,11070000,19174000,9090000
IncomeGrossProfit_yy,,,,,38.97,-163.11,183.10,-590.09,25.28,-639.51,5.33,131.45,-15.77,125.45,-192.04,99.41,-7.81,-20.97,199.67,-89.98,12.36,-136.74,-56.90,-86.93,-26.35,332.18,-1036.79,-4091.10,-204.09,-97.08,143.54,112.37,121.76,1455.96,-94.73,-116.25,-102.50,-27.18,-66.61,773.33,3958.01,-93.89,-124.89,-48.63,41.99,547.78
IncomeGrossProfit_sy,,,,,27.28,28.94,13.80,10.00,3.50,-1.64,8.53,7.00,4.14,5.23,-14.48,18.56,-16.57,-20.97,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,56.57,-51.06,133.85,-22.44,-171.11,319.50,-504.84,119.83,-519.73,131.26,20.89,-46.91,26.82,-213.07,361.92,-75.45,8.72,42.60,-73.66,175.17,-135.55,267.29,-92.01,1450.74,12.07,-775.00,65.98,59.56,103.15,9958.17,-90.34,-28.82,124.93,-65.96,-129.82,89.06,6659.69,-84.39,501.39,-37.34,-89.61,-163.57,1341.01,73.21,-52.59
IncomeGrossProfit_sq,,-30.52,62.48,-48.40,22.28,-9.11,25.52,14.48,6.65,-5.12,0.22,5.29,4.18,-8.10,-33.70,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,1737000,368597000,-2588000,288745000,41467000,209513000,4813000,-1199365000,-14127000,-658908000,-1626000,-99702000,2870000,115859000,10466000,2238000,3823000,40336000,16154000,76194000,12943000,-6302000,4352000,33454000,2235000,13451000,-80464000,-171416000,2077000,-2971000,2305000,9424000,-10051000,-47552000,-3675000,3273000,820000,544000,-112000,7525000,25000,664000,-99000,421000,51000,48000
IncomeOtherOperatingIncome_yy,,,,,2286.72,-43.16,285.98,-515.37,-134.07,-414.49,-133.78,91.69,120.31,117.58,743.78,102.24,33.24,-65.18,54.35,3305.22,238.51,-115.62,-73.06,-56.09,-82.73,313.42,-1948.72,-612.40,-7.05,-122.09,102.86,105.50,-583.84,-1500.60,-259.44,-65.27,108.15,101.14,96.95,129.93,-96.91,21.90,11.60,-94.40,99.46,-92.77
IncomeOtherOperatingIncome_sy,,,,,189.34,-18.96,-7.56,29.66,40.96,-14.16,-57.44,-24.38,-42.32,22.52,129.16,97.65,59.90,-68.74,112.22,-76.60,-27.36,55.56,-44.73,12.50,21.69,-20.35,27.60,-67.51,-45.37,-61.07,97.08,109.01,-25.29,111.08,-57.31,-20.96,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,21115.34,-100.70,11258.85,-85.64,405.25,-97.70,-25021.76,98.82,-4564.04,99.75,-6032.86,102.88,3937.42,-90.97,-78.62,70.87,955.00,-59.95,371.68,-83.01,-148.70,169.06,668.63,-93.32,501.85,-698.21,-113.04,101.21,-243.02,177.58,308.87,-206.65,-373.12,92.27,189.06,-74.96,-33.58,-120.60,6812.24,-99.66,2520.82,-114.94,525.05,-88.01,-5.00
IncomeOtherOperatingIncome_sq,,160.82,-50.45,86.12,-41.53,6.63,-25.32,59.89,-35.94,-18.60,-41.67,105.52,-67.76,142.86,-75.14,509.51,-56.84,-11.54,-41.94,-38.18,-72.89,95.18,-40.71,41.03,-10.81,20.07,-37.50,71.43,16.99,-36.70,85.74,79.34,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,45.39
IncomeOtherOperatingCosts,52080000,84881000,3048000,145125000,76157000,92596000,78837000,112334000,88582000,94469000,74710000,76544000,64588000,82945000,,294928000,62036000,62721000,66636000,79317000,66702000,33528000,65883000,85824000,49882000,48937000,-43322000,23651000,15238000,21578000,18201000,7958000,10856000,23870000,10762000,5468000,4764000,5483000,-4230000,13843000,2599000,1691000,2297000,6586000,21480000,9391000
IncomeOtherOperatingCosts_yy,,,,,46.23,9.09,2486.15,-22.60,16.31,2.02,-5.23,-31.86,-27.09,-12.20,-100.00,285.30,-3.95,-24.38,,-73.11,7.52,-46.54,-1.13,8.20,-25.22,45.96,-165.76,-72.44,-69.45,-55.91,142.01,-66.35,-28.75,10.62,-40.87,-31.29,-56.12,-77.03,-139.31,153.18,-45.43,-69.17,154.30,-52.42,726.35,455.46
IncomeOtherOperatingCosts_sy,,,,,42.27,-9.91,-48.74,59.00,113.58,264.88,65.63,58.51,-31.04,-12.20,66.92,25.52,-19.80,-23.30,,4.06,9.59,21.24,-9.12,-30.74,45.15,-18.10,53.36,-23.31,12.29,-46.14,-21.46,103.00,13.74,2.00,-0.65,2.39,1.82,10.55,13.95,20.50,-0.45,4.98,-11.60,-42.26,8.40,-27.00
IncomeOtherOperatingCosts_qq,,62.98,-96.41,4660.62,-47.52,21.59,-14.86,42.49,-21.14,6.65,-20.92,2.45,-15.62,28.42,-100.00,,-78.97,1.10,6.24,19.03,-15.90,-49.73,96.50,30.27,-41.88,-1.89,-188.53,154.59,-35.57,41.61,-15.65,-56.28,36.42,119.88,-54.92,-49.20,-12.88,15.11,-177.15,427.24,-81.22,-34.96,35.85,186.75,226.16,-56.28
IncomeOtherOperatingCosts_sq,,69.87,100.42,104.10,-78.93,18.30,-20.69,254.48,-77.47,19.09,-54.25,295.85,-85.10,94.40,-38.84,,-71.21,20.52,16.86,155.18,-75.87,41.18,-34.96,116.06,-54.76,96.18,-15.06,60.80,-36.45,-0.36,19.40,149.91,-73.51,35.71,0.41,89.33,-67.01,26.08,-8.70,271.95,-81.63,29.84,-45.16,122.47,-66.26,12.72
IncomeEBIT,4965000,370310000,36740000,242716000,42172000,62264000,45940000,-1797361000,-6417000,-1157546000,50025000,-23487000,19388000,135775000,40608000,11924000,16561000,58906000,65440000,27411000,30259000,-69698000,-11564000,-48380000,14232000,33854000,-505222000,-354316000,-77565000,-22523000,187918000,21158000,-6890000,-39893000,-3705000,-5395000,-4294000,18021000,7701000,15232000,10929000,376000,-3288000,4905000,-2256000,-253000
IncomeEBIT_yy,,,,,749.46,-83.19,25.04,-840.52,-115.22,-1959.09,8.89,98.69,402.13,111.73,-18.83,150.77,-14.58,-56.61,61.15,129.87,82.71,-218.32,-117.67,-276.50,-52.96,148.57,-4268.96,-632.36,-644.99,-166.53,137.20,105.97,91.12,-77.12,-101.97,-125.50,37.68,145.17,307.89,382.33,354.52,-97.91,-142.69,-67.80,-120.64,-167.25
IncomeEBIT_sy,,,,,58.34,-2.14,-31.29,-52.24,-6.90,-51.32,-68.18,-56.21,-5.56,39.77,43.57,112.64,3.46,-21.30,70.48,16.81,-65.29,-21.14,-70.12,0.48,76.88,-32.76,3.09,-33.81,-72.46,-52.73,26.05,51.89,16.34,99.93,-14.89,13.12,42.31,46.57,-24.46,42.28,-21.30,-5.86,48.66,-34.94,54.08,23.04
IncomeEBIT_qq,,7359.06,-90.08,560.63,-82.62,47.64,-26.22,-4012.37,99.64,-17937.97,104.32,-146.95,182.55,600.30,-70.09,-70.63,38.88,255.69,11.09,-58.11,10.39,-330.34,83.41,-318.37,129.42,137.87,-1592.34,29.87,78.11,70.96,934.34,-88.74,-132.56,-479.00,90.71,-45.63,20.41,519.67,-57.26,97.78,-28.25,-96.56,-974.06,249.19,-145.99,88.79
IncomeEBIT_sq,,73.43,17.01,-40.96,-16.23,-22.40,-6.90,10.88,-31.51,-53.76,0.46,2.48,-44.71,70.09,-46.05,109.30,-24.61,6.83,51.18,-58.11,-60.73,110.92,-25.85,-56.63,70.86,-5.43,-35.51,11.81,42.38,-27.88,95.00,-11.52,-16.33,21.89,-12.72,15.92,-41.76,34.91,-25.90,170.71,-69.86,53.59,15.43,51.40,-30.78,23.09
IncomeFinanceIncome,2097000,19383000,-1904000,13347000,9213000,12877000,4461000,9801000,15961000,-85141000,2576000,-33946000,-2565000,1045820000,102960000,-15766000,54486000,28201000,-98974000,30449000,64596000,66660000,33811000,77075000,75699000,5091000,-106550000,-108561000,-100858000,17176000,-1424000,-28280000,-4048000,-23795000,11851000,-5216000,470000,1213000,2225000,123545000,24150000,21466000,98265000,-274066000,98315000,92117000
IncomeFinanceIncome_yy,,,,,339.28,-33.57,334.34,-26.57,73.24,-761.20,-42.27,-446.35,-116.07,1328.33,3897.24,53.56,2224.61,-97.30,-196.13,293.13,18.56,136.37,134.16,153.12,17.19,-92.36,-415.13,-240.85,-233.24,237.37,98.66,73.95,95.99,-238.53,932.33,81.56,111.60,105.10,-81.23,2468.54,5043.49,1670.30,4316.41,-321.84,307.10,329.12
IncomeFinanceIncome_sy,,,,,67.66,32.12,251.29,33.95,-50.42,-73.45,-20.72,-12.84,4.92,3.94,29.48,-35.85,-40.00,11.05,-30.24,72.39,37.69,-49.48,-0.49,-15.88,-67.33,2.03,-82.36,-45.85,-17.04,-17.20,-5.08,49.11,95.99,-15.74,-1.89,-12.08,-27.34,20.72,50.00,35.44,90.88,-20.91,-58.15,19.55,-19.18,-0.93
IncomeFinanceIncome_qq,,824.18,-109.82,801.02,-30.97,39.77,-65.35,119.68,62.85,-633.44,103.03,-1417.89,92.45,40880.63,-90.16,-115.31,445.59,-48.24,-450.96,130.77,112.14,3.19,-49.28,127.96,-1.79,-93.27,-2192.85,-1.89,7.10,117.03,-108.29,-1886.20,85.69,-487.80,149.81,-144.01,109.00,158.26,83.49,5452.59,-80.45,-11.11,357.76,-378.91,135.87,-6.30
IncomeFinanceIncome_sq,,69.44,-31.91,271.79,12.41,6.52,-20.39,-16.87,2.70,-31.34,15.96,48.70,81.32,35.78,66.04,-3.46,80.21,29.45,7.96,-8.43,-23.80,-49.13,100.10,-29.29,-36.96,-5.71,-27.84,50.00,45.88,10.00,-30.26,25.62,99.36,-16.27,-6.31,20.34,1.88,11.33,-32.86,59.57,31.66,-12.08,-32.46,74.12,-50.65,1.27
IncomeFinanceCosts,6621000,64150000,80230000,153256000,113065000,14208000,121025000,275124000,288806000,-85343000,81889000,103198000,96659000,109876000,87750000,79396000,80543000,85808000,88965000,134257000,84609000,41629000,97386000,15171000,40391000,44379000,-17118000,38469000,18099000,50534000,6572000,13226000,12410000,4379000,22668000,-98000,11648000,10763000,-957000,-31587000,19251000,25976000,86828000,-364662000,42775000,61150000
IncomeFinanceCosts_yy,,,,,1607.75,-77.85,50.85,79.52,155.43,-700.65,-32.34,-62.49,-66.53,228.75,7.16,-23.06,-16.67,-21.91,1.38,69.10,5.05,-51.49,9.47,-88.70,-52.26,6.61,-117.58,153.57,-55.19,13.87,138.39,-65.62,-31.43,-91.33,244.91,-100.74,-6.14,145.79,-104.22,-32127.23,65.26,141.35,9170.47,-1054.45,122.20,135.41
IncomeFinanceCosts_sy,,,,,206.72,-22.56,42.32,378.47,53.38,85.06,13.72,-56.68,-19.84,0.49,35.22,62.86,10.46,0.35,111.50,21.27,5.05,-12.18,-25.74,-9.22,8.02,18.39,-28.02,-39.63,-17.30,-5.58,20.69,6.19,-20.37,-4.13,0.40,4.26,-13.16,19.08,-34.43,22.52,-0.87,-21.28,80.29,-29.34,5.62,33.33
IncomeFinanceCosts_qq,,868.93,25.07,91.02,-26.22,-87.43,751.79,127.33,4.97,-129.55,195.95,26.02,-6.34,13.67,-20.14,-9.52,1.44,6.54,3.68,50.91,-36.98,-50.80,133.94,-84.42,166.23,9.87,-138.57,324.73,-52.95,179.21,-86.99,101.24,-6.17,-64.71,417.66,-100.43,11984.43,-7.60,-108.89,-3199.75,160.94,34.94,234.26,-519.98,111.73,42.96
IncomeFinanceCosts_sq,,42.40,3.16,38.22,18.34,-18.94,21.35,127.33,-5.80,-13.78,-6.43,16.82,-6.34,13.67,-18.03,120.28,0.69,-5.61,13.82,-14.72,-10.71,-21.61,-3.95,23.97,19.21,27.54,-50.30,54.10,7.83,2.38,-7.10,59.52,-23.80,-0.02,-1.27,18.84,-14.08,19.76,-35.30,80.31,-32.98,1.98,-3.10,8.78,-2.91,24.64
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,-52930000,-18122000,18447000,,-1713000,,-857000,,-2101000,-1333000,13967000,-322000,16547000,-401000,57722000,-5252000,1323000,-1418000,316400000,-1228000,187795000,12529000,-1465000
