,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,9710000,12549000,12331000,22865000,7199000,14112000,19455000,20286000,19863000,20836000,21307000,21262000,21801000,16449000,15421000,20597000,5677000,6786000,6535000,8836000,9076000,13744000,16454000,11043000,10434000,6979000,11442000,10132000,3984000,1135000,76000,42000,50000,47000,123000,143000,69000,118000,66000,84000,99000,106000,78000,67000,55000,51000,46000,46000,41000,50000,49000,63000,41000,43000
IncomeCostOfSales,8595000,11565000,11263000,20534000,6873000,12798000,18032000,18788000,19480000,19481000,19785000,21820000,19871000,15545000,13795000,17569000,6192000,6989000,5536000,8351000,8683000,12522000,15328000,11436000,10712000,9461000,11916000,10560000,3819000,1552000,126000,962000,76000,92000,41000,49000,32000,13000,30000,817000,39000,29000,52000,240000,27000,36000,44000,71000,58000,-33000,41000,51000,48000,41000
IncomeDistributionExpenses,,,,,,,,,,,0,277000,75000,89000,99000,95000,65000,52000,133000,187000,118000,196000,211000,-525000,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,4626000,,3039000,1104000,1040000,1121000,1239000,1411000,1155000,1287000,1229000,1601000,1096000,638000,1315000,998000,968000,1004000,847000,-31000,652000,706000,638000,587000,575000,501000,358000,415000,168000,222000,154000,165000,159000,173000,148000,147000,126000,115000,125000,144000,132000,133000,148000,147000,115000,112000,115000,200000,153000,144000,283000,52000,170000
IncomeGrossProfit,367000,-711000,333000,402000,394000,-657000,234000,283000,-2246000,700000,-472000,298000,1332000,-1676000,-893000,-449000,-700000,-693000,22000,68000,163000,-930000,-3188000,-1112000,-1015000,-410000,-918000,-408000,-1335000,-194000,-267000,-72000,-71000,-122000,-68000,-112000,-880000,-66000,-38000,-99000,-317000,-104000,-118000,-146000,-172000,-132000,-29000,-107000,-188000,-160000,-142000,,,
IncomeOtherOperatingIncome,2673000,,1642000,1160000,94000,339000,822000,1948000,83000,1101000,166000,2324000,216000,1574000,138000,1611000,177000,664000,226000,304000,321000,142000,17000,68000,180000,256000,388000,72000,243000,655000,18000,18000,18000,16000,40000,163000,1000,76000,74000,35000,7000,164000,18000,972000,305000,16000,22000,-274000,14000,20000,,,,1859000
IncomeOtherOperatingCosts,,183000,2048000,59000,450000,245000,1388000,3298000,633000,27000,1768000,1596000,206000,103000,515000,203000,499000,490000,303000,110000,134000,21000,388000,90000,2906000,359000,17000,46000,310000,31000,586000,43000,14000,50000,120000,2000,14000,103000,151000,30000,312000,21000,31000,18000,19000,27000,1000,20000,25000,484000,707000,858000,-363000,-324000
IncomeEBIT,736000,1071000,-494000,-622000,123000,860000,-1686000,-2515000,-4000,437000,1888000,-3056000,475000,-414000,396000,-719000,187000,-196000,164000,-719000,-3180000,-1116000,-1335000,-320000,-3568000,-379000,-1280000,3000,78000,-85000,-639000,-147000,-66000,-122000,-837000,-67000,24000,-128000,-433000,-127000,-266000,-149000,769000,155000,-32000,-112000,-463000,-166000,-147000,4000,1000,189000,-367000,43000
IncomeFinanceIncome,66000,0,391000,9000,3000,162000,1589000,96000,282000,409000,-112000,372000,144000,-14000,63000,70000,322000,-73000,88000,136000,33000,48000,137000,28000,159000,13000,32000,262000,1111000,29000,1432000,3215000,3843000,-1396000,-3763000,543000,-523000,1525000,31000,52000,10000,0,916000,25000,38000,11000,333000,83000,97000,121000,91000,54000,214000,146000
IncomeFinanceCosts,65000,232000,89000,46000,92000,273000,184000,145000,42000,61000,46000,64000,35000,57000,40000,57000,112000,83000,43000,71000,61000,59000,48000,78000,132000,67000,94000,50000,61000,37000,53000,30000,24000,31000,104000,47000,51000,6633000,934000,94000,110000,9000,159000,5000,0,0,10000,7000,24000,,,,,
