,2006/Q1,2006/Q2,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,1688000,1464000,925000,854000,981000,1093000,663000,965000,13493000,-3804000,568000,591000,267000,-1426000,0,0,0,5900000,18933000,8308000,2707000,8757000,7311000,12860000,17062000,9286000,10332000,18008000,13548000,11767000,5303000,10057000,-428000,15631000,1019000,889000,1284000,4844000,26903000,19246000,13655000,24580000,12707000,5549000,7218000,255000,4234000,2332000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5519000,8070000,-189000,7018000,1204000,607000,720000,4535000,23597000,14475000,11139000,21020000,7446000,3993000,3783000,461000,2778000,1737000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,691000,837000,529000,685000,459000,295000,630000,550000,616000,636000,536000,549000,545000,437000,612000,454000,480000,414000
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3485000,3167000,3066000,3266000,2941000,3141000,3032000,1441000,1428000,2990000,2610000,2675000,2641000,2818000,2840000,2586000,3111000,2741000
IncomeGrossProfit,1220000,934000,161000,-353000,-236000,-991000,-996000,-1328000,11332000,-8150000,-1178000,-1378000,-1143000,-3978000,-1884000,-2768000,-4856000,-986000,767000,-2667000,-3263000,1434000,-2742000,-5320000,2263000,-5982000,-2544000,-1620000,-2785000,-4096000,-4392000,-2017000,-3834000,4662000,-3585000,-3154000,-3098000,-1682000,1262000,1145000,-630000,336000,2075000,-1699000,-17000,-3246000,-2135000,-2560000
IncomeOtherOperatingIncome,152000,159000,19000,149000,198000,166000,166000,177000,144000,387000,234000,418000,453000,198000,890000,47351000,1239000,14341000,20573000,614000,6147000,2773000,144000,15178000,-1646000,-12952000,150000,194000,199000,200000,210000,205000,77000,29438000,98000,3072000,296000,132000,158000,306000,73000,580000,341000,-510000,153000,659000,181000,317000
IncomeOtherOperatingCosts,136000,-79000,0,111000,-21000,584000,302000,100000,-96000,329000,27000,533000,90000,1836000,31000,19410000,675000,5489000,18000,87000,3046000,0,290000,95000,98000,40000,175000,156000,3461000,57000,90000,-72000,8691000,9000,48000,132000,2144000,10000,1006000,5000,3996000,30000,-12000,34000,11232000,19000,166000,1236000
IncomeEBIT,1172000,180000,-315000,-17000,-1409000,-1132000,-1251000,11572000,-8092000,-971000,-1493000,-780000,-5616000,-1025000,25173000,-4292000,7866000,21340000,-2071000,2797000,1161000,-2598000,9568000,522000,-19032000,-2434000,-1601000,-2742000,-7357000,-4239000,-1902000,-3685000,25409000,-3496000,-130000,-2934000,-3694000,1410000,445000,-562000,-3080000,2386000,-2197000,102000,-13819000,-1973000,-2409000,
IncomeFinanceIncome,130000,67000,753000,58000,405000,250000,387000,928000,-451000,31000,51000,72000,956000,267000,675000,38000,655000,328000,580000,717000,514000,1037000,294000,676000,478000,315000,316000,433000,547000,342000,317000,411000,314000,2248000,146000,167000,206000,256000,285000,273000,279000,771000,334000,178000,258000,279000,173000,0
IncomeFinanceCosts,0,23000,641000,667000,-1190000,824000,-794000,399000,-148000,196000,147000,121000,21000,11000,8000,52000,5824000,764000,722000,700000,1265000,1326000,874000,1274000,1705000,1391000,1777000,929000,1199000,1952000,1741000,1387000,11572000,1307000,934000,1484000,1611000,829000,1889000,953000,2120000,1527000,1773000,2032000,2209000,2337000,2625000,
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,3218000,-3218000,0,19804000,6484000,2365000,6539000,-1130000,5225000,3628000,481000,-23636000,-663000,3628000,3158000,3730000,-992000,-895000,119000,5090000,-2550000,457000,4025000,-1250000,4149000,-6209000,1236000
IncomeNetGrossProfit,1302000,224000,-203000,-626000,186000,-1706000,-70000,12101000,-8395000,-1136000,-1589000,-829000,-4681000,-769000,25840000,-4306000,2697000,20904000,-2213000,2814000,410000,331000,5770000,-76000,-455000,2974000,-697000,3301000,-9139000,-624000,302000,-4180000,-9485000,-3218000,2710000,-1093000,-1369000,-155000,-2054000,-1123000,169000,-920000,-3179000,2273000,-17020000,118000,-11070000,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236000
IncomeBeforeTaxProfit,1302000,224000,-203000,-626000,186000,-1706000,-70000,12101000,-8395000,-1136000,-1589000,-829000,-4681000,-769000,25840000,-4306000,2697000,20904000,-2213000,2814000,410000,331000,5770000,-76000,-455000,2974000,-697000,3301000,-9139000,-624000,302000,-4180000,-9485000,-3218000,2710000,-1093000,-1369000,-155000,-2054000,-1123000,169000,-920000,-3179000,2273000,-17020000,118000,-11070000,
IncomeDiscontinuedProfit,2467000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236000,4148000
IncomeNetProfit,-6000,-295000,-935000,725000,-1958000,-239000,11788000,-8331000,-1439000,-1745000,-1003000,-4823000,-637000,21111000,-4635000,-3877000,16825000,-2071000,1551000,11000,-758000,3508000,-385000,-610000,1094000,-338000,1183000,15397000,-1203000,443000,-4873000,-8189000,-3776000,2707000,-1537000,-784000,-1066000,-2216000,-1562000,-380000,-1319000,-3034000,1703000,-16709000,-316000,-10705000,1236000,4148000
IncomeShareholderNetProfit,-36000,-313000,-863000,591000,-1677000,-105000,12026000,-8838000,-1439000,-1438000,-1003000,-5180000,-637000,21111000,-4635000,-3877000,16825000,-2570000,1551000,11000,-758000,3508000,-385000,-610000,1094000,-338000,1183000,15397000,-1203000,443000,-4873000,-8189000,-3776000,2707000,-1537000,-784000,-1066000,-2216000,-1562000,-380000,-1319000,-3034000,1703000,-16709000,-316000,-10705000,,
BalanceNoncurrentAssets,,,19998000,1095000,7562000,1298000,7528000,154090000,156681000,159219000,6595000,130868000,158084000,160735000,153323000,158494000,199391000,212698000,245194000,221645000,237987000,221812000,226464000,226981000,233566000,237037000,237204000,316341000,207108000,215031000,234357000,251353000,255436000,223582000,226850000,204317000,201991000,219757000,192882000,192256000,195865000,192798000,,,116000,24000,15000,181000
BalanceIntangibleAssets,7000,33000,44000,43000,45000,47000,24682000,24059000,24083000,24208000,24248000,24257000,24236000,24284000,24283000,24260000,24244000,24467000,24445000,24478000,24604000,24691000,24693000,24684000,24781000,24786000,24753000,24716000,24778000,24726000,24676000,24627000,24642000,24590000,24544000,24464000,,,18484000,518000,669000,661000,691000,612000,138661000,142163000,392000,124530000
BalanceProperty,126813000,129861000,123451000,126614000,164334000,176846000,208179000,11297000,11297000,11650000,11516000,11420000,11366000,11246000,11146000,106545000,10944000,13857000,14001000,14259000,14287000,14231000,14119000,980000,839000,1037000,969000,845000,816000,848000,,,,,,6095000,6468000,6373000,6354000,,,,,,,,,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,11126000,11603000,10495000,13000,0,53000,194000,521000,985000,3143000,3324000,3356000,176738000,193882000,184546000
