,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,14786000,12725000,11235000,19488000,24484000,29528000,16347000,20570000,22918000,32159000,24026000,26974000,31947000,46103000,28044000,31465000,34322000,51350000,33762000,38333000,40523000,54729000,35926000,44980000,46137000,60762000,44489000,54300000,49699000,66552000,41933000,58468000,48038000,64768000,45286000,61570000,52447000,70076000,47546000,60637000,53716000,75259000,46898000,57955000
IncomeCostOfSales,11858000,11226000,9486000,13066000,15931000,19468000,9730000,10349000,13894000,20073000,13466000,15419000,20911000,27431000,14662000,18407000,19872000,29239000,17467000,21269000,23048000,32215000,19378000,26693000,26250000,34382000,23898000,30212000,27942000,37481000,22389000,33799000,26280000,36976000,24886000,33009000,28889000,37691000,26641000,34707000,30062000,40994000,27767000,30809000
IncomeDistributionExpenses,,,,,,,,,,30571000,8720000,9301000,10067000,10943000,10338000,10579000,11454000,13756000,13431000,13505000,13871000,15979000,14696000,14938000,16305000,16858000,17191000,19070000,18231000,18757000,17737000,19575000,20836000,22014000,18896000,22865000,22149000,24222000,19116000,24684000,22975000,26064000,19645000,24828000
IncomeAdministrativExpenses,1024000,1454000,1233000,4983000,7146000,8288000,8599000,9707000,9906000,-19678000,1212000,1687000,1585000,2569000,2058000,2137000,1655000,1231000,1786000,1868000,2331000,1146000,2119000,2046000,1883000,2155000,2192000,2283000,2339000,2529000,2238000,2230000,2100000,2395000,2306000,2269000,2383000,2714000,2642000,1942000,1722000,767000,1787000,1649000
IncomeGrossProfit,1904000,45000,516000,1439000,1407000,1772000,-1982000,514000,-882000,1193000,628000,567000,-616000,5160000,986000,342000,1341000,7124000,1078000,1691000,1273000,5389000,-267000,1303000,1699000,7367000,1208000,2735000,1187000,7785000,-431000,2864000,-1178000,3383000,-802000,3427000,-974000,5449000,-853000,-696000,-1043000,7434000,-2301000,669000
IncomeOtherOperatingIncome,55000,216000,90000,176000,26000,852000,98000,193000,982000,-343000,43000,345000,256000,495000,357000,450000,332000,794000,682000,144000,456000,667000,884000,762000,575000,1083000,857000,1134000,1237000,-515000,365000,2161000,585000,380000,467000,-240000,526000,-561000,456000,583000,647000,-152000,401000,782000
IncomeOtherOperatingCosts,65000,405000,44000,421000,27000,692000,23000,117000,97000,52000,72000,165000,206000,366000,34000,153000,581000,932000,198000,448000,365000,897000,561000,690000,863000,1337000,513000,392000,905000,808000,173000,403000,528000,133000,280000,446000,289000,995000,179000,265000,208000,715000,136000,301000
IncomeEBIT,1894000,-144000,562000,1194000,1406000,1932000,-1907000,590000,3000,798000,599000,747000,-566000,5289000,1309000,639000,1092000,6986000,1562000,1387000,1364000,5159000,56000,1375000,1411000,7113000,1552000,3477000,1519000,6462000,-239000,4622000,-1121000,3630000,-615000,2741000,-737000,3893000,-576000,-378000,-604000,6567000,-2036000,1150000
IncomeFinanceIncome,94000,34000,373000,-59000,37000,308000,443000,-4000,271000,-164000,110000,141000,35000,100000,102000,128000,320000,346000,336000,50000,260000,159000,1054000,1313000,1088000,2409000,58000,117000,38000,-197000,2000,76000,138000,88000,57000,95000,62000,-58000,17000,939000,442000,435000,195000,100000
IncomeFinanceCosts,370000,469000,361000,169000,224000,437000,425000,390000,369000,681000,510000,2428000,-1445000,703000,1895000,-120000,40000,586000,1518000,2391000,1322000,-2007000,420000,753000,588000,1969000,931000,827000,461000,-23000,2002000,-290000,583000,877000,970000,2386000,409000,-732000,541000,423000,426000,457000,323000,232000
IncomeOtherIncome,17000,1059000,646000,-10000,-4495000,-88000,235000,1356000,796000,1761000,105000,-996000,1042000,-373000,-3005000,751000,1013000,415000,-5774000,,,,232000,,,,,,,,,,14125000,,1635000,480000,574000,1612000,1209000,-2692000,-1889000,108000,140000,1309000
IncomeNetGrossProfit,995000,221000,1019000,3690000,558000,514000,703000,3741000,1131000,59000,717000,1551000,690000,1935000,1911000,7553000,679000,2767000,1096000,6520000,-2239000,4988000,-1566000,2841000,-1528000,450000,-1084000,4567000,-1100000,138000,-588000,20670000,-2164000,1018000,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1635000,480000,574000,1612000,1209000,-2692000,-1889000,108000,140000,1309000
IncomeBeforeTaxProfit,995000,221000,1019000,3690000,558000,514000,703000,3741000,1131000,59000,717000,1551000,690000,1935000,1911000,7553000,679000,2767000,1096000,6520000,-2239000,4988000,-1566000,2841000,-1528000,450000,-1084000,4567000,-1100000,138000,-588000,20670000,-2164000,1018000,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1292000,392000,509000,1612000,889000,-2311000,-2037000,99000,94000,1094000
IncomeNetProfit,607000,73000,791000,3177000,299000,390000,875000,3090000,818000,106000,584000,1380000,102000,1659000,1389000,6829000,322000,2508000,770000,5301000,-2230000,4201000,-1731000,3424000,-1766000,762000,-1515000,4325000,-1643000,-8000,-689000,16718000,-1839000,240000,1292000,392000,509000,1612000,889000,-2311000,-2037000,99000,94000,1094000
IncomeShareholderNetProfit,607000,73000,791000,3177000,299000,390000,875000,3090000,818000,106000,584000,1380000,102000,1659000,1389000,6829000,322000,2508000,770000,5301000,-2230000,4201000,-1731000,3424000,-1766000,762000,-1515000,4325000,-1643000,-8000,-689000,16718000,-1839000,240000,,,,,,,,,,
BalanceNoncurrentAssets,11271000,11440000,11279000,16602000,17525000,21730000,22998000,23858000,25481000,28887000,29330000,32075000,42687000,49027000,48340000,55105000,53375000,51506000,49830000,52667000,53570000,55128000,55526000,55582000,59072000,51873000,51765000,51191000,61437000,60973000,61044000,61925000,62667000,64535000,63503000,62793000,62685000,62827000,60807000,60945000,60335000,47664000,46927000,45773000
BalanceIntangibleAssets,2000,6000,5000,16000,217000,224000,482000,463000,411000,683000,610000,577000,540000,525000,482000,975000,886000,808000,735000,656000,578000,613000,541000,460000,380000,315000,414000,353000,322000,304000,279000,268000,310000,296000,278000,318000,298000,313000,315000,290000,296000,845000,804000,792000
BalanceProperty,11006000,10868000,10733000,14935000,15311000,16100000,17318000,18106000,22387000,25241000,25876000,29114000,39341000,44767000,44197000,44070000,43793000,43392000,42452000,45390000,45363000,46036000,45970000,46090000,47015000,46893000,47312000,47155000,47462000,47621000,47726000,47335000,47947000,49321000,48591000,47792000,47229000,47888000,47291000,47563000,47117000,44927000,44444000,43464000
BalanceNoncurrentReceivables,,,,,,,,,,557000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,350000,678000,3035000,3018000,3278000,331000,557000,0,0,10000,5838000,3295000,2702000,2155000,1907000,2955000,2731000,3957000,4124000,7106000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000,10295000,10000000,10000000,10106000,10107000,102000,104000,107000,263000,566000,541000,1301000,1319000,2371000,2180000
BalanceOtherNoncurrentAssets,2011000,2352000,2406000,2287000,2384000,2806000,3735000,3651000,4222000,5401000,4604000,4488000,4714000,4674000,5748000,5058000,4908000,4571000,4665000,4039000,3683000,3653000,3048000,3039000,4322000,4410000,4918000,4634000,4683000,4863000,4626000,3201000,2986000,2815000,1790000,1575000,1410000,33276000,29581000,35557000,49643000,51356000,51602000,59449000
BalanceCurrentAssets,58266000,65295000,59586000,62976000,71799000,79173000,71117000,81347000,77350000,94823000,87093000,88619000,92638000,103371000,87819000,90500000,89913000,94935000,82634000,93325000,96552000,104982000,94005000,112673000,101221000,117443000,101118000,111260000,94317000,101797000,92615000,102370000,92954000,106627000,107680000,111776000,111283000,12645000,11545000,12966000,38047000,39842000,35172000,38706000
BalanceInventory,41600000,44523000,37139000,43014000,44467000,48121000,41838000,53206000,56851000,67335000,59562000,67521000,67217000,75397000,65517000,72740000,71105000,79075000,67366000,74468000,77308000,88190000,78782000,95107000,84985000,96376000,83024000,92807000,83840000,90302000,78807000,87281000,77706000,90221000,81590000,95651000,95802000,20361000,16932000,20169000,7944000,7057000,6549000,8534000
BalanceCurrentReceivables,7277000,11338000,10275000,8680000,10225000,14765000,8698000,10990000,10126000,10674000,8568000,8206000,8752000,11611000,11795000,14761000,16946000,12828000,8805000,12291000,14133000,11128000,8737000,10392000,11527000,17303000,15337000,16417000,7607000,9161000,9499000,10153000,12657000,12705000,9630000,12014000,12132000,,,303000,150000,3791000,184000,184000
BalanceCurrentInvestments,652000,348000,3942000,4681000,5151000,6659000,7842000,7488000,72000,72000,0,0,45000,0,,,979000,1360000,,,,,,,,,,,,,,,231000,890000,95000,3450000,610000,9351000,11753000,8715000,9043000,7804000,6345000,11800000
BalanceCash,9351000,12111000,9154000,9468000,15869000,17792000,12181000,15982000,15800000,8511000,2430000,1400000,2103000,4088000,4292000,4138000,4355000,4162000,5734000,3307000,2289000,1368000,1251000,2073000,1455000,2793000,4196000,1792000,2760000,15028000,2847000,2109000,39000,214000,2024000,52000,56000,346000,272000,22000,43000,426000,256000,156000
BalanceOtherCurrentAssets,277000,628000,509000,833000,873000,1171000,711000,687000,563000,1951000,569000,462000,929000,1396000,914000,973000,1309000,2324000,1440000,1402000,1475000,1389000,785000,797000,879000,1516000,740000,799000,941000,1432000,1264000,1240000,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44547000,41021000,46836000,66245000,68881000,73332000,82447000,82124000,90776000,88473000,92306000,103874000
BalanceTotalAssets,121860000,120144000,129687000,132455000,148198000,138599000,138449000,145305000,156941000,142947000,146026000,145495000,154007000,134507000,145090000,147743000,166419000,154978000,173717000,163146000,180110000,165653000,174763000,157110000,164482000,155442000,163177000,153899000,166962000,155344000,158703000,157056000,17389000,17562000,18038000,42673000,43562000,40562000,39458000,40222000,39477000,41442000,42162000,42329000
BalanceCapital,42284000,45404000,45551000,44491000,42774000,45620000,45764000,45962000,46677000,47893000,48937000,50646000,54482000,62714000,63053000,63643000,64407000,69689000,67532000,65439000,63678000,64106000,62352000,61738000,60304000,63391000,61857000,61175000,60440000,77119000,75290000,73324000,10000000,10000000,10000000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000
BalanceShareCapital,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,12677000,,,,,,,,,,,,
BalanceOwnShares,56000,,,-421000,,,,,,,,,,,,,,,,,,,,,,,,,,5636000,5636000,5636000,25949000,28591000,27885000,27983000,30305000,29448000,29811000,29700000,30012000,29127000,29252000,29100000
