,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,28355000,30506000,25256000,28372000,34009000,39155000,25074000,22879000,32005000,33118000,22580000,19443000,30148000,38292000,26627000,27767000,33454000,46995000,41061000,50849000,56388000,63515000,59488000,47983000,47619000,51630000,33655000,35138000,32891000,33901000,65030000,104382000,79385000,95628000,39114000,110300000,74355000,63948000,65534000,140512000,72280000,68806000,90298000,46190000,43510000,31653000
IncomeRevenues_yy,,,,,19.94,28.35,-0.72,-19.36,-5.89,-15.42,-9.95,-15.02,-5.80,15.62,17.92,42.81,10.97,22.73,54.21,83.13,68.55,35.15,44.88,-5.64,-15.55,-18.71,-43.43,-26.77,-30.93,-34.34,93.23,197.06,141.36,182.08,-39.85,5.67,-6.34,-33.13,67.55,27.39,-2.79,7.60,37.79,-67.13,-39.80,-54.00
IncomeRevenues_sy,,,,,3.92,7.02,6.25,3.38,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,7.59,-17.21,12.34,19.87,15.13,-35.96,-8.75,39.89,3.48,-31.82,-13.89,55.06,27.01,-30.46,4.28,20.48,40.48,-12.63,23.84,10.89,12.64,-6.34,-19.34,-0.76,8.42,-34.82,4.41,-6.39,3.07,91.82,60.51,-23.95,20.46,-59.10,182.00,-32.59,-14.00,2.48,114.41,-48.56,-4.81,31.24,-48.85,-5.80,-27.25
IncomeRevenues_sq,,10.13,11.02,2.37,-16.20,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,24548000,23842000,20144000,21011000,27750000,31768000,21360000,21446000,26041000,27784000,19146000,18478000,24906000,32529000,23875000,24784000,28817000,40442000,34772000,42630000,47955000,52913000,50451000,41228000,40939000,45095000,30780000,34890000,26841000,30641000,52516000,83237000,65621000,75697000,31634000,82460000,59643000,52306000,57755000,108831000,54557000,59474000,67096000,48567000,30225000,39769000
IncomeCostOfSales_yy,,,,,13.04,33.24,6.04,2.07,-6.16,-12.54,-10.37,-13.84,-4.36,17.08,24.70,34.13,15.70,24.33,45.64,72.01,66.41,30.84,45.09,-3.29,-14.63,-14.78,-38.99,-15.37,-34.44,-32.05,70.62,138.57,144.48,147.04,-39.76,-0.93,-9.11,-30.90,82.57,31.98,-8.53,13.70,16.17,-55.37,-44.60,-33.13
IncomeCostOfSales_sy,,,,,1.63,-2.69,6.98,-8.39,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,-2.88,-15.51,4.30,32.07,14.48,-32.76,0.40,21.43,6.69,-31.09,-3.49,34.79,30.61,-26.60,3.81,16.27,40.34,-14.02,22.60,12.49,10.34,-4.65,-18.28,-0.70,10.15,-31.74,13.35,-23.07,14.16,71.39,58.50,-21.16,15.35,-58.21,160.67,-27.67,-12.30,10.42,88.44,-49.87,9.01,12.82,-27.62,-37.77,31.58
IncomeCostOfSales_sq,,0.69,10.67,3.32,-21.05,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,980000,1084000,1007000,1147000,1321000,1263000,1243000,4354000,1123000,-216000,1290000,1450000,1591000,2448000,1885000,3662000,1850000,2071000,2585000,3821000,2575000,2905000,3666000,6220000,3252000,3368000,3147000,8791000,1945000,-150000,3281000,4654000,5576000,10035000,4305000,12181000,6634000,10157000,6283000,9620000,4939000,8905000,6929000,10866000,3726000,5092000
IncomeDistributionExpenses_yy,,,,,34.80,16.51,23.44,279.60,-14.99,-117.10,3.78,-66.70,41.67,1233.33,46.12,152.55,16.28,-15.40,37.14,4.34,39.19,40.27,41.82,62.78,26.29,15.94,-14.16,41.33,-40.19,-104.45,4.26,-47.06,186.68,6790.00,31.21,161.73,18.97,1.22,45.95,-21.02,-25.55,-12.33,10.28,12.95,-24.56,-42.82
