,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3802000,6460000,10444000,10326000,7922000,13772000,14130000,17069000,15992000,12972000,17782000,22273000,21603000,26768000,21685000,28327000,25672000,22198000,22662000,32228000,24072000,26239000,26638000,-28443000,19164000,20043000,15719000,13229000,31109000,34756000,27944000,27247000,29793000,23720000,29286000,31515000,14961000,15033000,53715000,-21025000,16729000,19773000
IncomeRevenues_yy,,,,,108.36,113.19,35.29,65.30,101.87,-5.81,25.85,30.49,35.09,106.35,21.95,27.18,18.84,-17.07,4.51,13.77,-6.23,18.20,17.54,-188.26,-20.39,-23.61,-40.99,146.51,62.33,73.41,77.77,105.96,-4.23,-31.75,4.80,15.66,-49.78,-36.62,83.42,-166.71,11.82,31.53
IncomeRevenues_sy,,,,,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,69.91,61.67,-1.13,-23.28,73.84,2.60,20.80,-6.31,-18.88,37.08,25.26,-3.01,23.91,-18.99,30.63,-9.37,-13.53,2.09,42.21,-25.31,9.00,1.52,-206.78,167.38,4.59,-21.57,-15.84,135.16,11.72,-19.60,-2.49,9.34,-20.38,23.47,7.61,-52.53,0.48,257.31,-139.14,179.57,18.20
IncomeRevenues_sq,,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,2955000,3805000,6651000,8729000,7371000,12231000,12482000,11590000,12496000,10145000,13142000,15179000,16571000,21245000,17495000,20846000,20102000,20435000,18185000,22854000,19949000,19145000,23139000,-30161000,14290000,15675000,14034000,11665000,25277000,27020000,25489000,22626000,25218000,20252000,24908000,27931000,11030000,12256000,48800000,-7885000,15464000,21603000
IncomeCostOfSales_yy,,,,,149.44,221.45,87.67,32.78,69.53,-17.06,5.29,30.97,32.61,109.41,33.12,37.33,21.31,-3.81,3.94,9.63,-0.76,-6.31,27.24,-231.97,-28.37,-18.12,-39.35,138.68,76.89,72.38,81.62,93.96,-0.23,-25.05,-2.28,23.45,-56.26,-39.48,95.92,-128.23,40.20,76.26
IncomeCostOfSales_sy,,,,,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,28.76,74.80,31.24,-15.56,65.93,2.05,-7.15,7.82,-18.81,29.54,15.50,9.17,28.21,-17.65,19.15,-3.57,1.66,-11.01,25.68,-12.71,-4.03,20.86,-230.35,147.38,9.69,-10.47,-16.88,116.69,6.90,-5.67,-11.23,11.46,-19.69,22.99,12.14,-60.51,11.12,298.17,-116.16,296.12,39.70
IncomeCostOfSales_sq,,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,,,,,,,366000,121000,113000,120000,146000,225000,162000,165000,212000,152000,117000,100000,85000,124000,129000,122000,131000,-224000,101000,-55000,32000,663000,437000,475000,552000,376000,328000,203000,193000,235000,153000,222000,265000,171000,114000,27000
IncomeDistributionExpenses_yy,,,,,,,,,,,-60.11,85.95,43.36,37.50,45.21,-32.44,-27.78,-39.39,-59.91,-18.42,10.26,22.00,54.12,-280.65,-21.71,-145.08,-75.57,395.98,332.67,963.64,1625.00,-43.29,-24.94,-57.26,-65.04,-37.50,-53.35,9.36,37.31,-27.23,-25.49,-87.84
IncomeDistributionExpenses_sy,,,,,,,,,,,8.27,16.22,16.28,19.40,22.34,5.86,15.78,-0.35,-0.12,-7.46,-6.56,13.01,3.77,10.07,6.53,4.85,9.72,-6.77,6.80,3.87,1.68,14.01,9.27,7.79,4.00,6.12,5.62,5.11,9.20,9.83,-1.76,7.77
IncomeDistributionExpenses_qq,,,,,,,,-66.94,-6.61,6.19,21.67,54.11,-28.00,1.85,28.48,-28.30,-23.03,-14.53,-15.00,45.88,4.03,-5.43,7.38,-270.99,145.09,-154.46,158.18,1971.88,-34.09,8.70,16.21,-31.88,-12.77,-38.11,-4.93,21.76,-34.89,45.10,19.37,-35.47,-33.33,-76.32
IncomeDistributionExpenses_sq,,,,,,,,12.40,-14.38,8.86,-1.74,21.97,-22.14,12.26,-1.00,13.29,-17.84,5.35,-4.07,20.12,-22.53,4.84,2.78,15.00,-18.02,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30,-16.42,14.34,-3.04,14.18,-5.51,8.28,2.12,11.22,-15.93,10.61
IncomeAdministrativExpenses,703000,757000,659000,1065000,991000,1357000,665000,1406000,903000,1138000,1025000,1811000,1562000,1822000,1359000,2152000,1694000,2188000,1362000,2396000,1658000,1642000,1178000,86000,1028000,1648000,1038000,1408000,1874000,2539000,2131000,1499000,2264000,2573000,2232000,799000,1142000,1602000,3597000,-536000,1470000,832000
IncomeAdministrativExpenses_yy,,,,,40.97,79.26,0.91,32.02,-8.88,-16.14,54.14,28.81,72.98,60.11,32.59,18.83,8.45,20.09,0.22,11.34,-2.13,-24.95,-13.51,-96.41,-38.00,0.37,-11.88,1537.21,82.30,54.07,105.30,6.46,20.81,1.34,4.74,-46.70,-49.56,-37.74,61.16,-167.08,28.72,-48.06
IncomeAdministrativExpenses_sy,,,,,7.89,2.90,-6.50,1.60,-0.44,4.25,14.36,7.86,3.60,10.38,8.99,8.16,12.65,7.17,2.88,4.14,2.43,3.84,1.28,-5.29,1.91,2.76,1.67,5.18,8.60,7.35,3.04,2.56,4.65,-0.67,-0.45,7.89,1.59,5.14,6.80,0.26,4.82,2.66
IncomeAdministrativExpenses_qq,,7.68,-12.95,61.61,-6.95,36.93,-50.99,111.43,-35.78,26.02,-9.93,76.68,-13.75,16.65,-25.41,58.35,-21.28,29.16,-37.75,75.92,-30.80,-0.97,-28.26,-92.70,1095.35,60.31,-37.01,35.65,33.10,35.49,-16.07,-29.66,51.03,13.65,-13.25,-64.20,42.93,40.28,124.53,-114.90,374.25,-43.40
IncomeAdministrativExpenses_sq,,8.83,-3.20,15.08,-9.28,3.90,-5.96,13.06,-6.44,4.19,-1.08,18.40,-12.36,4.17,0.55,15.25,-13.20,4.69,-2.63,15.55,-12.98,6.28,-7.94,6.96,-1.97,3.81,-5.00,15.10,-9.02,1.72,-7.65,12.99,-6.98,2.35,-3.96,11.40,-6.59,5.18,-2.01,14.33,-10.08,4.80
IncomeGrossProfit,144000,1898000,3134000,532000,-440000,184000,617000,3952000,2480000,1569000,3469000,5058000,3308000,3536000,2619000,5177000,3759000,-525000,3030000,6854000,2336000,5330000,2190000,1856000,3745000,2775000,615000,-507000,3521000,4722000,-228000,2746000,1983000,692000,1953000,2550000,2636000,953000,1053000,-12775000,-319000,-2689000
IncomeGrossProfit_yy,,,,,-405.56,-90.31,-80.31,642.86,663.64,752.72,462.24,27.99,33.39,125.37,-24.50,2.35,13.63,-114.85,15.69,32.39,-37.86,1115.24,-27.72,-72.92,60.32,-47.94,-71.92,-127.32,-5.98,70.16,-137.07,641.62,-43.68,-85.35,956.58,-7.14,32.93,37.72,-46.08,-600.98,-112.10,-382.16
IncomeGrossProfit_sy,,,,,32.18,-20.50,-16.03,-23.77,-56.01,7.22,7.82,60.83,57.16,63.32,74.47,26.12,64.07,45.67,9.80,-14.44,-35.45,-6.96,-8.48,0.95,23.94,21.77,27.74,6.79,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
IncomeGrossProfit_qq,,1218.06,65.12,-83.02,-182.71,141.82,235.33,540.52,-37.25,-36.73,121.10,45.81,-34.60,6.89,-25.93,97.67,-27.39,-113.97,677.14,126.20,-65.92,128.17,-58.91,-15.25,101.78,-25.90,-77.84,-182.44,794.48,34.11,-104.83,1304.39,-27.79,-65.10,182.23,30.57,3.37,-63.85,10.49,-1313.20,97.50,-742.95
IncomeGrossProfit_sq,,0.98,23.40,6.14,-15.74,-28.86,15.02,-1.62,-37.18,19.76,10.62,29.59,-37.20,41.17,14.46,-23.03,-17.61,22.26,1.76,-25.64,-28.24,30.65,16.78,-15.25,-6.98,51.52,10.60,-8.87,-25.52,21.38,4.86,-14.76,-30.77,30.83,-12.83,16.65,-31.87,-16.02,19.88,10.16,58.34,15.96
IncomeOtherOperatingIncome,,375000,361000,1222000,252000,213000,246000,271000,125000,196000,65000,89000,29000,16000,116000,226000,213000,135000,152000,531000,105000,584000,201000,1188000,453000,413000,140000,55032000,791000,18344000,3142000,2970000,1170000,37000,260000,3376000,275000,1345000,108000,2587000,516000,788000
IncomeOtherOperatingIncome_yy,,,,,,-43.20,-31.86,-77.82,-50.40,-7.98,-73.58,-67.16,-76.80,-91.84,78.46,153.93,634.48,743.75,31.03,134.96,-50.70,332.59,32.24,123.73,331.43,-29.28,-30.35,4532.32,74.61,4341.65,2144.29,-94.60,47.91,-99.80,-91.73,13.67,-76.50,3535.14,-58.46,-23.37,87.64,-41.41
IncomeOtherOperatingIncome_sy,,,,,,-6.00,-19.64,23.92,-33.90,-20.81,8.84,-29.12,-16.76,20.50,103.46,-2.02,61.15,22.91,-24.42,50.73,1.98,-10.60,-15.69,18.28,13.57,3.44,-1.36,-22.75,-27.14,-2.74,-33.16,5.34,25.36,23.12,-9.20,-6.66,9.07,-6.14,-23.22,75.07,-0.68,-9.27
IncomeOtherOperatingIncome_qq,,,-3.73,238.50,-79.38,-15.48,15.49,10.16,-53.87,56.80,-66.84,36.92,-67.42,-44.83,625.00,94.83,-5.75,-36.62,12.59,249.34,-80.23,456.19,-65.58,491.04,-61.87,-8.83,-66.10,39208.57,-98.56,2219.09,-82.87,-5.47,-60.61,-96.84,602.70,1198.46,-91.85,389.09,-91.97,2295.37,-80.05,52.71
IncomeOtherOperatingIncome_sq,,,-11.06,35.35,-18.92,6.46,-4.98,113.31,-44.18,8.48,1.59,72.34,-58.90,13.02,72.84,3.36,-37.05,18.14,-9.02,1.11,-24.95,34.65,-10.93,147.28,-55.52,-2.04,11.38,48.90,-33.12,17.13,-16.80,183.20,-20.94,12.86,-30.19,81.32,-41.00,9.96,-30.31,194.70,-70.82,32.06
