,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3779000,4483000,4120000,4479000,4332000,4388000,4207000,5333000,4368000,4886000,3778000,7114000,5220000,4349000,4210000,5106000,4462000,5242000,5166000,5105000,4625000,5372000,4770000,5469000,5075000,4216000,5400000,5904000,5556000,5883000,6016000,8023000,5772000,6284000,5625000,6933000,5799000,6990000,5956000,7112000,7416000,8308000,6525000,7920000,6640000,6762000
IncomeRevenues_yy,,,,,14.63,-2.12,2.11,19.07,0.83,11.35,-10.20,33.40,19.51,-10.99,11.43,-28.23,-14.52,20.53,22.71,-0.02,3.65,2.48,-7.67,7.13,9.73,-21.52,13.21,7.95,9.48,39.54,11.41,35.89,3.89,6.82,-6.50,-13.59,0.47,11.23,5.88,2.58,27.88,18.86,9.55,11.36,-10.46,-18.61
IncomeRevenues_sy,,,,,28.54,26.77,11.44,12.00,2.52,-7.36,-8.78,-12.53,-8.47,6.46,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,18.63,-8.10,8.71,-3.28,1.29,-4.12,26.76,-18.09,11.86,-22.68,88.30,-26.62,-16.69,-3.20,21.28,-12.61,17.48,-1.45,-1.18,-9.40,16.15,-11.21,14.65,-7.20,-16.93,28.08,9.33,-5.89,5.89,2.26,33.36,-28.06,8.87,-10.49,23.25,-16.36,20.54,-14.79,19.41,4.27,12.03,-21.46,21.38,-16.16,1.84
IncomeRevenues_sq,,24.70,-2.87,56.48,-25.78,15.66,-5.90,37.14,-37.29,0.27,-10.14,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,2349000,3196000,2473000,2508000,2723000,2800000,2412000,3606000,3299000,3599000,3394000,3929000,3238000,2902000,2680000,3313000,3212000,3404000,3748000,3794000,3695000,3406000,3268000,3667000,3633000,3294000,3200000,3963000,3653000,4698000,3916000,4935000,3892000,4028000,4457000,4828000,4180000,4837000,4547000,4305000,5183000,5924000,4873000,5620000,4628000,4689000
IncomeCostOfSales_yy,,,,,15.92,-12.39,-2.47,43.78,21.15,28.54,40.71,8.96,-1.85,-19.37,-21.04,-15.68,-0.80,17.30,39.85,14.52,15.04,0.06,-12.81,-3.35,-1.68,-3.29,-2.08,8.07,0.55,42.62,22.38,24.53,6.54,-14.26,13.82,-2.17,7.40,20.08,2.02,-10.83,24.00,22.47,7.17,30.55,-10.71,-20.85
IncomeCostOfSales_sy,,,,,19.50,30.53,13.03,13.38,2.39,-10.42,-11.87,-12.92,-5.98,-1.76,18.01,17.01,7.93,8.31,5.36,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,36.06,-22.62,1.42,8.57,2.83,-13.86,49.50,-8.51,9.09,-5.70,15.76,-17.59,-10.38,-7.65,23.62,-3.05,5.98,10.11,1.23,-2.61,-7.82,-4.05,12.21,-0.93,-9.33,-2.85,23.84,-7.82,28.61,-16.65,26.02,-21.13,3.49,10.65,8.32,-13.42,15.72,-6.00,-5.32,20.39,14.30,-17.74,15.33,-17.65,1.32
IncomeCostOfSales_sq,,29.42,-2.54,43.90,-30.12,17.54,-9.08,32.78,-37.76,4.60,-15.34,36.62,-25.54,9.85,2.19,33.71,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
