,2017/Q1,2017/Q2,2018/Q1,2018/Q2
IncomeRevenues,14968000,10232000,20530000,50295000
IncomeCostOfSales,12336000,9214000,15426000,37592000
IncomeDistributionExpenses,1447000,2175000,2009000,2310000
IncomeAdministrativExpenses,5263000,5949000,4676000,6100000
IncomeGrossProfit,-4078000,-7106000,-1581000,4293000
IncomeOtherOperatingIncome,3550000,13228000,5561000,7762000
IncomeOtherOperatingCosts,1515000,2470000,989000,729000
IncomeEBIT,-2043000,3652000,2991000,11326000
IncomeFinanceIncome,772000,924000,3264000,8563000
IncomeFinanceCosts,6263000,4196000,476000,454000
IncomeOtherIncome,,,,
IncomeNetGrossProfit,-7534000,380000,5779000,19435000
IncomeExtraordinarProfit,,,,
IncomeBeforeTaxProfit,-7534000,380000,5779000,19435000
IncomeDiscontinuedProfit,,,,
IncomeNetProfit,3908000,7979000,5571000,16328000
IncomeShareholderNetProfit,3908000,7979000,5571000,16328000
BalanceNoncurrentAssets,117281000,154794000,219949000,204204000
BalanceIntangibleAssets,1055000,345000,894000,819000
BalanceProperty,9518000,9001000,6304000,5968000
BalanceNoncurrentReceivables,,,,
BalanceNoncurrInvestments,100886000,136931000,205172000,188899000
BalanceOtherNoncurrentAssets,5822000,8517000,7579000,8518000
BalanceCurrentAssets,623542000,615621000,707562000,792758000
BalanceInventory,420112000,469057000,512124000,551531000
BalanceCurrentReceivables,59067000,34420000,11784000,12093000
BalanceCurrentInvestments,,,,
BalanceCash,144363000,112144000,183654000,229134000
BalanceOtherCurrentAssets,,,,
BalanceAssetsForSale,,17736000,,740823000
BalanceTotalAssets,788151000,927511000,996962000,351108000
BalanceCapital,339087000,371600000,387928000,41653000
BalanceShareCapital,41653000,41653000,41653000,
BalanceOwnShares,,,,305547000
BalanceReserve,224661000,324376000,324376000,
BalanceNonshareCapital,,,,194009000
BalanceNoncurrentLiabilities,167808000,283498000,345942000,
BalanceNoncurrentTradeLiabilities,,,,68045000
BalanceNoncurrentBorrowings,59859000,44182000,66340000,108700000
BalanceNoncurrentObligations,95648000,228207000,267779000,485000
BalanceNoncurrentLeasing,555000,474000,363000,16779000
BalanceNoncurrentOtherLiabilities,11746000,10635000,11460000,195706000
BalanceCurrentLiabilities,281256000,272413000,263092000,38490000
BalanceCurrentTradePayablesv,42265000,36130000,51075000,15247000
BalanceCurrentBorrowings,19039000,29831000,31652000,32324000
BalanceCurrentObligations,14671000,15786000,222000,263000
BalanceCurrentLeasing,246000,137000,23000,68000
BalanceCurrentOtherLiabilities,987000,2160000,110072000,187297000
BalanceReckoning,190548000,193934000,740823000,788151000
BalanceTotalEquityAndLiabilities,927511000,996962000,,
CashflowOperatingCashflow,-90880000,31188000,2656000,-8278000
CashflowAmortization,286000,313000,241000,439000
CashflowInvestingCashflow,-5359000,-24181000,-33160000,14163000
CashflowCapex,271000,168000,20000,55000
CashflowFinancingCashflow,47960000,-39226000,-14218000,39595000
CashflowShareCapitalCash,,,,
CashflowDividend,,,,
CashflowNetCashflow,-48279000,-32219000,-44722000,45480000
