,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,54021000,28783000,62764000,145650000,155156000,45964000,161032000,182746000,135599000,76814000,157089000,142292000,141945000,52957000,104101000,138076000,115413000,108349000,181485000,176601000,177695000,65406000,143024000,175901000,157791000,34575000,93199000,92840000,122403000,33167000,74676000,125616000,231857000,125903000,193209000
IncomeCostOfSales,43097000,30187000,49628000,133013000,139522000,45807000,147093000,170473000,117132000,74039000,145841000,138076000,137976000,53576000,82897000,133846000,117533000,106274000,174072000,168735000,160877000,61685000,130073000,162661000,139807000,35252000,86975000,93470000,110657000,36236000,77426000,116043000,216519000,122362000,184619000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,4904000,4028000,3659000,3576000,3530000,4046000,4594000,3919000,5839000,3473000,5280000,3897000,4955000,4330000,4996000,4937000,5472000,4732000,3905000,3990000,4998000,5054000,5872000,6120000,5405000,5182000,5443000,4408000,5179000,5557000,4802000,5140000,4254000,5221000,5230000
IncomeGrossProfit,6020000,-5432000,9477000,9061000,12104000,-3889000,9345000,8354000,12628000,-698000,5968000,319000,-986000,-4949000,16208000,-707000,-7592000,-2657000,3508000,3877000,11819000,-1333000,7079000,7120000,12579000,-5859000,781000,-5038000,6567000,-8626000,-7552000,4433000,11084000,-1680000,3360000
IncomeOtherOperatingIncome,-212000,464000,428000,363000,82000,846000,570000,145000,1766000,700000,435000,1085000,1730000,976000,611000,4119000,5603000,752000,2096000,492000,1267000,3620000,997000,902000,1775000,2006000,1053000,903000,1718000,796000,1188000,1079000,2846000,721000,257000
IncomeOtherOperatingCosts,114000,190000,221000,273000,247000,297000,958000,-466000,280000,580000,2001000,-126000,3249000,843000,2682000,1396000,2370000,473000,2980000,837000,2872000,1823000,3375000,2454000,2519000,407000,185000,840000,545000,1368000,-37000,1634000,642000,1376000,-182000
IncomeEBIT,5694000,-5158000,9684000,9151000,11939000,-3340000,8957000,8965000,14114000,-578000,4402000,1530000,-2505000,-4816000,14136000,2015000,-4359000,-2378000,2624000,3531000,10214000,464000,4701000,5568000,11835000,-4260000,1649000,-4975000,7740000,-9198000,-6327000,3878000,13288000,-2335000,3799000
IncomeFinanceIncome,-1019000,2662000,-1773000,1782000,307000,840000,1067000,457000,472000,826000,2680000,555000,933000,838000,1857000,595000,63000,768000,132000,-159000,587000,354000,201000,107000,568000,524000,1218000,-91000,879000,585000,123000,94000,1131000,383000,403000
IncomeFinanceCosts,-2045000,3036000,933000,3110000,366000,1107000,737000,1167000,1196000,1038000,960000,1206000,1036000,390000,976000,588000,903000,661000,150000,215000,191000,430000,283000,532000,99000,428000,200000,306000,459000,1003000,1678000,466000,-468000,328000,401000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,6720000,-5532000,6978000,7823000,11880000,-3607000,9287000,8255000,13390000,-790000,6122000,879000,-2608000,-4368000,15017000,2022000,-5199000,-2271000,2606000,3156000,10610000,388000,4619000,5143000,12304000,-4164000,2667000,-5372000,8160000,-9616000,-7882000,3506000,14887000,-2280000,3801000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,6720000,-5532000,6978000,7823000,11880000,-3607000,9287000,8255000,13390000,-790000,6122000,879000,-2608000,-4368000,15017000,2022000,-5199000,-2271000,2606000,3156000,10610000,388000,4619000,5143000,12304000,-4164000,2667000,-5372000,8160000,-9616000,-7882000,3506000,14887000,-2280000,3801000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,5307000,-4326000,5460000,5927000,10107000,-2902000,7472000,6616000,10479000,-693000,4842000,329000,-2073000,-3894000,11771000,554000,-2825000,-2119000,2229000,2131000,8417000,18000,3173000,4111000,10168000,-3503000,1943000,-4546000,6512000,-8168000,-6810000,2834000,12377000,-1890000,3102000
IncomeShareholderNetProfit,5307000,-4096000,5167000,5801000,9934000,-2679000,7179000,6534000,10230000,-492000,4614000,356000,-2881000,-3863000,10862000,262000,88000,-1735000,1843000,2134000,8417000,18000,2998000,3962000,10228000,-3269000,2019000,-4408000,6467000,-7940000,-6620000,2853000,12017000,-1942000,3080000
