,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,0,79000,60000,113000,80000,2832000,324000,1851000,4183000,-5373000,332000,7000,10725000,-10179000,472000,-371000,0,-95000,364000,212000,20000,234000,177000,2550000,0,6000,,,,,,,,,,229000
IncomeCostOfSales,,,,,1985000,345000,405000,1841000,563000,685000,862000,-2104000,914000,978000,975000,1354000,1103000,1700000,1139000,-1572000,,,,,,,,,,,,,,,,225000
IncomeDistributionExpenses,30000,-26000,166000,1000,185000,5000,0,304000,,,,,,,,,,,,,,,,,,,,,816000,417000,270000,1130000,294000,292000,176000,3289000
IncomeAdministrativExpenses,204000,318000,283000,281000,506000,1474000,991000,2402000,3019000,3029000,2761000,5129000,4075000,4620000,4358000,8269000,5719000,5641000,-138000,-175000,-169000,-130000,-292000,970000,-834000,-179000,-83000,-944000,-460000,-642000,-356000,-794000,-385000,-1348000,-1039000,-1465000
IncomeGrossProfit,-754000,-1089000,-1237000,-1706000,-1432000,-624000,-2130000,-824000,-3019000,-3029000,-2761000,-5129000,-4075000,-4620000,-4358000,-8269000,-5719000,-5641000,,0,,,0,,,178000,40000,119000,-107000,60000,60000,61000,62000,60000,63000,63000
IncomeOtherOperatingIncome,58000,0,93000,31000,2564000,729000,496000,818000,583000,503000,564000,536000,600000,541000,660000,,3000,,,2000,,,5000,1000,5000,0,12000,3000,3000,21000,2000,4000,39770000,7775000,11076000,12764000
IncomeOtherOperatingCosts,12604000,10847000,10551000,9361000,12498000,8889000,17841000,,-390000,-169000,,377000,,,-1868000,-420000,-524000,-2364000,-325000,-1288000,-978000,-1415000,-694000,-1029000,-1177000,-1669000,-1432000,-533000,-2103000,-38030000,-10065000,-13609000,-14707000,-17150000,-14419000,-14607000
IncomeEBIT,-13183000,-20167000,-14067000,-22822000,,24000,,,147000,,,677000,164000,38000,202000,1000,57000,137000,24000,3000,9000,37000,135000,61000,-55000,-1000,24000,8000,16000,81000,-61000,1746000,2469000,423000,1794000,775000
IncomeFinanceIncome,-363000,,33000,,,18000,,,77000,7000,7000,13000,11000,21000,10000,47000,4000,23000,19000,23000,27000,99000,157000,189000,51000,251000,-181000,218000,178000,380000,471000,914000,1057000,3648000,,
IncomeFinanceCosts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138000,-182000
IncomeOtherIncome,-169000,-129000,-234000,1038000,-576000,-20000,116000,-788000,-263000,-493000,-304000,-1115000,-335000,-1252000,-851000,-1438000,-695000,-1043000,-1159000,-1557000,-1398000,-687000,-2261000,-38195000,-10108000,-13844000,-14445000,-17429000,-12851000,-12518000,-13231000,-19287000,-14349000,-26833000,,
IncomeNetGrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138000,-182000
IncomeExtraordinarProfit,-169000,-129000,-234000,1038000,-576000,-20000,116000,-788000,-263000,-493000,-304000,-1115000,-335000,-1252000,-851000,-1438000,-695000,-1043000,-1159000,-1557000,-1398000,-687000,-2261000,-38195000,-10108000,-13844000,-14445000,-17429000,-12851000,-12518000,-13231000,-19287000,-14349000,-26833000,,
IncomeBeforeTaxProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138000,-113000
IncomeDiscontinuedProfit,-169000,-130000,-237000,1008000,-578000,-19000,117000,-874000,-265000,-498000,-297000,-1063000,-338000,-1235000,-853000,-1463000,-703000,-1063000,-1165000,-1531000,-1398000,-590000,-2336000,-38217000,-10108000,-13844000,-14445000,-17429000,-12851000,-12518000,-13231000,-19287000,-14349000,-26833000,-138000,-113000
IncomeNetProfit,-169000,-130000,-237000,1007000,-578000,-19000,117000,-874000,-265000,-498000,-2123000,-338000,-1235000,-853000,-1463000,-703000,-1063000,-1165000,-1531000,-1398000,-590000,-2336000,-38217000,-10108000,-13844000,-14445000,-17429000,-12851000,-12518000,-13231000,-19287000,-14349000,-26833000,,,
IncomeShareholderNetProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentAssets,73000,141000,147000,144000,439000,4652000,3479000,4817000,28908000,16650000,18101000,28402000,5348000,33268000,35764000,39009000,54889000,63687000,74073000,95247000,114133000,133330000,143120000,154039000,170005000,73497000,72112000,197314000,208504000,68217000,67780000,71276000,71750000,72470000,72000000,71142000
BalanceIntangibleAssets,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,13000,42000,,,,,,18000,23000
BalanceProperty,,2844000,,,5214000,5655000,7773000,7178000,6957000,7763000,13155000,19054000,25551000,40091000,52308000,63259000,65583000,71839000,71158000,73387000,72002000,69517000,68098000,68107000,67670000,70997000,71467000,72276000,71806000,70945000,,,,,,110000
