,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3
IncomeRevenues,58357000,85082000,77055000,152821000,114600000,129254000,146032000,105741000,166514000,125369000,146540000,56612000,72560000,90608000,116260000,51843000,65614000,20186000,15127000,8174000,11975000,30305000,29949000,16104000,15471000,19622000,36431000,27287000,21251000,7706000,10994000,9952000
IncomeRevenues_yy,,,,,96.38,51.92,89.52,-30.81,45.30,-3.01,0.35,-46.46,-56.42,-27.73,-20.66,-8.42,-9.57,-77.72,-86.99,-84.23,-81.75,50.13,97.99,97.01,29.20,-35.25,21.64,69.45,37.36,-60.73,-69.82,-63.53
IncomeRevenues_sy,,,,,68.31,51.92,39.47,7.96,26.10,0.46,-2.22,-27.54,-25.71,-18.74,-17.92,-13.94,-9.80,-23.65,-24.21,-5.12,-5.68,1.74,9.25,2.41,6.72,-19.92,-4.34,-1.94,20.78,18.07,3.84,-5.54
IncomeRevenues_qq,,45.80,-9.44,98.33,-25.01,12.79,12.98,-27.59,57.47,-24.71,16.89,-61.37,28.17,24.87,28.31,-55.41,26.56,-69.24,-25.06,-45.96,46.50,153.07,-1.18,-46.23,-3.93,26.83,85.66,-25.10,-22.12,-63.74,42.68,-9.48
IncomeRevenues_sq,,27.82,17.01,25.39,1.82,5.24,9.69,-2.76,24.87,-4.64,-0.34,-18.52,-4.20,-3.54,6.76,-12.74,10.85,-19.71,-3.68,6.36,11.54,-18.09,-1.18,0.21,7.25,-21.67,11.26,5.88,14.88,-9.88,-2.34,-8.39
IncomeCostOfSales,41319000,57780000,55607000,79425000,81291000,68949000,83610000,67918000,92049000,77734000,109726000,56980000,77331000,76078000,91878000,48778000,50028000,16754000,12654000,7968000,9264000,15509000,16966000,10277000,9796000,13464000,27905000,21310000,17008000,5814000,8721000,11157000
IncomeCostOfSales_yy,,,,,96.74,19.33,50.36,-14.49,13.23,12.74,31.24,-16.10,-15.99,-2.13,-16.27,-14.40,-35.31,-77.98,-86.23,-83.66,-81.48,-7.43,34.08,28.98,5.73,-13.18,64.48,107.35,73.63,-56.82,-68.75,-47.65
IncomeCostOfSales_sy,,,,,53.22,19.51,24.10,7.84,14.74,19.67,31.24,7.21,7.73,0.01,-1.67,-9.24,-18.00,-17.98,-19.62,-10.43,-4.29,-3.95,6.34,0.05,6.28,-14.28,4.68,-4.66,-23.99,0.98,-4.42,-6.82
IncomeCostOfSales_qq,,39.84,-3.76,42.83,2.35,-15.18,21.26,-18.77,35.53,-15.55,41.16,-48.07,35.72,-1.62,20.77,-46.91,2.56,-66.51,-24.47,-37.03,16.27,67.41,9.39,-39.42,-4.69,37.46,107.25,-23.64,-20.19,-65.82,50.00,27.93
IncomeCostOfSales_sq,,-3.13,15.70,12.93,5.02,2.79,13.46,-1.41,5.13,6.29,-1.18,-14.06,-0.70,-8.82,2.70,-11.92,2.52,-17.75,2.84,5.76,15.33,-8.63,7.09,-1.11,13.83,-38.12,19.94,-2.72,-3.64,-17.94,8.24,-2.44
IncomeDistributionExpenses,2994000,4437000,5824000,4892000,5567000,8974000,9487000,10118000,7851000,7551000,6940000,4810000,4067000,3722000,4259000,2913000,2383000,1082000,849000,305000,508000,419000,932000,865000,1258000,1153000,1697000,596000,93000,91000,209000,106000
IncomeDistributionExpenses_yy,,,,,85.93,102.25,62.88,106.83,41.04,-15.86,-26.84,-52.46,-48.20,-50.70,-38.63,-39.44,-41.41,-70.94,-80.07,-89.53,-78.67,-61.25,9.85,183.47,147.49,175.11,81.99,-31.09,-92.63,-92.08,-87.69,-82.24
IncomeDistributionExpenses_sy,,,,,114.76,13.84,35.69,67.52,41.04,1.46,63.53,35.84,21.28,-18.36,-7.44,-6.10,-23.41,-26.50,-11.03,-26.22,11.40,-4.87,-9.75,23.27,-11.42,-1.05,10.46,-2.49,-0.82,-6.90,-9.24,-23.38
IncomeDistributionExpenses_qq,,48.20,31.26,-16.01,13.79,61.21,5.71,6.66,-22.41,-3.82,-8.09,-30.69,-15.45,-8.48,14.42,-31.60,-18.20,-54.62,-21.52,-64.06,66.63,-17.54,122.48,-7.27,45.48,-8.34,47.18,-64.89,-84.45,-1.47,128.79,-49.33
IncomeDistributionExpenses_sq,,26.20,17.76,-16.01,26.82,12.84,5.71,6.66,-0.28,-3.82,13.74,-26.30,-13.16,-8.24,20.71,-28.79,-17.26,-16.21,7.05,-20.00,28.64,-23.06,5.02,14.53,4.96,-13.03,18.94,-0.17,4.20,-13.76,16.27,-5.40
IncomeAdministrativExpenses,821000,2197000,3361000,2594000,4937000,4349000,6360000,4573000,6503000,5380000,6106000,6433000,5082000,4191000,4611000,4145000,2462000,1309000,1557000,1090000,753000,1099000,1521000,526000,350000,837000,832000,860000,263000,197000,233000,338000
IncomeAdministrativExpenses_yy,,,,,500.92,97.96,89.21,76.26,31.72,23.73,-3.99,40.69,-21.84,-22.11,-24.48,-35.57,-51.55,-68.76,-66.23,-73.69,-69.42,-16.07,-2.30,-51.74,-53.48,-23.84,-45.34,63.44,-24.87,-76.43,-71.95,-60.71
IncomeAdministrativExpenses_sy,,,,,219.58,11.73,43.01,25.80,31.72,23.73,16.50,25.19,20.37,-16.20,-21.16,-12.14,-32.94,-14.60,-19.29,1.24,2.39,-16.07,-3.16,-32.17,-24.94,-17.64,-22.61,-2.92,-24.87,-15.53,1.40,-11.48
IncomeAdministrativExpenses_qq,,167.40,53.02,-22.82,90.29,-11.91,46.25,-28.10,42.21,-17.26,13.49,5.36,-21.00,-17.55,10.04,-10.11,-40.60,-46.84,18.96,-29.98,-30.95,45.92,38.48,-65.41,-33.44,138.88,-0.60,3.42,-69.41,-25.06,18.28,44.90
IncomeAdministrativExpenses_sq,,2.02,-2.32,-1.09,26.22,-12.09,24.86,-9.17,42.21,-19.89,7.33,-15.94,31.12,-23.52,3.47,-3.78,5.47,-9.35,2.32,12.00,-8.69,-9.57,-1.32,7.36,-10.07,8.05,-4.63,3.42,-9.72,-7.55,14.48,5.21
IncomeGrossProfit,13222000,20668000,12262000,65909000,22806000,46981000,46576000,23131000,60112000,34704000,23768000,-11612000,-13920000,6617000,15512000,-3993000,10742000,1042000,67000,-1190000,1449000,13278000,10529000,4436000,4068000,4168000,5997000,4522000,3888000,1603000,1831000,-1649000
