,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,100294000,166854000,59288000,150442000,211490000,225569000,114780000,215553000,217727000,246651000,102906000,228185000,193686000,186847000,50296000,100123000,123053000,217691000,78112000,590184000,726545000,748745000,201204000,381556000,404013000,359903000,149288000,285577000,343840000,495517000,176029000,403047000,459871000,562727000,230511000,334261000,331855000,432553000,140216000,338613000,408734000,493610000,136656000,400992000,412108000,424535000,205096000,373755000
IncomeRevenues_yy,,,,,110.87,35.19,93.60,43.28,2.95,9.35,-10.35,5.86,-11.04,-24.25,-51.12,-56.12,-36.47,16.51,55.30,489.46,490.43,243.95,157.58,-35.35,-44.39,-51.93,-25.80,-25.15,-14.89,37.68,17.91,41.13,33.75,13.56,30.95,-17.07,-27.84,-23.13,-39.17,1.30,23.17,14.12,-2.54,18.42,0.83,-13.99,50.08,-6.79
IncomeRevenues_sy,,,,,24.08,21.85,31.14,28.64,38.89,24.09,-2.54,-2.44,-10.22,-2.49,-4.94,9.33,8.06,22.88,27.45,27.06,26.64,15.12,16.99,-10.02,-14.81,-21.21,-21.66,-21.97,-13.92,-3.16,10.76,7.65,1.74,8.59,17.20,-0.54,-1.86,-2.84,-5.98,-3.72,-3.44,-1.66,-0.16,2.50,4.28,9.21,3.50,8.48
IncomeRevenues_qq,,66.36,-64.47,153.75,40.58,6.66,-49.12,87.80,1.01,13.28,-58.28,121.74,-15.12,-3.53,-73.08,99.07,22.90,76.91,-64.12,655.56,23.10,3.06,-73.13,89.64,5.89,-10.92,-58.52,91.29,20.40,44.11,-64.48,128.97,14.10,22.37,-59.04,45.01,-0.72,30.34,-67.58,141.49,20.71,20.77,-72.31,193.43,2.77,3.02,-51.69,82.23
IncomeRevenues_sq,,21.56,-11.49,15.13,5.80,6.66,-10.26,24.40,6.16,2.08,-36.94,25.84,2.04,8.11,-38.04,46.49,15.96,17.46,-32.04,42.04,8.80,5.34,-43.67,23.02,-3.32,-5.52,-40.86,14.18,15.76,7.45,-26.57,33.37,3.46,12.08,-28.29,24.90,5.36,5.67,-32.50,15.91,10.40,8.95,-27.56,21.49,9.09,8.03,-30.65,18.03
IncomeCostOfSales,90511000,154856000,55991000,132764000,197682000,206467000,104193000,192282000,192101000,230381000,100057000,189879000,156363000,157339000,40521000,77261000,112408000,191479000,73815000,552365000,684147000,750970000,194890000,361676000,384547000,363459000,154077000,247542000,310522000,468840000,163045000,366109000,410923000,459469000,208128000,292464000,295801000,366654000,123663000,298819000,356098000,454427000,132314000,375685000,390371000,382586000,213089000,354894000
IncomeCostOfSales_yy,,,,,118.41,33.33,86.09,44.83,-2.82,11.58,-3.97,-1.25,-18.60,-31.70,-59.50,-59.31,-28.11,21.70,82.16,614.93,508.63,292.19,164.02,-34.52,-43.79,-51.60,-20.94,-31.56,-19.25,28.99,5.82,47.90,32.33,-2.00,27.65,-20.12,-28.02,-20.20,-40.58,2.17,20.38,23.94,7.00,25.72,9.62,-15.81,61.05,-5.53
IncomeCostOfSales_sy,,,,,27.52,31.43,38.17,29.56,34.69,11.58,-8.50,-12.49,-15.87,-5.51,2.24,17.01,10.37,22.08,43.05,35.68,28.16,23.33,24.38,-0.85,-9.95,-14.47,-21.23,-31.38,-13.25,-11.25,3.78,2.41,3.31,12.99,13.00,2.09,-5.86,-9.81,-7.94,-5.02,-5.54,2.68,2.38,4.93,4.75,2.61,6.89,15.93
IncomeCostOfSales_qq,,71.09,-63.84,137.12,48.90,4.44,-49.54,84.54,-0.09,19.93,-56.57,89.77,-17.65,0.62,-74.25,90.67,45.49,70.34,-61.45,648.31,23.86,9.77,-74.05,85.58,6.32,-5.48,-57.61,60.66,25.44,50.98,-65.22,124.54,12.24,11.81,-54.70,40.52,1.14,23.95,-66.27,141.64,19.17,27.61,-70.88,183.93,3.91,-1.99,-44.30,66.55
IncomeCostOfSales_sq,,26.14,-12.59,16.35,4.74,10.29,-16.96,23.95,6.49,-2.84,-35.78,29.55,7.54,7.17,-40.09,44.61,14.00,13.82,-34.84,37.45,7.92,9.77,-39.07,25.49,-3.56,0.69,-49.55,22.30,12.95,6.81,-27.36,25.34,6.15,11.20,-31.32,29.40,9.58,6.04,-37.65,21.10,11.14,22.70,-30.51,14.81,8.23,15.22,-33.23,25.66
