,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,16028000,19914000,20379000,14268000,15358000,22222000,17997000,14569000,15208000,24466000,18004000,24040000,21440000,34125000,19714000,15622000,47617000,26981000,24330000,23700000,33338000,15895000,16778000,30209000,19215000,16983000,19849000,10238000,13724000,22257000,15671000,15877000,10407000,9947000,18957000,17549000,11197000,11343000,30479000,23606000
IncomeRevenues_yy,,,,,-4.18,11.59,-11.69,2.11,-0.98,10.10,0.04,65.01,40.98,39.48,9.50,-35.02,122.09,-20.93,23.41,51.71,-29.99,-41.09,-31.04,27.46,-42.36,6.84,18.30,-66.11,-28.58,31.05,-21.05,55.08,-24.17,-55.31,20.97,10.53,7.59,14.03,60.78,34.51
IncomeRevenues_sy,,,,,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,24.25,2.34,-29.99,7.64,44.69,-19.01,-19.05,4.39,60.88,-26.41,33.53,-10.82,59.17,-42.23,-20.76,204.81,-43.34,-9.83,-2.59,40.67,-52.32,5.56,80.05,-36.39,-11.62,16.88,-48.42,34.05,62.18,-29.59,1.31,-34.45,-4.42,90.58,-7.43,-36.20,1.30,168.70,-22.55
IncomeRevenues_sq,,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,13969000,16366000,16326000,11150000,13296000,18865000,13520000,11308000,12896000,23545000,14922000,20369000,18771000,31153000,17021000,13699000,39797000,24060000,20913000,21427000,29217000,13362000,15396000,25148000,18308000,15819000,18312000,9874000,11946000,20880000,16633000,16068000,11179000,9918000,15988000,15719000,10851000,9878000,26115000,20263000
IncomeCostOfSales_yy,,,,,-4.82,15.27,-17.19,1.42,-3.01,24.81,10.37,80.13,45.56,32.31,14.07,-32.75,112.01,-22.77,22.87,56.41,-26.58,-44.46,-26.38,17.37,-37.34,18.39,18.94,-60.74,-34.75,31.99,-9.17,62.73,-6.42,-52.50,-3.88,-2.17,-2.93,-0.40,63.34,28.91
IncomeCostOfSales_sy,,,,,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,17.16,-0.24,-31.70,19.25,41.88,-28.33,-16.36,14.04,82.58,-36.62,36.50,-7.85,65.96,-45.36,-19.52,190.51,-39.54,-13.08,2.46,36.36,-54.27,15.22,63.34,-27.20,-13.60,15.76,-46.08,20.98,74.79,-20.34,-3.40,-30.43,-11.28,61.20,-1.68,-30.97,-8.97,164.38,-22.41
IncomeCostOfSales_sq,,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
