,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,65985000,95683000,95947000,107818000,16671000,10963000,20844000,10973000,24556000,17682000,38759000,50513000,74228000,60532000,61013000,46878000,22505000,81046000,66677000,51054000,42542000,53806000,41268000,42648000,21456000,53698000,81155000,132800000,83581000,67135000,48989000,89423000,34835000,29106000,26479000,106287000,37048000,25126000,75749000,45265000,66340000,30334000,89133000,64785000,69391000,35850000,51371000,20133000,12861000,84543000,50509000,145722000,84274000,58788000
IncomeRevenues_yy,,,,,-74.74,-88.54,-78.28,-89.82,47.30,61.29,85.95,360.34,202.28,242.34,57.42,-7.20,-69.68,33.89,9.28,8.91,89.03,-33.61,-38.11,-16.46,-49.57,-0.20,96.65,211.39,289.55,25.02,-39.64,-32.66,-58.32,-56.65,-45.95,18.86,6.35,-13.67,186.07,-57.41,79.06,20.73,17.67,43.12,4.60,18.18,-42.37,-68.92,-81.47,135.82,-1.68,623.80,555.27,-30.46
IncomeRevenues_sy,,,,,-60.51,48.35,9.33,3.86,42.39,0.76,56.82,42.56,40.86,67.60,14.45,8.56,22.27,19.68,-3.26,5.96,-1.26,-3.94,-8.13,0.86,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,45.01,0.28,12.37,-84.54,-34.24,90.13,-47.36,123.79,-27.99,119.20,30.33,46.95,-18.45,0.79,-23.17,-51.99,260.12,-17.73,-23.43,-16.67,26.48,-23.30,3.34,-49.69,150.27,51.13,63.64,-37.06,-19.68,-27.03,82.54,-61.04,-16.45,-9.03,301.40,-65.14,-32.18,201.48,-40.24,46.56,-54.27,193.84,-27.32,7.11,-48.34,43.29,-60.81,-36.12,557.36,-40.26,188.51,-42.17,-30.24
IncomeRevenues_sq,,-3.73,0.28,18.94,-16.79,2.78,9.50,11.99,-18.78,11.90,26.42,3.43,-3.32,12.88,2.16,14.16,-10.28,14.41,-17.73,16.92,-16.67,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,60317000,-210668000,394079000,160038000,6423000,6628000,12300000,20066000,15013000,14087000,27955000,36190000,29980000,48518000,20495000,34239000,15515000,71814000,45011000,45659000,35399000,45786000,32601000,30570000,15724000,46742000,63230000,111652000,72630000,62857000,46783000,77451000,32048000,24936000,26413000,89144000,29867000,18683000,58064000,36000000,50372000,22722000,76030000,127906000,56812000,20044000,33764000,21845000,9613000,67323000,38691000,134084000,71856000,55550000
IncomeCostOfSales_yy,,,,,-89.35,103.15,-96.88,-87.46,133.74,112.54,127.28,80.35,99.69,244.42,-26.69,-5.39,-48.25,48.02,119.62,33.35,128.16,-36.24,-27.57,-33.05,-55.58,2.09,93.95,265.23,361.91,34.48,-26.01,-30.63,-55.87,-60.33,-43.54,15.10,-6.81,-25.08,119.83,-59.62,68.65,21.62,30.94,255.29,12.78,-11.79,-55.59,-82.92,-83.08,235.88,14.59,513.80,647.49,-17.49
IncomeCostOfSales_sy,,,,,-29.04,69.04,-18.97,-4.26,2.50,-6.44,69.04,16.52,48.83,85.32,16.14,-7.97,36.93,14.25,-3.08,33.35,22.24,5.56,-7.89,-23.82,-4.43,-21.51,0.64,-6.70,-15.57,21.34,-4.75,4.57,-2.12,-17.87,3.38,-13.54,15.63,-2.34,12.97,-22.65,-8.07,7.33,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,-449.27,287.06,-59.39,-95.99,3.19,85.58,63.14,-25.18,-6.17,98.45,29.46,-17.16,61.83,-57.76,67.06,-54.69,362.87,-37.32,1.44,-22.47,29.34,-28.80,-6.23,-48.56,197.27,35.27,76.58,-34.95,-13.46,-25.57,65.55,-58.62,-22.19,5.92,237.50,-66.50,-37.45,210.79,-38.00,39.92,-54.89,234.61,68.23,-55.58,-64.72,68.45,-35.30,-55.99,600.33,-42.53,246.55,-46.41,-22.69
IncomeCostOfSales_sq,,-30.21,25.12,-9.58,-22.20,6.44,-22.03,37.18,-22.24,11.56,4.73,24.11,4.15,8.91,-5.76,39.07,-9.53,0.66,-7.81,40.16,-22.47,-1.92,-20.33,32.86,-44.58,-19.76,7.02,30.14,-27.17,2.52,-15.63,48.28,-21.14,4.66,3.00,35.09,-15.42,-6.14,-11.12,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
