,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,32411000,68862000,38268000,50238000,48190000,31270000,26447000,26661000,39104000,68249000,69012000,60253000,46796000,29315000,28174000,42006000,44257000,71550000,50392000,65578000,72511000,58722000,79521000,82807000,99388000,72525000,63866000,102314000,104940000,78554000,92337000,121310000,154817000,168657000,179612000,230729000,197845000,233640000,135589000,160564000,178104000,240478000,206062000,152562000,154904000,185702000,37213000,34715000
IncomeRevenues_yy,,,,,48.68,-54.59,-30.89,-46.93,-18.85,118.26,160.94,126.00,19.67,-57.05,-59.18,-30.28,-5.43,144.07,78.86,56.12,63.84,-17.93,57.80,26.27,37.07,23.51,-19.69,23.56,5.59,8.31,44.58,18.57,47.53,114.70,94.52,90.20,27.79,38.53,-24.51,-30.41,-9.98,2.93,51.98,-4.98,-13.03,-22.78,-81.94,-77.25
IncomeRevenues_sy,,,,,20.41,10.16,3.92,7.02,6.25,3.38,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,112.46,-44.43,31.28,-4.08,-35.11,-15.42,0.81,46.67,74.53,1.12,-12.69,-22.33,-37.36,-3.89,49.09,5.36,61.67,-29.57,30.14,10.57,-19.02,35.42,4.13,20.02,-27.03,-11.94,60.20,2.57,-25.14,17.55,31.38,27.62,8.94,6.50,28.46,-14.25,18.09,-41.97,18.42,10.92,35.02,-14.31,-25.96,1.54,19.88,-79.96,-6.71
IncomeRevenues_sq,,12.57,-14.78,10.13,11.02,2.37,-16.20,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,27162000,58206000,29103000,40295000,40120000,31290000,19904000,20185000,33440000,55817000,53966000,48701000,42754000,35012000,30318000,37605000,41436000,67402000,44336000,58223000,60711000,51570000,70134000,73381000,85885000,62024000,55765000,92191000,94149000,69741000,81943000,111612000,141984000,155377000,171138000,214985000,182693000,218520000,130049000,149614000,170631000,228343000,194670000,149698000,150389000,182884000,34888000,32433000
IncomeCostOfSales_yy,,,,,47.71,-46.24,-31.61,-49.91,-16.65,78.39,171.13,141.27,27.85,-37.27,-43.82,-22.78,-3.08,92.51,46.24,54.83,46.52,-23.49,58.19,26.03,41.47,20.27,-20.49,25.63,9.62,12.44,46.94,21.07,50.81,122.79,108.85,92.62,28.67,40.64,-24.01,-30.41,-6.60,4.50,49.69,0.06,-11.86,-19.91,-82.08,-78.33
IncomeCostOfSales_sy,,,,,21.04,7.06,1.63,-2.69,6.98,-8.39,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,114.29,-50.00,38.46,-0.43,-22.01,-36.39,1.41,65.67,66.92,-3.32,-9.76,-12.21,-18.11,-13.41,24.04,10.19,62.67,-34.22,31.32,4.27,-15.06,36.00,4.63,17.04,-27.78,-10.09,65.32,2.12,-25.92,17.50,36.21,27.21,9.43,10.14,25.62,-15.02,19.61,-40.49,15.04,14.05,33.82,-14.75,-23.10,0.46,21.61,-80.92,-7.04
IncomeCostOfSales_sq,,11.69,-17.73,0.69,10.67,3.32,-21.05,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
