,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,32166000,27413000,37489000,42822000,40951000,37295000,48995000,57780000,58766000,38495000,41223000,42355000,44057000,41850000,69045000,58858000,68883000,48101000,84107000,68145000,79827000,66240000,99297000,88335000,111541000,86809000,77980000,85084000,117170000,117044000,114860000,111136000,113843000,83823000,117058000,101519000,111547000,91355000,97673000,102788000,95396000,83321000,88116000,98608000,129230000,95138000,106860000
IncomeRevenues_yy,,,,,27.31,36.05,30.69,34.93,43.50,3.22,-15.86,-26.70,-25.03,8.72,67.49,38.96,56.35,14.94,21.81,15.78,15.89,37.71,18.06,29.63,39.73,31.05,-21.47,-3.68,5.05,34.83,47.29,30.62,-2.84,-28.38,1.91,-8.65,-2.02,8.99,-16.56,1.25,-14.48,-8.79,-9.78,-4.07,35.47,14.18,21.27
IncomeRevenues_sy,,,,,10.16,3.92,7.02,6.25,3.38,-0.42,-6.39,-10.59,-12.22,-8.16,7.49,16.81,29.52,16.62,26.95,22.91,23.48,31.54,22.24,6.57,0.37,-6.23,-6.71,-2.46,4.46,3.44,11.59,12.37,8.89,10.12,11.58,5.34,1.82,4.48,-1.98,-9.07,2.93,7.10,1.58,8.93,10.04,11.82,14.40
IncomeRevenues_qq,,-14.78,36.76,14.23,-4.37,-8.93,31.37,17.93,1.71,-34.49,7.09,2.75,4.02,-5.01,64.98,-14.75,17.03,-30.17,74.85,-18.98,17.14,-17.02,49.90,-11.04,26.27,-22.17,-10.17,9.11,37.71,-0.11,-1.87,-3.24,2.44,-26.37,39.65,-13.27,9.88,-18.10,6.92,5.24,-7.19,-12.66,5.75,11.91,31.05,-26.38,12.32
IncomeRevenues_sq,,-14.78,10.13,11.02,2.37,-16.20,5.37,11.62,8.88,-11.78,-1.18,3.91,6.60,-9.89,14.80,6.83,17.03,-21.77,21.40,8.24,14.08,-12.94,11.10,1.84,2.25,-17.30,7.55,2.57,4.41,-9.38,10.20,3.68,7.55,-10.60,13.52,2.24,5.28,-18.10,12.98,-3.94,7.61,-12.66,7.11,11.91,1.30,-5.80,8.21
IncomeCostOfSales,24356000,18860000,26047000,33734000,29587000,26129000,36342000,41618000,45701000,27480000,32130000,33881000,33662000,32771000,55350000,45413000,55347000,38903000,70040000,56891000,66662000,56267000,84697000,72535000,90542000,74698000,65566000,69874000,94835000,101324000,95040000,91117000,100092000,67265000,96959000,85060000,94581000,75479000,82037000,83902000,80050000,69412000,71975000,83240000,104480000,78604000,88825000
IncomeCostOfSales_yy,,,,,21.48,38.54,39.52,23.37,54.46,5.17,-11.59,-18.59,-26.34,19.25,72.27,34.04,64.42,18.71,26.54,25.27,20.44,44.63,20.93,27.50,35.82,32.76,-22.59,-3.67,4.74,35.64,44.95,30.40,5.54,-33.61,2.02,-6.65,-5.51,12.21,-15.39,-1.36,-15.36,-8.04,-12.27,-0.79,30.52,13.24,23.41
IncomeCostOfSales_sy,,,,,7.06,1.63,-2.69,6.98,-8.39,-0.36,-9.62,-7.60,-7.92,-2.46,6.94,20.95,27.89,17.20,26.91,25.64,26.33,41.69,20.93,8.26,3.60,-4.22,-4.78,0.11,0.83,0.87,13.99,10.85,15.34,13.68,9.48,6.50,0.42,-0.23,-1.30,-2.28,4.10,2.72,5.68,9.21,3.43,9.56,7.52
IncomeCostOfSales_qq,,-22.57,38.11,29.51,-12.29,-11.69,39.09,14.52,9.81,-39.87,16.92,5.45,-0.65,-2.65,68.90,-17.95,21.87,-29.71,80.04,-18.77,17.17,-15.59,50.53,-14.36,24.83,-17.50,-12.23,6.57,35.72,6.84,-6.20,-4.13,9.85,-32.80,44.14,-12.27,11.19,-20.20,8.69,2.27,-4.59,-13.29,3.69,15.65,25.52,-24.77,13.00
IncomeCostOfSales_sq,,-17.73,0.69,10.67,3.32,-21.05,6.53,10.45,6.69,-12.48,2.69,1.85,3.34,-11.30,18.52,14.62,15.45,-19.38,22.25,7.12,19.15,-8.10,8.96,-1.86,9.32,-13.58,4.32,5.76,11.63,-13.97,9.82,4.43,11.15,-11.14,14.66,4.82,9.64,-19.82,9.56,0.96,7.40,-13.29,8.42,4.26,4.23,-13.61,11.13
IncomeDistributionExpenses,1724000,2942000,2854000,2751000,3007000,3826000,3818000,3614000,4639000,3333000,3496000,3379000,3743000,3554000,3641000,3380000,3754000,4044000,3885000,4135000,4073000,4673000,4488000,4130000,4819000,5435000,5165000,4951000,5232000,5790000,5541000,5446000,4628000,5969000,6188000,4776000,6791000,6872000,5573000,5840000,9078000,6748000,7307000,6867000,9569000,8230000,7462000
IncomeDistributionExpenses_yy,,,,,74.42,30.05,33.78,31.37,54.27,-12.89,-8.43,-6.50,-19.31,6.63,4.15,0.03,0.29,13.79,6.70,22.34,8.50,15.55,15.52,-0.12,18.32,16.31,15.08,19.88,8.57,6.53,7.28,10.00,-11.54,3.09,11.68,-12.30,46.74,15.13,-9.94,22.28,33.68,-1.80,31.11,17.59,5.41,21.96,2.12
IncomeDistributionExpenses_sy,,,,,5.74,10.02,16.51,13.69,3.26,2.16,-8.43,-9.86,-11.78,-16.77,16.64,8.27,16.22,16.28,19.40,22.34,5.86,15.78,-0.35,-0.12,-7.46,-6.56,13.01,3.77,10.07,6.53,4.85,9.72,-6.77,6.80,3.87,1.68,14.01,9.27,7.79,4.00,6.12,5.62,5.11,9.20,9.83,-1.76,7.77
IncomeDistributionExpenses_qq,,70.65,-2.99,-3.61,9.31,27.24,-0.21,-5.34,28.36,-28.15,4.89,-3.35,10.77,-5.05,2.45,-7.17,11.07,7.73,-3.93,6.44,-1.50,14.73,-3.96,-7.98,16.68,12.78,-4.97,-4.14,5.68,10.67,-4.30,-1.71,-15.02,28.98,3.67,-22.82,42.19,1.19,-18.90,4.79,55.45,-25.67,8.28,-6.02,39.35,-13.99,-9.33
IncomeDistributionExpenses_sq,,-20.47,11.52,-3.61,16.04,-15.51,3.62,-1.58,6.38,-15.78,-9.63,7.62,12.40,-14.38,8.86,-1.74,21.97,-22.14,12.26,-1.00,13.29,-17.84,5.35,-4.07,20.12,-22.53,4.84,2.78,15.00,-18.02,14.53,-0.38,7.04,-9.66,8.70,-0.86,13.30,-16.42,14.34,-3.04,14.18,-5.51,8.28,2.12,11.22,-15.93,10.61
IncomeAdministrativExpenses,3917000,4280000,5357000,3411000,6070000,4739000,5943000,5731000,4119000,5234000,5732000,3957000,4435000,4492000,5238000,4753000,3575000,3986000,5867000,4563000,5074000,4605000,5076000,4587000,4815000,4759000,5785000,4630000,5052000,4491000,6166000,5281000,4805000,5047000,6671000,5460000,6265000,5464000,6459000,5196000,5904000,5551000,7037000,5507000,6217000,5901000,6501000
IncomeAdministrativExpenses_yy,,,,,54.97,10.72,10.94,68.02,-32.14,10.45,-3.55,-30.95,7.67,-14.18,-8.62,20.12,-19.39,-11.26,12.01,-4.00,41.93,15.53,-13.48,0.53,-5.10,3.34,13.97,0.94,4.92,-5.63,6.59,14.06,-4.89,12.38,8.19,3.39,30.39,8.26,-3.18,-4.84,-5.76,1.59,8.95,5.99,5.30,6.31,-7.62
IncomeAdministrativExpenses_sy,,,,,12.01,2.26,17.03,12.71,7.54,7.89,2.90,-6.50,1.60,-0.44,4.25,14.36,7.86,3.60,10.38,8.99,8.16,12.65,7.17,2.88,4.14,2.43,3.84,1.28,-5.29,1.91,2.76,1.67,5.18,8.60,7.35,3.04,2.56,4.65,-0.67,-0.45,7.89,1.59,5.14,6.80,0.26,4.82,2.66
IncomeAdministrativExpenses_qq,,9.27,25.16,-36.33,77.95,-21.93,25.41,-3.57,-28.13,27.07,9.51,-30.97,12.08,1.29,16.61,-9.26,-24.78,11.50,47.19,-22.23,11.20,-9.24,10.23,-9.63,4.97,-1.16,21.56,-19.97,9.11,-11.10,37.30,-14.35,-9.01,5.04,32.18,-18.15,14.74,-12.79,18.21,-19.55,13.63,-5.98,26.77,-21.74,12.89,-5.08,10.17
IncomeAdministrativExpenses_sq,,-1.52,0.82,6.12,12.63,-7.35,8.83,-3.20,15.08,-9.28,3.90,-5.96,13.06,-6.44,4.19,-1.08,18.40,-12.36,4.17,0.55,15.25,-13.20,4.69,-2.63,15.55,-12.98,6.28,-7.94,6.96,-1.97,3.81,-5.00,15.10,-9.02,1.72,-7.65,12.99,-6.98,2.35,-3.96,11.40,-6.59,5.18,-2.01,14.33,-10.08,4.80
IncomeGrossProfit,2169000,1331000,3231000,2926000,2287000,2601000,2892000,6817000,4307000,2448000,-135000,1138000,2217000,1033000,4816000,5312000,6207000,1168000,4315000,2556000,4018000,695000,5036000,7083000,11365000,1917000,1464000,5629000,12051000,5439000,8113000,9292000,4318000,5542000,7240000,6223000,3910000,3540000,3604000,7850000,364000,1610000,1797000,2994000,8964000,2403000,4072000
IncomeGrossProfit_yy,,,,,5.44,95.42,-10.49,132.98,88.33,-5.88,-104.67,-83.31,-48.53,-57.80,3667.41,366.78,179.97,13.07,-10.40,-51.88,-35.27,-40.50,16.71,177.11,182.85,175.83,-70.93,-20.53,6.04,183.72,454.17,65.07,-64.17,1.89,-10.76,-33.03,-9.45,-36.12,-50.22,26.14,-90.69,-54.52,-50.14,-61.86,2362.64,49.25,126.60
IncomeGrossProfit_sy,,,,,2.56,-24.59,-5.60,-3.81,53.21,32.18,-20.50,-16.03,-23.77,-56.01,7.22,7.82,60.83,57.16,63.32,74.47,26.12,64.07,45.67,9.80,-14.44,-35.45,-6.96,-8.48,0.95,23.94,21.77,27.74,6.79,-3.66,14.32,-15.81,-9.80,-13.46,-24.51,-29.80,-9.30,17.57,-32.87,-3.43,-20.65,28.19,25.89
