,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,-2900000,2900000,2580000,2401000,2789000,4519000,1825000,2437000,4138000,4746000,2347000,2647000,1863000,7647000,2657000,15750000,11779000,23697000,12973000,19380000,9361000,26443000,14527000,19937000,19849000,34732000,17293000,23968000,21306000,38863000,21065000,28137000
IncomeRevenues_yy,,,,,196.20,55.85,-29.28,1.51,48.36,5.03,28.65,8.62,-54.99,61.11,13.19,495.01,532.38,209.89,388.26,23.05,-20.53,11.59,11.98,2.87,112.04,31.35,19.04,20.22,7.34,11.89,21.81,17.39
IncomeRevenues_sy,,,,,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,200.00,-11.02,-6.95,16.19,62.01,-59.62,33.56,69.81,14.69,-50.54,12.76,-29.63,310.54,-65.25,492.77,-25.21,101.18,-45.25,49.39,-51.70,182.48,-45.06,37.24,-0.44,74.98,-50.21,38.60,-11.11,82.40,-45.80,33.57
IncomeRevenues_sq,,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,,3095000,453000,235000,1184000,2002000,203000,249000,2239000,1010000,489000,496000,25000,1372000,255000,8876000,7214000,10909000,7997000,9912000,4597000,15003000,9923000,13003000,13147000,23422000,12348000,15895000,15859000,26506000,15694000,18709000
IncomeCostOfSales_yy,,,,,,-35.33,-55.09,6.19,89.04,-49.56,140.38,99.08,-98.89,35.90,-47.86,1689.87,29046.30,694.96,3036.08,11.67,-36.28,37.53,24.08,31.18,185.99,56.12,24.44,22.24,20.63,13.17,27.10,17.70
IncomeCostOfSales_sy,,,,,,0.54,11.90,0.76,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,,-85.37,-48.22,404.94,69.01,-89.84,22.43,798.85,-54.90,-51.57,1.40,-95.01,5444.33,-81.42,3380.78,-18.72,51.22,-26.69,23.95,-53.62,226.37,-33.86,31.04,1.11,78.15,-47.28,28.73,-0.23,67.14,-40.79,19.21
IncomeCostOfSales_sq,,,-37.27,5.70,7.28,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
IncomeDistributionExpenses,,1349000,414000,552000,445000,487000,318000,452000,308000,1037000,569000,636000,276000,1724000,1035000,2216000,2157000,3570000,2032000,4031000,2802000,5225000,2258000,2800000,2522000,5340000,2590000,2682000,3212000,4108000,2982000,3594000
IncomeDistributionExpenses_yy,,,,,,-63.87,-23.14,-18.05,-30.79,112.81,78.69,40.59,-10.49,66.24,82.02,248.67,681.84,107.09,96.33,81.90,29.90,46.36,11.12,-30.54,-9.99,2.20,14.70,-4.21,27.36,-23.07,15.14,34.00
IncomeDistributionExpenses_sy,,,,,,-6.27,2.73,-15.66,1.63,9.14,8.98,23.78,10.38,2.11,1.27,8.10,2.60,6.19,8.45,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23,7.24
IncomeDistributionExpenses_qq,,,-69.30,33.26,-19.28,9.42,-34.69,42.07,-31.82,236.46,-45.17,11.77,-56.59,524.87,-39.96,114.11,-2.66,65.51,-43.08,98.38,-30.49,86.47,-56.78,24.00,-9.93,111.74,-51.50,3.55,19.76,27.90,-27.41,20.52
IncomeDistributionExpenses_sq,,,-26.71,8.28,-14.55,19.56,-10.27,5.33,-1.88,29.42,-20.68,3.64,0.64,15.29,-15.59,12.78,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52,4.92
IncomeAdministrativExpenses,,3116000,650000,772000,797000,1247000,787000,809000,737000,1285000,963000,1171000,1019000,908000,727000,2219000,2208000,3482000,1701000,1531000,1636000,2568000,1849000,1966000,2502000,2117000,1688000,2566000,1647000,2433000,2010000,2754000
IncomeAdministrativExpenses_yy,,,,,,-59.98,21.09,4.88,-7.55,3.08,22.38,44.74,38.25,-29.33,-24.52,89.45,116.64,283.33,133.98,-31.00,-25.91,-26.25,8.70,28.41,52.93,-17.56,-8.71,30.52,-34.17,14.93,19.08,7.33
IncomeAdministrativExpenses_sy,,,,,,-3.42,4.80,3.78,-0.61,1.31,2.68,-0.50,4.22,7.63,0.81,3.47,1.59,2.67,6.10,4.48,9.38,3.20,3.18,6.89,-1.84,4.29,3.99,4.66,5.10,0.81,7.38,7.83
IncomeAdministrativExpenses_qq,,,-79.14,18.70,3.35,56.36,-36.87,2.81,-8.90,74.34,-25.06,21.60,-12.98,-10.88,-19.96,205.23,-0.50,57.70,-51.15,-9.99,6.86,56.97,-28.00,6.33,27.26,-15.39,-20.26,52.01,-35.81,47.72,-17.39,37.01
IncomeAdministrativExpenses_sq,,,-19.23,12.06,-2.96,10.19,-19.19,7.27,-5.92,14.86,-5.56,3.99,-1.40,16.87,-10.45,4.86,-5.50,15.70,-6.90,3.22,-5.40,15.59,-5.06,0.66,-1.20,12.78,1.38,2.96,-0.94,8.67,-1.87,6.94
IncomeGrossProfit,-513000,513000,1063000,843000,362000,783000,516000,927000,854000,1414000,327000,344000,543000,3642000,640000,2439000,200000,5736000,1243000,3906000,326000,3647000,497000,2168000,1678000,3853000,667000,2825000,588000,5816000,379000,3080000
IncomeGrossProfit_yy,,,,,170.62,52.73,-51.48,9.94,135.80,80.60,-36.70,-62.84,-36.43,157.53,96.02,608.40,-63.16,57.48,94.22,60.15,63.00,-36.42,-60.02,-44.50,414.72,5.65,34.21,30.30,-64.96,50.95,-43.18,9.03
IncomeGrossProfit_sy,,,,,104.80,12.85,33.20,-26.39,4.27,45.34,11.95,70.90,34.56,15.12,15.43,20.12,18.11,27.29,11.32,21.78,28.36,-25.10,-12.94,2.34,-14.32,2.82,28.16,8.05,2.93,3.81,-2.81,15.05
IncomeGrossProfit_qq,,200.00,107.30,-20.71,-57.03,116.26,-34.14,79.64,-7.85,65.63,-76.92,5.45,57.66,570.99,-82.43,281.09,-91.80,2768.00,-78.33,214.24,-91.65,1018.71,-86.37,336.22,-22.60,129.62,-82.69,323.54,-79.19,889.12,-93.48,712.66
IncomeGrossProfit_sq,,79.91,-72.99,13.99,-2.00,59.85,-27.45,15.95,-1.79,65.63,-50.02,7.86,18.00,46.73,-33.54,11.04,12.78,65.02,-51.67,-5.87,15.60,5.30,-22.62,9.32,-4.74,32.41,-32.68,13.17,-13.58,38.96,-47.69,39.56
IncomeOtherOperatingIncome,,32000,5000,3000,4000,-141000,140000,5000,3000,17000,187000,7000,3000,-184000,10000,71000,58000,195000,40000,21000,487000,4000,9000,25000,17000,1000,44000,0,12000,2000,86000,24000
IncomeOtherOperatingIncome_yy,,,,,,-535.18,2699.60,50.16,-28.79,111.94,33.55,59.94,12.60,-1187.25,-94.65,850.60,1759.57,206.25,300.00,-70.42,739.66,-97.95,-77.50,19.05,-96.51,-75.00,388.89,-100.00,-29.41,100.00,95.45,
IncomeOtherOperatingIncome_sy,,,,,,59.39,34.16,23.74,-8.06,9.15,26.12,10.87,26.25,12.35,-17.50,44.00,4.52,-0.49,-6.57,,-5.03,-6.15,-11.84,20.87,2.33,-12.80,-2.31,-18.17,7.99,-34.97,,
IncomeOtherOperatingIncome_qq,,,-84.61,-37.80,25.08,-3734.70,199.00,-96.66,-40.69,509.39,1007.46,-96.00,-58.24,-5984.19,105.45,610.00,-18.31,236.21,-79.49,-47.50,2219.05,-99.18,125.00,177.78,-32.00,-94.12,4300.00,-100.00,,-83.33,4200.00,-72.09
IncomeOtherOperatingIncome_sq,,,-35.32,-3.10,5.11,29.51,-37.29,15.25,-29.62,54.69,-16.20,-44.26,16.91,30.69,1.84,8.82,-12.22,29.76,-42.02,-5.74,10.44,34.45,-28.28,62.35,-23.30,12.26,-7.44,30.69,,-22.45,16.16,-9.20
IncomeOtherOperatingCosts,,7000,5000,0,0,15000,0,17000,0,13000,5000,0,0,14000,12000,0,58000,-10000,,,253000,331000,60000,57000,39000,-27000,30000,8000,4000,6000,12000,45000
IncomeOtherOperatingCosts_yy,,,,,,98.38,-92.00,9952.94,-70.59,-11.80,1230.00,-100.01,-98.00,5.81,125.56,100.00,5799900.00,-173.09,-100.00,,336.21,3410.00,,,-84.58,-108.16,-50.00,-85.96,-89.74,122.22,-60.00,462.50
IncomeOtherOperatingCosts_sy,,,,,,-21.23,30.56,-41.35,-1.79,-12.82,11.92,-30.95,-8.70,-32.01,-2.28,7.32,27.32,9.10,20.97,,-30.72,-12.43,,,49.90,22.18,4.72,35.71,19.35,-27.62,-2.04,-21.89
IncomeOtherOperatingCosts_qq,,,-32.34,-103.40,200.00,8523.53,-97.27,4087.50,-99.70,25760.00,-58.86,-100.04,150.00,1368000.00,-12.29,-100.00,,-117.24,100.00,,,30.83,-81.87,-5.00,-31.58,-169.23,211.11,-73.33,-50.00,50.00,100.00,275.00
IncomeOtherOperatingCosts_sq,,,-88.30,81.76,-39.13,200.00,-74.94,63.80,-38.05,155.00,-72.71,8.71,-7.69,214.75,-57.79,20.72,,199.48,-63.87,,,245.71,-63.25,41.26,-31.58,206.08,-74.35,40.00,-23.03,94.26,-57.84,78.46
IncomeEBIT,,1170000,1063000,846000,366000,627000,655000,915000,857000,1418000,508000,352000,546000,3445000,638000,2510000,200000,5941000,1283000,3927000,560000,3320000,446000,2136000,1656000,3881000,681000,2817000,596000,5812000,453000,3059000
IncomeEBIT_yy,,,,,,-46.39,-38.34,8.08,134.14,126.16,-22.47,-61.54,-36.27,142.90,25.56,613.54,-63.37,72.44,101.10,56.45,180.00,-44.12,-65.24,-45.61,195.71,16.90,52.69,31.88,-64.01,49.76,-33.48,8.59
IncomeEBIT_sy,,,,,,17.42,2.47,0.22,-20.72,8.23,35.59,60.44,47.09,8.92,14.68,16.73,22.00,28.04,7.53,19.42,22.78,-15.44,5.02,15.12,-4.38,-3.12,26.09,27.58,1.98,2.50,1.27,41.53
IncomeEBIT_qq,,,-9.14,-20.40,-56.76,71.41,4.51,39.54,-6.33,65.57,-64.17,-30.77,55.20,531.04,-81.48,293.42,-92.03,2870.50,-78.40,206.08,-85.74,492.86,-86.57,378.92,-22.47,134.36,-82.45,313.66,-78.84,875.17,-92.21,575.28
IncomeEBIT_sq,,,-25.10,-3.02,-5.06,43.46,-40.42,-0.17,4.20,47.01,-39.22,-7.98,21.84,25.15,-29.98,4.60,23.94,35.18,-42.43,-0.04,23.58,4.92,-4.16,7.55,0.48,25.15,-15.40,21.03,-13.40,3.75,-37.32,21.82
IncomeFinanceIncome,,79000,6000,4000,90000,67000,59000,36000,17000,56000,37000,18000,15000,34000,35000,56000,53000,26000,22000,15000,16000,47000,56000,22000,19000,90000,20000,14000,116000,18000,25000,91000
IncomeFinanceIncome_yy,,,,,,-14.61,885.33,875.60,-80.75,-16.76,-37.62,-50.82,-12.91,-39.01,-5.10,212.88,250.14,-23.72,-37.14,-73.21,-69.81,80.77,154.55,46.67,18.75,91.49,-64.29,-36.36,510.53,-80.00,25.00,550.00
IncomeFinanceIncome_sy,,,,,,20.28,31.43,7.09,-17.70,9.89,-22.46,,-49.82,4.12,-15.08,-30.60,90.70,-11.76,45.12,-38.40,-23.58,-15.97,-21.94,59.77,-54.55,20.88,16.13,-35.29,94.58,-4.93,-4.17,177.48
IncomeFinanceIncome_qq,,,-92.37,-37.83,2320.11,-25.62,-11.95,-38.45,-52.24,221.58,-34.01,-51.47,-15.43,125.18,2.68,60.00,-5.36,-50.94,-15.38,-31.82,6.67,193.75,19.15,-60.71,-13.64,373.68,-77.78,-30.00,728.57,-84.48,38.89,264.00
IncomeFinanceIncome_sq,,,92.93,-12.43,20.37,-2.16,6.98,-9.68,-5.88,9.04,-24.45,-0.76,-47.06,109.67,2.68,-16.67,12.45,36.38,29.83,-60.91,39.28,42.86,31.56,-0.21,-48.05,129.76,-26.76,-30.21,6.71,32.90,-7.14,148.57
IncomeFinanceCosts,,207000,36000,46000,105000,26000,50000,9000,0,7000,19000,2000,2000,2000,10000,167000,28000,161000,15000,241000,463000,434000,123000,-24000,166000,-31000,197000,209000,132000,381000,103000,52000
IncomeFinanceCosts_yy,,,,,,-87.41,39.44,-79.89,-100.19,-73.77,-62.07,-78.35,1241.00,-75.41,-47.48,8266.73,1126.99,9471.94,50.00,44.31,1553.57,169.57,720.00,-109.96,-64.15,-107.14,60.16,970.83,-20.48,1329.03,-47.72,-75.12
IncomeFinanceCosts_sy,,,,,,36.41,3.23,-12.68,-13.04,-26.83,-30.21,-20.28,-47.06,-12.85,-21.21,-8.18,99.09,122.27,19.20,3.73,-11.29,-49.88,36.65,42.76,-8.54,56.26,35.22,112.44,57.18,37.18,-47.16,-46.09
IncomeFinanceCosts_qq,,,-82.62,27.36,129.33,-75.20,92.48,-81.63,-102.17,3520.00,178.36,-89.52,14.33,-26.29,494.53,1570.00,-83.23,475.00,-90.68,1506.67,92.12,-6.26,-71.66,-119.51,791.67,-118.67,735.48,6.09,-36.84,188.64,-72.97,-49.51
IncomeFinanceCosts_sq,,,-12.50,27.36,12.26,-5.80,-3.94,-15.28,-5.64,-14.67,-2.78,6.14,-31.66,36.69,-7.16,-8.98,11.41,19.51,1.73,-5.68,8.10,12.48,33.96,-13.30,-15.25,36.33,5.10,5.12,-46.47,72.44,-43.62,-22.92
IncomeOtherIncome,,646000,,,,2000,,,,-79000,5000,6000,16000,,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_yy,,,,,,-99.62,,,,-3309.72,,,,100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_sy,,,,,,-5.56,,,,-100.00,,,,-100.00,-100.00,-100.00,-100.00,,,,,,,,,,,,,,,
IncomeOtherIncome_qq,,,-100.00,,,,-100.00,,,,106.53,14.03,174.71,-100.00,,,,,,,,,,,,,,,,,,
IncomeOtherIncome_sq,,,7.84,,,,-100.00,,,,4.52,14.03,89.64,-100.00,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-428000,428000,1033000,804000,351000,671000,664000,942000,874000,1388000,531000,374000,575000,3450000,663000,2399000,225000,5806000,1290000,3701000,113000,2933000,379000,2182000,1509000,4002000,504000,2622000,580000,5449000,375000,3098000
IncomeNetGrossProfit_yy,,,,,182.03,56.74,-35.69,17.12,149.08,106.98,-20.05,-60.33,-34.22,148.56,24.83,542.17,-60.87,68.28,94.57,54.27,-49.78,-49.48,-70.62,-41.04,1235.40,36.45,32.98,20.16,-61.56,36.16,-25.60,18.15
IncomeNetGrossProfit_sy,,,,,21.91,43.80,2.38,-24.61,-23.14,22.86,17.76,78.01,39.82,18.22,16.46,4.34,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
IncomeNetGrossProfit_qq,,200.00,141.42,-22.17,-56.35,91.08,-0.94,41.75,-7.17,58.78,-61.74,-29.67,53.93,500.01,-80.78,261.84,-90.62,2480.44,-77.78,186.90,-96.95,2495.58,-87.08,475.73,-30.84,165.21,-87.41,420.24,-77.88,839.48,-93.12,726.13
IncomeNetGrossProfit_sq,,21.09,-3.16,-9.34,5.40,10.60,-17.98,-9.29,8.43,45.14,-30.74,-23.33,21.92,39.58,-34.68,-4.84,30.34,31.06,-14.52,-14.08,14.54,16.59,-28.16,19.60,7.06,5.44,-22.32,5.62,-1.76,-5.42,-31.58,28.38
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-428000,428000,1033000,804000,351000,671000,664000,942000,874000,1388000,531000,374000,575000,3450000,663000,2399000,225000,5806000,1290000,3701000,113000,2933000,379000,2182000,1509000,4002000,504000,2622000,580000,5449000,375000,3098000
IncomeBeforeTaxProfit_yy,,,,,182.03,56.74,-35.69,17.12,149.08,106.98,-20.05,-60.33,-34.22,148.56,24.83,542.17,-60.87,68.28,94.57,54.27,-49.78,-49.48,-70.62,-41.04,1235.40,36.45,32.98,20.16,-61.56,36.16,-25.60,18.15
IncomeBeforeTaxProfit_sy,,,,,21.91,43.80,2.38,-24.61,-23.14,23.08,17.76,78.01,39.82,18.22,16.46,8.12,21.00,15.44,9.79,18.10,16.63,-4.18,1.37,0.84,6.96,-13.61,31.70,4.94,-3.26,-7.63,7.52,34.74
