,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,12679000,105059000,7130000,10862000,10466000,8826000,13046000,9292000,4292000,6165000,3028000,3243000,4086000,3752000,4520000,1522000,3945000,3274000,3779000,4069000,4672000,4374000,4806000,4883000,4726000,4979000,4925000,5392000,5239000,5093000,4791000,4801000,7494000,5025000
IncomeRevenues_yy,,,,,-17.45,-91.60,82.97,-14.45,-58.99,-30.15,-76.79,-65.10,-4.80,-39.14,49.27,-53.07,-3.45,-12.74,-16.39,167.35,18.43,33.60,27.18,20.00,1.16,13.83,2.48,10.42,10.85,2.29,-2.72,-10.96,43.04,-1.34
IncomeRevenues_sy,,,,,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,728.61,-93.21,52.34,-3.65,-15.67,47.81,-28.78,-53.81,43.64,-50.88,7.10,25.99,-8.17,20.47,-66.33,159.20,-17.01,15.42,7.67,14.82,-6.38,9.88,1.60,-3.22,5.35,-1.08,9.48,-2.84,-2.79,-5.93,0.21,56.09,-32.95
IncomeRevenues_sq,,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,8054000,84328000,3173000,-1441000,6128000,4338000,21604000,-2349000,1676000,9246000,2966000,-3972000,3868000,4791000,3093000,-2323000,570000,690000,467000,1921000,556000,470000,653000,1820000,574000,624000,668000,185000,950000,586000,563000,423000,3167000,627000
IncomeCostOfSales_yy,,,,,-23.91,-94.86,580.87,-63.01,-72.65,113.14,-86.27,-69.09,130.79,-48.18,4.28,41.52,-85.26,-85.60,-84.90,182.69,-2.46,-31.88,39.83,-5.26,3.24,32.77,2.30,-89.84,65.51,-6.09,-15.72,128.65,233.37,7.00
IncomeCostOfSales_sy,,,,,-4.43,-21.51,0.64,-6.70,-15.57,21.34,-4.75,4.57,-2.12,-17.87,3.38,-13.54,15.63,-2.34,12.97,-22.65,-8.07,7.33,6.59,3.15,12.88,20.66,2.30,16.37,-4.22,-6.61,-2.11,22.79,29.61,25.67
IncomeCostOfSales_qq,,947.04,-96.24,-145.41,525.26,-29.21,398.02,-110.87,171.35,451.67,-67.92,-233.92,197.38,23.86,-35.44,-175.11,124.54,21.05,-32.32,311.35,-71.06,-15.47,38.94,178.71,-68.46,8.71,7.05,-72.31,413.51,-38.32,-3.92,-24.87,648.70,-80.20
IncomeCostOfSales_sq,,-1.92,-20.33,32.86,-44.58,-19.76,7.02,30.14,-27.17,2.52,-15.63,48.28,-21.14,4.66,3.00,35.09,-15.42,-6.14,-11.12,21.75,-28.33,3.06,12.56,27.23,-33.71,2.90,-3.06,50.30,-34.28,-9.47,2.82,33.69,-21.70,1.04
IncomeDistributionExpenses,185000,1464000,214000,342000,383000,556000,576000,484000,297000,663000,195000,232000,43000,7000,103000,-34000,35000,98000,101000,327000,56000,85000,76000,117000,107000,106000,100000,114000,121000,207000,112000,182000,73000,124000
IncomeDistributionExpenses_yy,,,,,107.03,-62.02,169.16,41.52,-22.45,19.24,-66.15,-52.07,-85.52,-98.94,-47.18,-114.66,-18.60,1300.00,-1.94,1061.76,60.00,-13.27,-24.75,-64.22,91.07,24.71,31.58,-2.56,13.08,95.28,12.00,59.65,-39.67,-40.10
IncomeDistributionExpenses_sy,,,,,19.46,16.38,17.34,12.94,15.52,-12.77,-16.64,-1.02,-14.50,-14.12,-5.34,-11.86,7.74,1.44,7.69,-7.24,3.22,5.13,-1.53,5.54,12.98,28.32,6.22,0.65,18.53,-3.42,19.50,11.68,9.45,-5.26
IncomeDistributionExpenses_qq,,691.29,-85.38,59.81,11.99,45.17,3.60,-15.97,-38.64,123.23,-70.59,18.97,-81.47,-83.72,1371.43,-133.01,202.94,180.00,3.06,223.76,-82.87,51.79,-10.59,53.95,-8.55,-0.93,-5.66,14.00,6.14,71.07,-45.89,62.50,-59.89,69.86
IncomeDistributionExpenses_sq,,30.41,-0.24,21.70,-21.22,21.57,-5.58,12.04,-22.52,7.95,-5.02,24.72,-32.79,5.90,12.81,15.87,-25.48,6.59,3.06,19.80,-28.26,7.80,-10.70,12.06,-18.56,23.49,-4.66,26.06,-13.48,23.16,-3.36,22.15,-18.91,12.12
