,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,186368000,284227000,308754000,226211000,194381000,279556000,345237000,245336000,227297000,309064000,360227000,267773000,228228000,323972000,357197000,28307000,185841000,233161000,240080000,194840000,175514000,223843000,224668000,76789000,149220000,186375000,192807000,164351000,137176000,221567000,192344000,156298000,124765000,192118000,196557000,169161000,128494000,198290000,204160000,176841000,229201000,362425000,362903000,308197000,247214000,392660000,396374000,346631000,265951000,413579000,421924000,356619000,271465000,418847000,391693000
IncomeCostOfSales,162964000,198060000,213255000,191078000,164791000,195585000,231108000,193141000,180474000,209649000,252862000,201226000,185949000,224478000,264153000,13146000,160975000,161168000,171803000,155677000,153766000,163839000,160148000,57221000,126619000,126134000,128254000,126212000,117711000,130097000,129895000,120015000,110692000,126552000,126306000,122241000,,,,,,,,,,,,,,,,10071000,14194000,14678000,16816000
IncomeDistributionExpenses,10910000,13698000,19329000,17812000,12618000,15252000,17947000,19726000,11871000,15325000,20363000,49000,9662000,11307000,10426000,9807000,6178000,7798000,7524000,5736000,6616000,6576000,6374000,6194000,6020000,8126000,6300000,6754000,6231000,6074000,6376000,6697000,,,,,,,,,,,,,,,,32633000,44992000,36512000,39772000,35936000,40079000,36745000,44873000
IncomeAdministrativExpenses,39530000,44816000,39239000,39203000,38089000,40919000,39681000,14877000,30051000,28767000,29158000,13873000,24248000,24178000,25700000,19947000,25044000,18770000,23830000,24997000,22135000,23377000,24346000,22686000,22868000,20817000,23180000,22829000,,,,,,,,,,,,,,,,-19300000,26981000,44309000,-21455000,-17256000,30194000,58055000,-10490000,-5325000,39347000,50179000,7618000
IncomeGrossProfit,-7681000,43250000,33000000,235000,-14847000,31919000,28693000,15483000,-8678000,28028000,31296000,-6115000,-9059000,34895000,34349000,6948000,-8690000,59967000,31803000,6843000,-15026000,38675000,40695000,17394000,-11659000,43853000,47632000,21300000,7639000,114865000,111440000,57306000,14706000,125051000,126761000,75787000,14506000,139000000,137867000,72846000,10481000,137934000,123252000,8046000,18464000,8211000,89379000,7398000,6440000,3272000,73412000,8430000,3496000,3721000,118008000
IncomeOtherOperatingIncome,3303000,2169000,3803000,9395000,3689000,2751000,1033000,16515000,1829000,4286000,1389000,5199000,17102000,12527000,66983000,23006000,1891000,2058000,3632000,7865000,8998000,2765000,856000,5187000,85000,798000,3117000,7581000,928000,540000,9918000,14806000,1208000,1088000,4093000,21495000,4744000,592000,7024000,10548000,2190000,129508000,3695000,3921000,10319000,2733000,4564000,6153000,-200000,3768000,13516000,4248000,3511000,2720000,5824000
IncomeOtherOperatingCosts,2888000,3253000,3229000,9587000,2914000,5750000,3162000,8211000,2599000,8667000,10480000,-6503000,5412000,3391000,5805000,10846000,3673000,5356000,1712000,10918000,920000,6981000,2692000,7063000,1153000,1145000,2548000,6758000,27078000,25543000,26030000,17108000,25106000,25424000,26035000,29147000,19615000,18158000,15803000,17874000,14059000,14120000,15341000,-15175000,35126000,49787000,63360000,-16011000,36834000,57559000,49406000,-1143000,39332000,51180000,119802000
IncomeEBIT,-7266000,42166000,33574000,43000,-14072000,28920000,26564000,23787000,-9448000,23647000,22205000,5587000,2631000,44031000,95527000,19108000,-10472000,56669000,33723000,3790000,-6948000,34459000,38859000,15518000,-12727000,43506000,48201000,22123000,-18511000,89862000,95328000,55004000,-9192000,100715000,104819000,68135000,-365000,121434000,129088000,65520000,-1388000,253322000,111606000,3479000,-726000,5817000,-8322000,9000,79000,-30000,48000,30000,107000,-86000,
IncomeFinanceIncome,,,,,,0,2435000,569000,1367000,4979000,1833000,1810000,1610000,1867000,2403000,926000,1174000,1032000,1127000,1085000,1170000,1500000,9366000,398000,5175000,504000,982000,336000,777000,833000,2955000,392000,481000,434000,565000,256000,1192000,-227000,6272000,2008000,6664000,-1102000,4120000,4506000,3848000,4609000,3683000,4179000,4345000,4074000,4673000,4720000,6109000,9980000,5401000
IncomeFinanceCosts,8399000,4599000,3315000,3864000,6831000,4177000,2689000,2065000,3539000,2446000,478000,137000,602000,193000,1503000,210000,1194000,-55000,78000,151000,550000,83000,1578000,3991000,4404000,3684000,4412000,6487000,1224000,7115000,2632000,12184000,4941000,2541000,11321000,3809000,4210000,8311000,258000,252000,694000,534000,607000,684000,723000,755000,666000,1011000,595000,-2194000,155000,124000,-527000,1152000,-104000
