,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,14430000,13296000,15510000,18877000,25785000,24192000,21440000,15227000,16178000,9772000,9868000,10580000,7736000,7982000,9914000,11133000,13284000,13515000,11956000,20560000,19559000,14306000,12299000,17223000,16336000,15746000,8935000,14840000,19825000,17171000,15922000,16651000,18779000,14668000,13014000,16648000,27436000,20870000,11342000,12638000,11032000,6862000,12594000,12826000,15391000,9854000,14986000,9679000,15065000
IncomeRevenues_yy,,,,,78.69,81.95,38.23,-19.34,-37.26,-59.61,-53.97,-30.52,-52.18,-18.32,0.47,5.23,71.72,69.32,20.60,84.68,47.24,5.85,2.87,-16.23,-16.48,10.07,-27.35,-13.84,21.36,9.05,78.20,12.20,-5.28,-14.58,-18.26,-0.02,46.10,42.28,-12.85,-24.09,-59.79,-67.12,11.04,1.49,39.51,43.60,18.99,-24.54,-2.12
IncomeRevenues_sy,,,,,12.64,12.68,9.37,9.93,0.66,3.49,-19.80,-14.82,-19.75,1.85,-6.72,12.47,15.62,22.68,31.04,22.93,19.94,22.76,6.70,4.36,-5.84,-3.56,-3.67,-2.42,2.62,7.53,5.61,7.17,6.43,5.54,7.78,6.02,6.94,3.25,-5.02,-2.64,-2.84,7.26,13.96,12.29,20.89,16.83,13.98,12.35,7.76
IncomeRevenues_qq,,-7.86,16.65,21.71,36.59,-6.18,-11.38,-28.98,6.25,-39.60,0.98,7.22,-26.88,3.18,24.20,12.30,19.32,1.74,-11.54,71.96,-4.87,-26.86,-14.03,40.04,-5.15,-3.61,-43.26,66.09,33.59,-13.39,-7.27,4.58,12.78,-21.89,-11.28,27.92,64.80,-23.93,-45.65,11.43,-12.71,-37.80,83.53,1.84,20.00,-35.98,52.08,-35.41,55.65
IncomeRevenues_sq,,-6.28,13.35,3.62,2.81,-6.58,8.02,4.32,-0.18,-17.54,-3.52,0.14,5.68,3.18,0.81,12.30,5.77,2.13,12.24,3.94,2.70,0.76,5.54,0.23,-4.73,-3.61,4.13,2.10,4.86,-7.34,4.42,4.51,4.56,-5.52,8.09,4.04,1.75,-9.83,4.70,6.78,-2.70,-4.48,16.06,0.62,1.69,0.37,11.72,0.52,4.95
IncomeCostOfSales,11682000,11354000,12842000,16013000,20351000,21102000,18204000,12142000,12511000,8169000,8049000,8489000,5362000,6919000,8035000,8620000,10108000,10596000,9447000,16630000,15966000,10952000,9691000,11775000,12601000,14145000,6044000,11489000,14640000,15986000,11842000,11875000,15612000,12110000,13157000,14609000,24467000,15430000,9557000,11091000,9231000,8748000,11692000,12446000,11785000,8643000,13320000,8468000,11012000
IncomeCostOfSales_yy,,,,,74.21,85.86,41.75,-24.17,-38.52,-61.29,-55.78,-30.09,-57.14,-15.30,-0.17,1.54,88.51,53.14,17.57,92.92,57.95,3.36,2.58,-29.19,-21.08,29.15,-37.63,-2.43,16.18,13.02,95.93,3.36,6.64,-24.25,11.10,23.02,56.72,27.42,-27.36,-24.08,-62.27,-43.31,22.34,12.22,27.67,-1.20,13.92,-31.96,-6.56
IncomeCostOfSales_sy,,,,,13.74,13.24,12.79,15.89,4.96,0.20,-17.44,-17.84,-20.42,-4.28,-1.58,13.06,28.41,27.44,34.70,26.88,26.06,14.72,14.73,9.38,0.67,-1.58,-10.53,-1.52,0.30,2.70,-0.67,5.65,4.78,1.83,8.85,6.92,5.14,2.06,-11.08,-7.58,-5.72,5.02,19.74,16.66,21.85,17.04,13.00,9.94,-6.03
IncomeCostOfSales_qq,,-2.81,13.11,24.69,27.09,3.69,-13.73,-33.30,3.04,-34.71,-1.47,5.47,-36.84,29.04,16.13,7.28,17.26,4.83,-10.84,76.03,-3.99,-31.40,-11.51,21.50,7.01,12.25,-57.27,90.09,27.43,9.19,-25.92,0.28,31.47,-22.43,8.65,11.04,67.48,-36.94,-38.06,16.05,-16.77,-5.23,33.65,6.45,-5.31,-26.66,54.11,-36.43,30.04
IncomeCostOfSales_sq,,-8.14,8.44,2.72,4.77,3.69,-0.34,6.49,1.51,-19.82,-8.75,0.64,3.58,1.75,9.64,6.32,8.59,3.55,10.69,2.71,3.12,6.31,9.92,-0.93,1.40,-2.52,2.43,-4.37,3.10,-2.99,6.01,3.49,1.19,-6.38,11.82,4.88,-2.34,-7.60,-0.16,2.49,-3.13,-2.58,15.87,0.56,-0.55,2.60,8.89,0.26,3.18
IncomeDistributionExpenses,229000,168000,86000,179000,438000,340000,231000,139000,140000,82000,121000,97000,80000,223000,47000,79000,113000,88000,34000,101000,173000,97000,80000,142000,249000,159000,57000,104000,109000,158000,56000,13000,71000,20000,28000,22000,39000,43000,15000,20000,18000,947000,148000,23000,15000,7000,7000,28000,26000
IncomeDistributionExpenses_yy,,,,,91.27,102.38,168.60,-22.35,-68.04,-75.88,-47.62,-30.22,-42.86,171.95,-61.16,-18.56,41.25,-60.54,-27.66,27.85,53.10,10.23,135.29,40.59,43.93,63.92,-28.75,-26.76,-56.22,-0.63,-1.75,-87.50,-34.86,-87.34,-50.00,69.23,-45.07,115.00,-46.43,-9.09,-53.85,2102.33,886.67,15.00,-16.67,-99.26,-95.27,21.74,73.33
IncomeDistributionExpenses_sy,,,,,41.04,28.69,14.06,24.24,3.98,5.66,-2.42,-8.09,-2.63,-6.05,9.38,-4.93,19.51,5.47,21.44,9.30,18.88,10.23,31.44,18.42,2.79,5.56,-7.92,-3.95,5.98,5.46,7.13,8.62,5.08,8.22,-1.01,4.11,2.64,5.01,6.76,-2.70,-1.09,10.09,2.58,8.16,11.96,8.94,3.42,0.44,58.97
