,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,4274000,9535000,51851000,31191000,6210000,49599000,36519000,61728000,19650000,47205000,53549000,68988000,39424000,67120000,95833000,33635000,17800000,1444000,30487000,45506000,7480000,25041000,37275000,27237000,18291000,24992000,46331000,34931000,14894000,28226000,58964000,18507000,15434000,19989000
IncomeCostOfSales,3337000,679000,27732000,28494000,1197000,2375000,33317000,82281000,10330000,15651000,33321000,66130000,24120000,25880000,76131000,89300000,14714000,9041000,41582000,29169000,10179000,5368000,24015000,14984000,13536000,10691000,33908000,14306000,10582000,13835000,37516000,15749000,9634000,22719000
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,787000,390000,690000,480000,805000,1579000,2616000,10467000,3104000,5757000,5021000,4411000,4426000,6068000,7672000,8328000,2479000,283000,2077000,4573000,1270000,403000,944000,3671000,470000,1083000,1874000,3122000,773000,1045000,1457000,2124000,1031000,973000
IncomeGrossProfit,149000,8466000,23429000,2217000,4209000,45645000,586000,-31020000,6216000,25797000,15207000,-1553000,10879000,35172000,12029000,-63993000,607000,-7880000,-13173000,11763000,-3969000,19270000,12315000,8582000,4285000,13219000,10549000,17503000,3539000,13346000,19991000,634000,4769000,-3703000
IncomeOtherOperatingIncome,,0,0,898000,-45000,2460000,-345000,64732000,1254000,4930000,4897000,9342000,1040000,5218000,1080000,4970000,440000,3312000,514000,4742000,496000,410000,1831000,12788000,8000,3280000,806000,14786000,722000,915000,1063000,1267000,3991000,-1565000
IncomeOtherOperatingCosts,649000,-20000,-1571000,2122000,3361000,7802000,-4308000,1131000,0,,289000,284000,-344000,271000,,,,,,,,,,-500000,8487000,25000000,2176000,4164000,48105000,241000,31590000,7470000,27366000,12302000
IncomeEBIT,12098000,11918000,39259000,13109000,-57996000,1047000,-4857000,-12942000,16849000,-3744000,19948000,14146000,21370000,4293000,16498000,11355000,32289000,4261000,14261000,21053000,1901000,8760000,-5268000,,,,,,2622000,866000,1777000,558000,888000,102000
IncomeFinanceIncome,1996000,1242000,4309000,2717000,-247000,1545000,-5698000,1998000,-53341000,1575000,3027000,16835000,-14235000,834000,303000,671000,4263000,300000,1097000,599000,470000,38000,247000,178000,3086000,2431000,-723000,1095000,2116000,2524000,3247000,2342000,6574000,5310000
IncomeFinanceCosts,10501000,7082000,12975000,15370000,31045000,8153000,4376000,54567000,-22029000,5620000,3083000,5395000,19268000,4860000,4207000,4261000,27015000,2162000,5578000,3378000,12672000,3909000,-56000,,,,,,,,,,,
