,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1
IncomeRevenues,42957000,14810000,42176000,48163000,54032000,62891000,75025000,101431000,82617000,101734000,131729000,142316000,107308000,105485000,113986000,113688000,70406000,92558000,105015000,112962000,85650000,99329000,108510000,92961000,90971000,106957000,109476000,-98494000,44662000,60834000,54590000,39842000,46918000,57460000,53410000,48589000,51119000,60676000,63893000,56037000,60717000,72735000,66604000,69442000,76299000,87795000,85256000,69117000,82535000
IncomeCostOfSales,31479000,9792000,30610000,33480000,38247000,47008000,49998000,70155000,57435000,69509000,88404000,98722000,75999000,78139000,78728000,80791000,52023000,69459000,77984000,83613000,64168000,69812000,76656000,66616000,63256000,75067000,76714000,-73085000,31359000,40894000,36307000,28696000,31407000,38765000,36607000,36368000,36345000,43957000,45243000,42487000,42598000,54954000,49045000,54307000,58739000,65538000,63538000,54090000,59908000
IncomeDistributionExpenses,6066000,1474000,4434000,4728000,6978000,7401000,8535000,10334000,9461000,10956000,12826000,14636000,12001000,11813000,16368000,15120000,11781000,11451000,11323000,12577000,11035000,11407000,11800000,11796000,12628000,12920000,12455000,-9024000,5313000,6648000,5540000,5923000,5847000,6502000,6943000,6736000,7168000,6898000,7245000,7282000,7650000,9322000,9286000,10338000,8693000,9358000,8779000,9297000,9866000
IncomeAdministrativExpenses,3859000,615000,2394000,2014000,4443000,4308000,5316000,6362000,5184000,7008000,8344000,8253000,8065000,8093000,7476000,9631000,6487000,6208000,6669000,6081000,5852000,6157000,3125000,5465000,5744000,6434000,5890000,-3990000,3994000,4659000,3874000,6196000,5443000,5098000,5321000,5514000,5559000,4986000,6341000,6879000,5855000,3862000,3851000,4551000,5390000,5398000,5670000,5113000,5128000
IncomeGrossProfit,1553000,2929000,4738000,7941000,4364000,4174000,11176000,14580000,10537000,14261000,22155000,20705000,11243000,7440000,11414000,8146000,115000,5440000,9039000,10691000,4595000,11953000,16929000,9084000,9343000,12536000,14417000,-12395000,3996000,8633000,8869000,-973000,4221000,7095000,4539000,-29000,2047000,4835000,5064000,-611000,4614000,4597000,4422000,246000,3477000,7501000,7269000,617000,7633000
IncomeOtherOperatingIncome,601000,457000,3445000,1268000,1004000,1855000,1167000,3241000,1102000,970000,905000,1866000,11005000,2040000,3415000,1507000,8962000,2445000,3189000,909000,850000,2377000,902000,2511000,578000,2012000,906000,-1266000,338000,195000,221000,466000,634000,750000,1324000,1714000,837000,1197000,475000,1079000,480000,1437000,131000,1440000,529000,908000,554000,2782000,290000
IncomeOtherOperatingCosts,939000,594000,4463000,1489000,2008000,2274000,2022000,521000,1570000,1760000,1170000,2142000,1723000,4525000,4506000,2584000,2216000,2391000,3236000,2181000,4221000,3769000,1493000,3390000,3036000,3009000,1798000,-1210000,809000,4234000,131000,1289000,239000,403000,1176000,5372000,579000,689000,385000,1170000,1123000,1187000,1301000,2705000,311000,1007000,1304000,2700000,975000
IncomeEBIT,1215000,2792000,3720000,7720000,3360000,3755000,10321000,17300000,10069000,13471000,21890000,20429000,20525000,4955000,10323000,7069000,6861000,5494000,8992000,9419000,1224000,10561000,16338000,8205000,6885000,11539000,13525000,-12451000,3525000,4594000,8959000,-1796000,4616000,7442000,4687000,-3687000,2305000,5343000,5154000,-702000,3971000,4847000,3252000,-1019000,3695000,7402000,6519000,699000,6948000
IncomeFinanceIncome,169000,244000,860000,295000,392000,1000000,366000,1485000,536000,265000,548000,989000,960000,820000,-185000,549000,394000,288000,96000,111000,104000,754000,207000,250000,212000,215000,64000,24000,190000,209000,77000,472000,1405000,627000,555000,311000,1083000,-69000,228000,802000,1523000,297000,292000,570000,1572000,274000,621000,397000,237000
IncomeFinanceCosts,637000,265000,638000,773000,803000,2016000,809000,728000,1423000,1210000,3457000,4591000,3361000,3074000,2962000,1769000,2616000,2769000,1821000,2767000,2153000,2721000,3054000,1631000,2393000,2487000,69383000,-71160000,835000,495000,1339000,-241000,720000,721000,1541000,385000,1222000,682000,950000,1134000,1284000,952000,803000,1491000,1676000,1250000,1497000,1716000,1095000
