,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,213541000,272810000,277320000,260707000,255386000,259882000,326146000,348198000,281661000,283283000,298230000,332342000,297402000,350202000,396539000,398724000,322387000,300812000,316332000,276150000,191598000,214237000,205432000,192411000,155259000,165253000,168474000,150292000,155778000,158701000,133604000,145735000,126630000,157558000
IncomeCostOfSales,136328000,164539000,167940000,175010000,186052000,200339000,239899000,278651000,219033000,199659000,208006000,244016000,236846000,265618000,302047000,328126000,262162000,227239000,257829000,232837000,161638000,177562000,176661000,171530000,133255000,140262000,143193000,130610000,127008000,127666000,103905000,134728000,104430000,131249000
IncomeDistributionExpenses,17422000,22391000,16690000,17057000,20561000,19841000,24742000,25865000,23026000,25921000,28410000,31299000,28983000,31867000,34401000,26480000,25971000,25165000,22247000,24768000,18200000,16354000,16497000,15158000,12916000,15237000,14924000,13931000,13622000,13398000,8295000,13551000,9671000,11872000
IncomeAdministrativExpenses,24552000,28100000,42250000,31164000,21460000,26886000,28796000,23665000,25161000,27315000,25962000,36499000,35474000,27096000,33524000,38013000,29687000,23455000,22857000,23217000,15890000,13963000,12962000,17864000,12771000,14949000,13285000,15679000,13419000,13013000,14806000,10465000,11131000,12675000
IncomeGrossProfit,35239000,57780000,50440000,37476000,27313000,12817000,32709000,20017000,14441000,30387000,35852000,20527000,-3902000,25620000,26567000,6105000,4568000,24953000,13399000,-4671000,-4130000,6359000,-687000,-12141000,-3684000,-5196000,-2928000,-9927000,1730000,4624000,6597000,-13009000,1397000,1762000
IncomeOtherOperatingIncome,375000,-24071000,-14489000,38585000,9739000,-4440000,9737000,0,,147000,0,-79000,2336000,-2667000,-5307000,-36272000,196000,-772000,-33654000,-69454000,3688000,-615000,-1794000,-3734000,13516000,-95000,2895000,-1709000,10339000,,42565000,-445000,-3086000,-1535000
IncomeOtherOperatingCosts,19315000,87000,14242000,2694000,-15252000,-1693000,384000,-10239000,,,,,,,,,,1467000,,,10782000,25274000,44808000,35951000,33496000,27758000,15903000,34244000,10441000,14353000,26037000,31347000,17833000,11350000
IncomeEBIT,27460000,26183000,16265000,6904000,22286000,8092000,-40944000,-3934000,5587000,-34341000,-81595000,4000,-5811000,-4722000,-13661000,15246000,-10380000,7998000,-10114000,-311000,-7249000,2576000,4776000,108000,-923000,2592000,-1152000,7278000,3591000,2422000,6584000,4743000,196000,4867000
IncomeFinanceIncome,5745000,8323000,5242000,3091000,2513000,2046000,4590000,4993000,-763000,-2603000,-30000,4000,0,75000,27447000,10850000,-32875000,19422000,-5578000,12873000,14490000,11554000,19275000,8465000,8511000,7389000,8158000,8573000,9724000,8129000,13009000,11003000,11953000,9697000
IncomeFinanceCosts,14544000,127049000,35805000,46515000,113803000,148582000,-43253000,22838000,64775000,69127000,-13157000,37717000,41024000,10533000,12388000,7007000,7954000,8017000,8418000,,,,,,,,,,,,,,,
IncomeOtherIncome,,,,,,,,,,,,,-22000,,,,,14978000,35094000,24504000,13299000,21885000,6239000,34134000,5874000,8203000,22896000,27961000,5020000,5213000,21252000,24809000,6963000,-117055000
IncomeNetGrossProfit,-11006000,-36377000,-150157000,-147523000,48076000,-59781000,-146400000,-69122000,7351000,-42439000,-54632000,4714000,4679000,11841000,-50943000,11094000,-21245000,,,,,,,,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,14978000,35094000,24504000,13299000,21885000,6239000,34134000,5874000,8203000,22896000,27961000,5020000,5213000,21252000,24809000,6963000,-117055000
IncomeBeforeTaxProfit,-11006000,-36377000,-150157000,-147523000,48076000,-59781000,-146400000,-69122000,7351000,-42439000,-54632000,4714000,4679000,11841000,-50943000,11094000,-21245000,,,,,,,,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,13464000,34083000,22076000,18811000,19763000,7028000,31717000,4055000,7761000,18720000,23844000,6161000,4094000,19750000,23063000,2687000,-102818000
IncomeNetProfit,-10864000,-31642000,-160164000,-143810000,46449000,-59328000,-150018000,-70181000,5921000,-41852000,-62361000,4701000,1919000,12863000,-49630000,10012000,-21354000,13572000,33291000,20884000,19782000,19225000,6793000,31377000,3454000,7287000,16521000,23634000,5715000,3004000,18442000,22477000,2177000,-102013000
IncomeShareholderNetProfit,-9516000,-32531000,-158988000,-142534000,46088000,-59145000,-149080000,-69694000,5833000,-41943000,-62232000,4992000,1217000,13104000,-50818000,9974000,-21189000,,,,,,,,,,,,,,,,,
