,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7932000,12124000,6308000,4920000,8272000,10607000,10418000,10152000,8288000,9822000,9729000,13559000,8391000,5562000,5545000,6276000,6077000,9974000,14139000,18913000,10573000,12578000,4731000,7723000,6273000,6565000,6663000,6805000,4978000,5310000,4583000,5341000,3975000,3792000,2406000,3922000,2916000,2578000,1939000,2595000,2013000,2758000,1579000,678000,361000,351000,321000,1457000,2140000,1533000,2256000,2396000,2861000,1754000
IncomeCostOfSales,3985000,8956000,4248000,7016000,6145000,7021000,7642000,7418000,6076000,7113000,6847000,10769000,9137000,5480000,4527000,5352000,4361000,7834000,12658000,17833000,8991000,11203000,4242000,6638000,5091000,5239000,5632000,5819000,4337000,5087000,4152000,5568000,3409000,3037000,2121000,3297000,2718000,2473000,1892000,2614000,1754000,2362000,1448000,1019000,591000,598000,581000,1102000,1715000,1125000,1337000,2231000,2172000,1440000
IncomeDistributionExpenses,930000,938000,461000,1060000,686000,830000,604000,221000,435000,396000,659000,999000,504000,686000,333000,336000,209000,203000,260000,204000,166000,165000,73000,103000,327000,672000,625000,121000,443000,-254000,87000,79000,37000,230000,190000,137000,35000,29000,94000,68000,40000,69000,48000,40000,43000,33000,30000,27000,32000,19000,13000,5000,20000,24000
IncomeAdministrativExpenses,1631000,1646000,1492000,1488000,1675000,2047000,1836000,1409000,1609000,1729000,1384000,1574000,1455000,1509000,1182000,1210000,1272000,1378000,1062000,1093000,1168000,961000,1260000,960000,826000,914000,417000,653000,617000,850000,755000,157000,641000,512000,583000,743000,595000,476000,550000,492000,435000,434000,462000,145000,266000,303000,222000,308000,295000,296000,244000,281000,279000,274000
IncomeGrossProfit,1386000,584000,107000,-4644000,-234000,709000,336000,1104000,168000,584000,839000,217000,-2705000,-2113000,-497000,-622000,235000,559000,159000,-217000,248000,249000,-844000,22000,29000,-260000,-11000,212000,-419000,-373000,-411000,-463000,-112000,13000,-488000,-255000,-432000,-400000,-597000,-579000,-216000,-107000,-379000,-526000,-539000,-583000,-512000,20000,98000,93000,662000,-121000,390000,16000
IncomeOtherOperatingIncome,115000,81000,74000,70000,-16000,587000,1072000,354000,39000,127000,347000,195000,-124000,313000,87000,353000,-151000,433000,447000,783000,116000,513000,-95000,456000,55000,280000,159000,92000,201000,70000,121000,11000,41000,3094000,211000,37000,60000,592000,119000,143000,21000,2000,14000,49000,2000,10000,1000,14000,14000,-1000,1115000,89000,12000,11000
IncomeOtherOperatingCosts,16000,98000,-45000,1208000,5000,4000,23000,201000,10000,17000,24000,39000,36000,156000,96000,1236000,112000,461000,303000,103000,6000,352000,30000,3908000,125000,146000,203000,280000,8000,8000,56000,608000,18000,1871000,127000,544000,16000,397000,14000,286000,-9000,-184000,-233000,185000,68000,52000,187000,-102000,-25000,-29000,-61000,-45000,-15000,-323000
IncomeEBIT,1485000,567000,226000,-5782000,-255000,1292000,1385000,1257000,197000,694000,1162000,373000,-2865000,-1956000,-506000,-1505000,-28000,531000,303000,463000,358000,410000,-969000,-3430000,-41000,-126000,-55000,24000,-226000,-311000,-346000,-1060000,-89000,1236000,-404000,-762000,-388000,-205000,-492000,-722000,-186000,79000,-132000,-662000,-605000,-625000,-698000,136000,137000,121000,1838000,13000,417000,350000
IncomeFinanceIncome,146000,-49000,33000,14000,5000,5000,11000,170000,361000,104000,-1000,216000,161000,300000,475000,252000,344000,1037000,145000,-95000,164000,-12000,36000,122000,124000,181000,182000,286000,99000,71000,189000,129000,154000,971000,-640000,272000,2963000,-2335000,83000,62000,59000,39000,286000,40000,61000,953000,-422000,75000,108000,-19000,645000,188000,1564000,96000
IncomeFinanceCosts,15000,134000,21000,352000,75000,95000,157000,268000,48000,2000,74000,-4000,54000,73000,8000,100000,61000,5000,69000,83000,489000,358000,-328000,-67000,37000,-2000,713000,-705000,1038000,-8000,922000,-617000,620000,-614000,4268000,1377000,487000,234000,1099000,628000,144000,236000,-40000,237000,1000,0,29000,1000,4000,479000,,,,
