,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,323571000,228176000,255104000,272277000,237479000,224699000,225276000,237700000,56613000,56470000,76217000,736622000,199584000,156350000,214634000,212947000,196594000,162526000,178284000,242218000,204724000,164694000,197611000,192016000,250225000,208031000
IncomeRevenues_yy,,,,,-26.61,-1.52,-11.69,-12.70,-76.16,-74.87,-66.17,209.90,252.54,176.87,181.61,-71.09,-1.50,3.95,-16.94,13.75,4.14,1.33,10.84,-20.73,22.23,26.31
IncomeRevenues_sy,,,,,-10.93,0.19,-6.08,-11.85,-9.01,-3.42,-10.12,-2.21,4.54,2.54,13.30,1.54,-3.10,-3.32,-3.79,5.74,0.64,-2.08,3.27,-5.03,5.11,0.61
IncomeRevenues_qq,,-29.48,11.80,6.73,-12.78,-5.38,0.26,5.52,-76.18,-0.25,34.97,866.47,-72.91,-21.66,37.28,-0.79,-7.68,-17.33,9.70,35.86,-15.48,-19.55,19.99,-2.83,30.31,-16.86
IncomeRevenues_sq,,-13.10,-0.16,10.80,-9.90,-10.40,-2.42,8.08,-2.00,-10.10,-6.96,13.85,2.48,-12.62,-0.38,8.04,-2.12,-10.87,0.68,13.71,-8.06,-10.90,0.98,10.49,2.78,-9.38
IncomeCostOfSales,288721000,205443000,229807000,238973000,216296000,209698000,243771000,223911000,48997000,51519000,70664000,659151000,167285000,131427000,182781000,177807000,169938000,142567000,164710000,219921000,184245000,144944000,181939000,170365000,228025000,198226000
IncomeCostOfSales_yy,,,,,-25.08,2.07,6.08,-6.30,-77.35,-75.43,-71.01,194.38,241.42,155.10,158.66,-73.02,1.59,8.48,-9.89,23.69,8.42,1.67,10.46,-22.53,23.76,36.76
IncomeCostOfSales_sy,,,,,-4.34,-1.39,-5.48,-8.91,-10.72,-8.28,-4.18,-0.57,1.01,5.37,9.48,-8.79,-1.93,-2.52,-7.44,5.06,-2.51,-5.60,-10.37,-5.71,5.68,20.58
IncomeCostOfSales_qq,,-28.84,11.86,3.99,-9.49,-3.05,16.25,-8.15,-78.12,5.15,37.16,832.79,-74.62,-21.44,39.07,-2.72,-4.43,-16.11,15.53,33.52,-16.22,-21.33,25.52,-6.36,33.85,-13.07
IncomeCostOfSales_sq,,-10.74,4.38,10.94,-6.98,-10.54,-3.46,16.10,-9.46,-10.37,2.06,17.97,-8.25,-10.06,-1.26,13.75,-4.63,-2.47,-10.92,14.62,-11.69,-10.27,2.07,10.06,-2.68,4.29
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,5406000,5673000,7822000,9378000,6617000,6692000,6871000,8304000,1934000,1755000,1851000,24027000,6919000,7135000,6892000,7607000,6975000,8289000,7512000,12188000,7245000,8051000,7937000,8254000,7723000,8701000
IncomeAdministrativExpenses_yy,,,,,22.41,17.95,-12.15,-11.45,-70.77,-73.78,-73.05,189.33,257.70,306.62,272.25,-68.34,0.81,16.18,8.99,60.23,3.88,-2.87,5.67,-32.28,6.59,8.07
IncomeAdministrativExpenses_sy,,,,,-4.74,3.36,-11.76,-35.96,-6.16,-29.14,-14.76,17.73,-18.78,-4.97,0.07,-11.36,-8.05,-4.01,-7.47,7.40,2.67,-5.60,-1.30,-10.46,7.41,12.16
