,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,21821000,66385000,19042000,33708000,27721000,64869000,32339000,33901000,62429000,156027000,70634000,61992000,149731000,225852000,57561000,113908000,155337000,246152000,30840000,176893000,126647000,280997000,98300000,176408000,113116000,272881000,139958000,233970000,158467000,251006000,95406000,193292000,115858000,274263000
IncomeRevenues_yy,,,,,27.03,-2.28,69.83,0.57,125.20,140.53,118.41,82.86,139.84,44.75,-18.51,83.75,3.74,8.99,-46.42,55.29,-18.47,14.16,218.75,-0.27,-10.68,-2.89,42.38,32.63,40.09,-8.02,-31.83,-17.39,-26.89,9.27
IncomeRevenues_sy,,,,,17.52,15.57,18.34,27.05,31.46,11.40,8.60,12.64,1.52,0.01,3.74,-8.14,-3.44,-1.94,-11.16,4.57,0.03,2.17,13.89,2.99,3.80,2.48,6.10,6.96,17.14,6.59,11.92,2.73,0.21,2.61
IncomeRevenues_qq,,204.22,-71.32,77.02,-17.76,134.01,-50.15,4.83,84.15,149.93,-54.73,-12.24,141.53,50.84,-74.51,97.89,36.37,58.46,-87.47,473.59,-28.40,121.87,-65.02,79.46,-35.88,141.24,-48.71,67.17,-32.27,58.40,-61.99,102.60,-40.06,136.72
IncomeRevenues_sq,,6.30,11.12,1.02,-2.95,3.01,-2.36,21.28,-7.41,-1.88,5.28,13.40,-14.21,3.87,10.47,5.94,-13.95,2.50,1.39,22.43,-13.78,5.45,6.29,0.83,-12.54,6.41,3.54,5.11,-2.66,1.88,0.31,14.77,-9.14,-1.27
IncomeCostOfSales,22160000,28851000,8076000,28159000,24348000,12366000,16199000,25337000,56175000,60014000,62429000,56149000,127362000,70066000,58969000,112001000,123005000,83560000,41058000,173333000,73642000,81065000,96080000,150099000,89539000,96662000,117791000,214607000,145506000,92614000,76683000,195719000,115950000,118793000
IncomeCostOfSales_yy,,,,,9.87,-57.14,100.58,-10.02,130.72,385.31,285.38,121.61,126.72,16.75,-5.54,99.47,-3.42,19.26,-30.37,54.76,-40.13,-2.99,134.01,-13.40,21.59,19.24,22.60,42.98,62.51,-4.19,-34.90,-8.80,-20.31,28.27
IncomeCostOfSales_sy,,,,,8.88,22.81,10.50,37.12,48.64,26.71,22.51,8.70,-4.06,-2.91,-2.02,-10.42,-4.24,-2.73,-13.66,-0.25,-1.55,-2.96,10.39,-3.71,5.16,5.38,9.39,7.22,19.10,14.30,8.14,7.78,0.46,4.22
IncomeCostOfSales_qq,,30.19,-72.01,248.68,-13.54,-49.21,31.00,56.41,121.71,6.83,4.02,-10.06,126.83,-44.99,-15.84,89.93,9.83,-32.07,-50.86,322.17,-57.51,10.08,18.52,56.22,-40.35,7.95,21.86,82.19,-32.20,-36.35,-17.20,155.23,-40.76,2.45
IncomeCostOfSales_sq,,-1.38,11.98,3.96,-10.74,7.97,10.85,35.96,-12.92,-2.25,8.51,16.74,-15.92,-4.89,8.50,3.99,-17.80,-4.51,4.31,9.94,-15.70,3.86,8.79,0.71,-12.06,4.60,10.56,6.64,-3.05,-8.14,1.00,18.93,-5.24,-0.26
IncomeDistributionExpenses,1143000,567000,456000,685000,421000,969000,222000,550000,1163000,2341000,1338000,1602000,4618000,816000,2123000,6147000,11637000,7271000,1078000,7667000,11441000,9972000,3466000,7420000,7108000,6297000,20289000,-9253000,12681000,7027000,29726000,-15168000,10791000,10779000
IncomeDistributionExpenses_yy,,,,,-63.20,70.86,-51.46,-19.64,176.60,141.74,504.03,191.26,296.93,-65.15,58.71,283.62,151.99,790.92,-49.22,24.71,-1.68,37.15,221.44,-3.22,-37.87,-36.86,485.41,-224.70,78.40,11.60,46.51,-63.93,-14.90,53.39
IncomeDistributionExpenses_sy,,,,,4.54,5.28,-4.18,-9.34,11.99,17.57,14.82,17.94,-5.38,-1.04,-0.80,-0.97,-4.71,4.47,4.30,6.40,-0.96,2.86,-1.91,-2.58,-2.89,-4.06,3.86,1.80,5.68,2.71,9.16,11.45,1.94,6.60
IncomeDistributionExpenses_qq,,-50.41,-19.51,50.06,-38.57,130.28,-77.13,148.39,111.45,101.26,-42.86,19.77,188.18,-82.33,160.19,189.51,89.30,-37.52,-85.17,611.06,49.23,-12.84,-65.25,114.09,-4.20,-11.42,222.21,-145.61,237.05,-44.59,323.03,-151.03,171.15,-0.11
IncomeDistributionExpenses_sq,,1.24,0.59,21.86,-25.16,-1.79,3.01,29.93,-11.00,8.09,7.01,18.86,-19.04,-0.99,6.18,20.30,-15.88,-3.10,-2.46,17.56,-14.52,3.50,-2.11,7.34,-14.68,-1.64,6.96,6.02,-7.94,-1.64,11.06,12.23,-13.40,1.04
IncomeAdministrativExpenses,1203000,1517000,1670000,1983000,1733000,2201000,2766000,2686000,3303000,3883000,3839000,4060000,5156000,5600000,5433000,4991000,5605000,3559000,3709000,3679000,3527000,4770000,4821000,5243000,4631000,5736000,,26509000,7650000,7805000,,33438000,10040000,11075000
IncomeAdministrativExpenses_yy,,,,,44.03,45.08,65.58,35.46,90.57,76.40,38.82,51.17,56.09,44.21,41.53,22.91,8.70,-36.44,-31.73,-26.28,-37.08,34.01,29.97,42.51,31.32,20.25,-100.00,405.61,65.19,36.08,,26.14,31.24,41.89
IncomeAdministrativExpenses_sy,,,,,2.71,10.92,16.79,24.05,24.44,2.02,14.14,4.92,7.97,1.14,11.33,-0.18,0.82,-12.33,-13.10,-3.93,-3.10,7.58,1.83,-0.61,2.23,9.68,2.50,-3.44,9.03,8.72,,10.66,12.48,15.73
IncomeAdministrativExpenses_qq,,26.09,10.07,18.73,-12.59,27.01,25.63,-2.87,22.97,17.56,-1.14,5.77,26.97,8.62,-2.97,-8.15,12.30,-36.49,4.22,-0.82,-4.14,35.25,1.08,8.75,-11.67,23.85,-100.00,,-71.14,2.03,-100.00,,-69.97,10.30
IncomeAdministrativExpenses_sq,,2.00,3.24,17.65,-13.78,19.84,0.22,12.94,-11.53,6.78,-5.86,12.34,-15.25,3.02,-1.06,9.45,-11.09,-9.64,5.26,14.15,-19.66,1.56,-1.69,17.54,-11.67,4.11,-9.70,,-9.24,3.67,-1.78,,-13.33,0.86
IncomeGrossProfit,-2685000,35450000,8839000,2881000,1219000,49332000,13153000,5328000,1787000,89788000,3029000,180000,12596000,149370000,-8965000,-9232000,15090000,151762000,-15006000,-7786000,38037000,185191000,-6067000,13646000,11837000,164187000,12184000,2106000,-7370000,143560000,3769000,-20696000,-20924000,133616000
IncomeGrossProfit_yy,,,,,145.41,39.16,48.80,84.92,46.56,82.01,-76.97,-96.63,604.77,66.36,-396.02,-5235.13,19.80,1.60,-67.38,15.66,152.07,22.03,59.57,275.26,-68.88,-11.34,300.83,-84.56,-162.26,-12.56,-69.07,-1082.56,-183.90,-6.93
IncomeGrossProfit_sy,,,,,-4.16,-12.77,-5.82,15.34,27.93,-17.62,-10.87,2.25,26.12,30.60,38.52,18.01,19.80,1.60,-6.75,27.38,17.07,5.70,36.43,-3.60,-7.96,-4.38,-13.84,17.78,0.99,-3.23,28.64,-5.88,5.48,-11.93
IncomeGrossProfit_qq,,1420.13,-75.07,-67.41,-57.67,3945.33,-73.34,-59.50,-66.45,4923.85,-96.63,-94.06,6906.49,1085.85,-106.00,-2.97,263.46,905.71,-109.89,48.11,588.54,386.87,-103.28,324.92,-13.26,1287.06,-92.58,-82.71,-449.90,2047.84,-97.37,-649.15,-1.10,738.58
IncomeGrossProfit_sq,,19.81,23.09,-35.22,39.78,-23.41,73.43,-32.48,-27.86,-0.70,17.98,-42.70,-1.37,-15.48,3.70,-2.16,-1.90,-34.54,38.04,48.06,-1.75,7.38,20.07,-19.01,3.66,25.94,1.66,26.30,-15.75,23.92,10.25,1.89,-1.10,-52.44
IncomeOtherOperatingIncome,1603000,1117000,1881000,7455000,1313000,297000,1225000,1401000,1722000,4717000,-1093000,3791000,4892000,3055000,2498000,9461000,8436000,-5165000,3343000,10273000,1910000,1370000,1782000,28860000,2240000,2790000,4789000,1688000,1428000,1586000,508000,4428000,539000,4309000
IncomeOtherOperatingIncome_yy,,,,,-18.09,-73.39,-34.88,-81.20,31.17,1487.16,-189.26,170.55,184.12,-35.22,328.51,149.57,72.45,-269.05,33.84,8.58,-77.36,126.53,-46.70,180.95,17.29,103.62,168.74,-94.15,-36.25,-43.15,-89.40,162.27,-62.23,171.67
IncomeOtherOperatingIncome_sy,,,,,14.46,91.91,-3.04,-10.36,0.07,0.04,20.16,-11.44,-39.22,1.33,-38.27,-24.53,13.47,-11.35,4.97,13.14,-14.23,37.42,-2.05,15.25,-21.92,-31.34,-3.20,-13.46,26.98,-9.59,-13.88,-24.59,18.45,20.59
IncomeOtherOperatingIncome_qq,,-30.31,68.40,296.36,-82.39,-77.36,312.13,14.40,22.88,173.95,-123.18,446.75,29.04,-37.54,-18.24,278.71,-10.83,-161.23,164.73,207.24,-81.41,-28.26,30.05,1519.56,-92.24,24.54,71.63,-64.74,-15.41,11.06,-68.00,772.36,-87.82,698.92
IncomeOtherOperatingIncome_sq,,26.74,-3.38,127.49,-49.65,71.06,-38.34,10.84,-51.55,59.16,-0.67,8.27,-36.95,16.50,-23.13,60.56,-27.66,31.00,-27.94,78.91,-41.30,23.06,-19.86,92.68,-29.20,10.82,1.28,-1.56,-22.28,11.06,16.09,14.11,29.70,33.20
IncomeOtherOperatingCosts,721000,1511000,3510000,3435000,1053000,2336000,3329000,13342000,1931000,10132000,5250000,5895000,10165000,8062000,2673000,15846000,6214000,5464000,5774000,5797000,9867000,10910000,4844000,17442000,3928000,6946000,4122000,4835000,6348000,5897000,3192000,4439000,4909000,9184000
IncomeOtherOperatingCosts_yy,,,,,46.07,54.65,-5.15,288.36,83.36,333.68,57.70,-55.81,426.48,-20.43,-49.09,168.79,-38.86,-32.22,115.99,-63.41,58.77,99.67,-16.10,200.86,-60.19,-36.33,-14.91,-72.28,61.61,-15.10,-22.56,-8.21,-22.67,55.75
IncomeOtherOperatingCosts_sy,,,,,58.96,60.89,47.37,-1.64,4.13,-5.60,1.68,13.68,13.38,-45.33,-12.88,-13.50,41.95,-33.40,0.42,-28.02,-15.58,1.95,20.95,24.09,-15.52,22.35,-3.07,13.62,-7.28,35.60,34.03,-12.90,13.80,25.04
IncomeOtherOperatingCosts_qq,,109.55,132.36,-2.13,-69.35,121.87,42.50,300.76,-85.53,424.76,-48.18,12.29,72.42,-20.69,-66.84,492.82,-60.78,-12.08,5.67,0.41,70.19,10.57,-55.60,260.08,-77.48,76.82,-40.66,17.31,31.29,-7.12,-45.87,39.07,10.60,87.08
IncomeOtherOperatingCosts_sq,,87.96,-14.24,115.56,-66.55,65.55,-18.82,87.63,-65.13,72.84,-32.98,98.69,-53.49,3.98,11.09,126.37,-26.34,13.69,-12.78,34.07,-42.22,2.94,-16.53,132.14,7.01,50.13,-40.66,158.43,-53.48,49.19,-31.00,59.94,-54.68,64.85
IncomeEBIT,-1804000,35056000,7210000,6900000,1479000,47293000,11049000,-6613000,1578000,84374000,-3315000,-1925000,7323000,144364000,-9140000,-15617000,17311000,141133000,-17436000,-3311000,30081000,175652000,-9129000,25065000,10149000,160032000,12851000,-1041000,-12290000,139249000,1085000,-20707000,-25294000,128741000
IncomeEBIT_yy,,,,,182.01,34.91,53.24,-195.83,6.70,78.40,-130.00,70.89,363.99,71.10,-175.75,-711.35,136.40,-2.24,-90.76,78.80,73.76,24.46,47.64,857.06,-66.26,-8.89,240.78,-104.15,-221.09,-12.99,-91.56,-1889.80,-105.80,-7.55
IncomeEBIT_sy,,,,,9.83,-12.46,-2.24,-61.31,16.71,3.96,-19.18,9.35,27.38,14.75,12.33,9.23,17.55,30.33,-13.72,36.91,27.18,25.68,20.72,-4.48,4.24,-20.00,-18.41,12.77,-2.50,-12.99,6.48,13.16,6.16,-11.69
IncomeEBIT_qq,,2043.65,-79.43,-4.30,-78.56,3097.23,-76.64,-159.85,123.87,5245.98,-103.93,41.93,480.44,1871.39,-106.33,-70.86,210.85,715.27,-112.35,81.01,1008.56,483.94,-105.20,374.56,-59.51,1476.78,-91.97,-108.10,-1081.02,1233.01,-99.22,-2009.14,-22.15,608.99
IncomeEBIT_sq,,11.16,18.91,-32.88,31.09,21.05,13.86,-55.55,37.47,-7.62,-13.02,-43.11,3.78,-3.71,-2.75,21.09,0.08,-23.84,26.34,14.30,0.10,6.40,9.21,12.26,-12.07,18.88,1.82,23.66,-11.94,9.74,16.16,-1.37,29.76,-55.24
IncomeFinanceIncome,,,,,,,,,,,,,,,,,,,,,,1792000,332000,,,,,,,,,,,
IncomeFinanceIncome_yy,,,,,,,,,,,,,,,,,,,,,,,,,,-100.00,-100.00,,,,,,,
IncomeFinanceIncome_sy,,,,,,,,,,,,,,,,,,,,,,,,,,-21.65,-50.00,,,,,,,
IncomeFinanceIncome_qq,,,,,,,,,,,,,,,,,,,,,,,-81.46,-100.00,,,,,,,,,,
IncomeFinanceIncome_sq,,,,,,,,,,,,,,,,,,,,,,,25.37,25.00,,,,,,,,,,
IncomeFinanceCosts,896000,1660000,1574000,1559000,1033000,1147000,1437000,1842000,1335000,2687000,8072000,4188000,6241000,9306000,10645000,13729000,14759000,19762000,11306000,14702000,15528000,14030000,12093000,27776000,14634000,17374000,15666000,15413000,11055000,10203000,9247000,7554000,6278000,9907000
