,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,10166000,22776000,9156000,11183000,14120000,25639000,12051000,17490000,11027000,36532000,12794000,14892000,28684000,35098000,15973000,21490000,19112000,36728000,16485000,25785000,22582000,33191000,16794000,15556000,20556000,26792000,12514000,21375000,17473000,25596000,11191000,11588000,13241000,32488000,13046000,13840000
IncomeRevenues_yy,,,,,38.89,12.57,31.62,56.40,-21.91,42.49,6.17,-14.85,160.13,-3.93,24.85,44.31,-33.37,4.65,3.20,19.98,18.15,-9.63,1.87,-39.67,-8.97,-19.28,-25.48,37.40,-14.99,-4.46,-10.57,-45.78,-24.22,26.93,16.58,19.43
IncomeRevenues_sy,,,,,24.80,17.55,15.38,20.53,14.60,4.28,12.14,1.88,4.36,6.83,8.34,16.27,13.21,10.10,9.54,9.18,6.23,15.50,10.84,11.06,14.46,3.86,2.60,3.77,1.73,2.72,11.63,7.72,5.74,7.43,6.40,10.37
IncomeRevenues_qq,,124.04,-59.80,22.14,26.26,81.58,-53.00,45.13,-36.95,231.30,-64.98,16.40,92.61,22.36,-54.49,34.54,-11.07,92.17,-55.12,56.42,-12.42,46.98,-49.40,-7.37,32.14,30.34,-53.29,70.81,-18.25,46.49,-56.28,3.55,14.26,145.36,-59.84,6.08
IncomeRevenues_sq,,33.22,-23.46,13.87,7.53,38.81,-34.28,7.69,3.15,34.82,-22.04,6.95,0.93,30.83,-19.51,5.10,1.22,27.00,-17.79,10.82,-3.36,27.56,-15.10,6.98,1.80,12.94,-15.04,9.31,0.12,24.36,-15.70,3.81,-7.71,25.36,-21.32,8.38
IncomeCostOfSales,,,,,,,,,31383000,32400000,10487000,12135000,23996000,29597000,12820000,18328000,15663000,30593000,13894000,22975000,18875000,28110000,14218000,13292000,17482000,22631000,10315000,18574000,15307000,24997000,9939000,10684000,11877000,29564000,11216000,11365000
IncomeCostOfSales_yy,,,,,,,,,,,,,-23.54,-8.65,22.25,51.04,-34.73,3.37,8.37,25.35,20.51,-8.12,2.34,-42.15,-7.38,-19.49,-27.45,39.74,-12.44,10.46,-3.65,-42.48,-22.41,18.27,12.85,6.38
IncomeCostOfSales_sy,,,,,,,,,,,,,7.29,-3.33,8.19,12.83,4.51,6.52,7.93,5.13,3.38,5.31,4.88,6.19,4.92,0.75,-6.31,1.94,-8.10,3.48,8.48,8.60,5.53,3.52,8.19,14.52
IncomeCostOfSales_qq,,,,,,,,,,3.24,-67.63,15.71,97.74,23.34,-56.68,42.97,-14.54,95.32,-54.59,65.36,-17.84,48.92,-49.42,-6.51,31.52,29.45,-54.42,80.07,-17.59,63.30,-60.24,7.49,11.16,148.93,-62.06,1.33
IncomeCostOfSales_sq,,,,,,,,,,24.82,-34.66,4.80,-0.51,28.34,-13.88,5.68,-2.85,31.92,-20.38,9.08,-4.66,25.87,-20.02,7.68,-0.54,21.38,-26.23,13.10,-3.26,30.97,-27.25,5.23,-0.23,23.45,-26.02,7.03
IncomeDistributionExpenses,,,,,,,,,5379000,1848000,1537000,1646000,1913000,2603000,1675000,2071000,2112000,2391000,1013000,1417000,1146000,1784000,1049000,1125000,1102000,1945000,1491000,1449000,1469000,1985000,1081000,1419000,1251000,1622000,1302000,1187000
IncomeDistributionExpenses_yy,,,,,,,,,,,,,-64.44,40.85,8.98,25.83,10.38,-8.15,-39.53,-31.56,-45.71,-25.38,3.57,-20.65,-3.89,9.03,42.09,28.87,33.29,2.03,-27.50,-2.12,-14.81,-18.27,20.42,-16.37
IncomeDistributionExpenses_sy,,,,,,,,,,,,,1.63,9.14,8.98,23.78,10.38,2.11,1.27,8.10,2.60,6.19,8.45,12.89,8.34,4.19,6.10,1.53,6.80,-2.40,5.31,-3.16,-7.62,-5.88,8.23,7.24
IncomeDistributionExpenses_qq,,,,,,,,,,-65.64,-16.83,7.09,16.22,36.07,-35.65,23.65,1.95,13.23,-57.63,39.93,-19.12,55.62,-41.19,7.20,-2.04,76.54,-23.36,-2.77,1.32,35.14,-45.54,31.26,-11.81,29.65,-19.76,-8.83
IncomeDistributionExpenses_sq,,,,,,,,,,19.56,-10.27,5.33,-1.88,29.42,-20.68,3.64,0.64,15.29,-15.59,12.78,-3.69,22.90,-17.59,5.58,-1.42,22.52,-18.29,4.84,0.78,21.77,-14.18,3.55,-8.98,24.26,-18.52,4.92
