,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,3682000,4604000,4001000,3354000,3971000,4146000,4180000,4126000,4219000,5196000,4570000,4939000,4190000,4101000,3681000,3881000,3369000,4232000,4152000,5341000,5463000,6004000,6427000,5472000,5243000,4657000,4407000,5534000,3631000,10370000,18696000,11692000,15919000,16797000,15442000,17807000,14687000,13757000,9342000,11205000,8860000,10467000,10812000,9352000,11705000,13002000,13175000,10699000
IncomeCostOfSales,1744000,2674000,2200000,1735000,2111000,2249000,2337000,2531000,2582000,3223000,2911000,3119000,3150000,2823000,2504000,2368000,2318000,2675000,2606000,3862000,4131000,4348000,4731000,3955000,3715000,3331000,3329000,4103000,2912000,7354000,15957000,9390000,13510000,14397000,12727000,15373000,12726000,12063000,7910000,8640000,6678000,8538000,8627000,7127000,9464000,10743000,10182000,8283000
IncomeDistributionExpenses,300000,323000,269000,276000,239000,468000,281000,386000,262000,251000,325000,245000,285000,325000,148000,233000,172000,369000,222000,347000,240000,394000,300000,320000,319000,289000,217000,297000,334000,430000,540000,621000,599000,659000,551000,536000,432000,583000,364000,454000,440000,326000,348000,425000,452000,696000,378000,531000
IncomeAdministrativExpenses,1046000,1046000,1119000,996000,1064000,1230000,1095000,1023000,987000,1416000,1119000,1141000,1135000,1168000,1016000,1163000,976000,1147000,999000,1134000,1080000,1389000,1155000,1114000,1113000,1357000,1146000,1218000,1180000,1726000,1399000,1299000,1425000,1705000,1382000,1241000,1224000,1490000,1358000,1399000,1296000,1387000,1341000,1519000,1292000,1917000,1473000,1572000
IncomeGrossProfit,592000,561000,413000,347000,557000,199000,467000,186000,388000,306000,215000,434000,-380000,-215000,13000,117000,-97000,41000,325000,-2000,12000,-127000,241000,83000,96000,-320000,-285000,-84000,-795000,860000,800000,382000,385000,36000,782000,657000,305000,-379000,-290000,712000,446000,216000,496000,282000,496000,-354000,1142000,313000
IncomeOtherOperatingIncome,-6000,465000,329000,87000,356000,69000,38000,14000,79000,55000,53000,9000,10000,121000,271000,32000,45000,82000,34000,41000,226000,46000,36000,58000,58000,49000,80000,238000,-13000,895000,40000,23000,353000,842000,14000,-198000,106000,635000,502000,69000,47000,385000,74000,-262000,25000,503000,20000,0
IncomeOtherOperatingCosts,-7000,26000,5000,88000,13000,81000,7000,36000,42000,171000,80000,134000,60000,358000,264000,45000,57000,233000,22000,24000,161000,116000,38000,65000,50000,-11000,3000,1000,9000,307000,50000,33000,57000,91000,5000,25000,53000,198000,283000,71000,7000,101000,17000,14000,5000,64000,103000,-63000
IncomeEBIT,593000,1000000,737000,346000,900000,187000,498000,164000,425000,190000,188000,309000,-430000,-452000,20000,104000,-109000,-110000,337000,15000,77000,-197000,239000,76000,104000,-260000,-208000,153000,-817000,1448000,790000,372000,681000,787000,791000,434000,358000,58000,-71000,710000,486000,500000,553000,6000,516000,85000,1059000,376000
IncomeFinanceIncome,3000,16000,10000,173000,139000,425000,323000,260000,193000,252000,305000,110000,164000,746000,203000,195000,144000,739000,244000,170000,187000,727000,94000,83000,78000,221000,79000,56000,17000,105000,21000,42000,19000,46000,47000,25000,60000,89000,17000,34000,69000,24000,12000,79000,191000,229000,36000,119000
IncomeFinanceCosts,61000,160000,95000,232000,124000,185000,115000,51000,1000,53000,142000,-4000,84000,60000,90000,42000,68000,43000,126000,66000,63000,80000,160000,91000,152000,96000,87000,112000,98000,312000,276000,341000,377000,814000,254000,337000,416000,526000,257000,313000,297000,279000,250000,325000,289000,291000,378000,-24000
IncomeOtherIncome,,-11000,-16000,-38000,59000,50000,91000,-24000,-172000,-21000,27000,-18000,-12000,-23000,-39000,-9000,12000,-15000,0,-18000,-21000,0,1000,3000,-3000,0,-3000,-3000,-3000,0,,0,-3000,0,,-3000,0,0,535000,845000,652000,271000,877000,486000,706000,373000,617000,389000
IncomeNetGrossProfit,401000,514000,-374000,62000,133000,236000,-6000,568000,443000,96000,162000,441000,185000,53000,30000,-132000,-234000,76000,-898000,1242000,538000,70000,323000,16000,584000,119000,5000,-382000,-311000,431000,258000,245000,312000,-240000,421000,20000,717000,519000,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535000,845000,652000,271000,877000,486000,706000,373000,617000,389000
IncomeBeforeTaxProfit,401000,514000,-374000,62000,133000,236000,-6000,568000,443000,96000,162000,441000,185000,53000,30000,-132000,-234000,76000,-898000,1242000,538000,70000,323000,16000,584000,119000,5000,-382000,-311000,431000,258000,245000,312000,-240000,421000,20000,717000,519000,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416000,526000,486000,294000,797000,385000,556000,293000,535000,296000
IncomeNetProfit,299000,438000,-312000,27000,104000,173000,-1000,453000,351000,90000,116000,347000,148000,79000,35000,-211000,-208000,116000,-796000,1090000,462000,80000,258000,-108000,408000,172000,90000,-467000,-269000,394000,233000,-245000,277000,-244000,349000,-15000,531000,520000,416000,526000,486000,294000,797000,385000,556000,293000,535000,296000
IncomeShareholderNetProfit,299000,438000,-312000,27000,104000,173000,-1000,453000,351000,90000,116000,347000,148000,79000,35000,-211000,-208000,116000,-796000,1090000,462000,80000,258000,-108000,408000,172000,90000,-467000,-269000,394000,233000,-245000,277000,-244000,349000,-15000,531000,520000,,,,,,,,,,
BalanceNoncurrentAssets,3652000,3624000,3247000,3089000,5105000,5630000,5501000,14008000,20045000,11662000,18575000,15382000,14772000,19714000,18878000,19916000,20166000,23424000,24268000,25492000,24659000,23559000,22805000,23593000,22698000,16767000,21566000,21559000,21338000,40739000,40135000,39668000,38854000,36956000,35887000,35644000,35031000,35116000,34605000,33600000,33522000,36037000,35963000,36059000,35124000,35629000,35953000,37521000
BalanceIntangibleAssets,20000,169000,167000,174000,173000,201000,198000,195000,192000,157000,193000,193000,176000,159000,243000,220000,231000,204000,226000,200000,200000,176000,147000,118000,92000,272000,240000,208000,284000,3040000,2983000,2935000,2888000,2686000,2683000,2613000,2553000,2452000,2408000,2364000,2320000,2139000,2104000,2081000,2068000,2234000,2254000,2229000
BalanceProperty,3133000,3163000,2851000,2713000,4808000,5286000,5165000,4988000,5226000,5042000,5034000,5059000,4900000,4596000,4361000,4126000,4539000,8229000,8318000,12583000,12481000,12614000,12503000,13988000,13755000,13612000,20193000,20286000,20059000,37245000,36665000,36183000,35474000,33758000,32655000,32442000,31943000,32089000,31574000,30589000,30543000,32722000,32704000,32751000,31906000,32204000,32347000,33990000
BalanceNoncurrentReceivables,,,,,,,,2000,2000,7004000,8640000,8280000,7740000,7200000,8520000,8490000,8460000,8430000,8400000,8030000,7490000,6950000,6410000,5870000,0,0,0,147000,147000,147000,147000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,110000,147000,110000,1000,1000
BalanceNoncurrInvestments,4000,,8700000,14500000,6247000,6200000,1340000,1280000,7020000,6870000,6870000,6750000,6336000,7084000,4110000,3783000,3080000,2990000,2900000,2810000,2720000,960000,900000,840000,0,0,0,0,60000,60000,60000,60000,9000,9000,8000,8000,7000,7000,7000,498000,291000,229000,198000,124000,143000,138000,123000,125000
BalanceOtherNoncurrentAssets,216000,144000,150000,136000,199000,204000,180000,156000,195000,210000,199000,165000,199000,215000,177000,171000,163000,173000,165000,155000,307000,340000,403000,345000,402000,439000,479000,425000,405000,453000,477000,489000,1057000,1036000,1109000,1032000,1074000,1198000,1185000,10013000,12267000,13020000,13625000,27765000,28380000,28861000,20515000,14294000
