,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3
IncomeRevenues,23044000,20762000,24875000,38447000,25665000,25360000,29582000,42493000,35764000,29646000,29310000,44651000,24701000,24516000,20623000,34543000,17792000,17018000,27816000,36711000,13203000,1270000,3978000,9233000,515000,-2656000,718000,4590000,2488000,546000,496000,1218000,270000,275000,272000,286000,273000,266000,324000,190000,228000,229000,223000,156000,65000,171000,6000
IncomeRevenues_yy,,,,,11.37,22.15,18.92,10.52,39.35,16.90,-0.92,5.08,-30.93,-17.30,-29.64,-22.64,-27.97,-30.58,34.88,6.28,-52.53,-96.54,,,-96.10,-309.13,-81.95,-50.29,383.11,120.56,-80.06,123.08,,,,,1.11,-3.27,19.12,-33.57,-16.48,-13.91,-31.17,-17.89,-71.49,-25.33,-97.31
IncomeRevenues_sy,,,,,11.37,25.06,20.88,54.37,72.74,40.22,49.59,35.60,22.38,20.50,24.13,9.96,4.73,10.39,2.92,0.90,13.13,9.07,,,3.42,13.32,12.09,12.84,18.92,16.33,6.00,8.05,,,,,15.27,11.03,12.22,10.94,3.71,2.71,13.28,3.30,0.28,5.47,-49.93
IncomeRevenues_qq,,-9.90,19.81,54.56,-33.25,-1.19,16.65,43.64,-15.84,-17.11,-1.13,52.34,-44.68,-0.75,-15.88,67.50,-48.49,-4.35,63.45,31.98,,-90.38,213.23,132.10,-94.42,-615.73,127.03,539.28,-45.80,-78.05,,145.56,,1.85,-1.09,5.15,-4.55,-2.56,21.80,-41.36,20.00,0.44,-2.62,-30.04,-58.33,163.08,-96.49
IncomeRevenues_sq,,10.90,9.81,14.16,-27.92,12.75,16.65,41.24,-2.34,12.24,8.54,24.60,-19.51,5.44,10.45,16.36,-19.17,5.72,-6.50,20.86,,9.67,-18.97,22.45,2.72,23.39,-14.84,11.77,3.64,8.09,,15.10,,18.01,-2.16,16.32,-13.90,16.79,-2.37,7.05,-14.88,17.54,-0.20,14.40,-22.04,19.66,-52.00
IncomeCostOfSales,20362000,18723000,22298000,34338000,22557000,21439000,26307000,39291000,30375000,24467000,24613000,38471000,20829000,19216000,19153000,32341000,16703000,15320000,25210000,32989000,11861000,213000,423000,6719000,0,524000,,,,8281000,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,10.78,14.51,17.98,14.42,34.66,14.12,-6.44,-2.09,-31.43,-21.46,-22.18,-15.93,-19.81,-20.27,31.62,2.00,-52.95,-99.35,,,-100.00,146.01,-100.00,-100.00,,1480.34,,-100.00,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,11.20,17.76,22.72,46.94,56.58,31.87,55.53,24.74,21.93,39.58,22.12,23.29,16.84,12.88,7.38,-4.50,11.60,0.45,,,-6.46,16.39,8.54,17.02,,19.62,,1.74,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,-8.05,19.09,54.00,-34.31,-4.96,22.71,49.36,-22.69,-19.45,0.60,56.30,-45.86,-7.74,-0.33,68.86,-48.35,-8.28,64.56,30.86,,-98.20,98.59,1488.42,-100.00,,-100.00,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,-0.38,20.47,9.88,-15.07,-4.80,22.71,29.06,3.63,-11.64,18.64,11.08,-11.42,-8.06,11.12,3.32,-6.07,-3.22,1.75,21.02,,-7.14,-5.22,-5.69,7.60,,-4.62,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,9967000,,5494000,2519000,3077000,3625000,3704000,3329000,3671000,3424000,3165000,2786000,2963000,2796000,3057000,3021000,3458000,1803000,0,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,-69.13,,-32.58,32.16,19.30,-5.54,-14.55,-16.31,-19.29,-18.34,-3.41,8.44,16.71,-40.32,-100.00,,,-100.00,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,51.54,,47.25,76.06,56.63,42.37,50.44,37.04,36.84,39.52,17.54,17.95,2.44,8.40,7.88,,,6.90,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,-100.00,,-54.15,22.15,17.81,2.18,-10.12,10.27,-6.73,-7.56,-11.97,6.35,-5.64,9.33,-1.18,14.47,,-100.00,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,-11.38,,5.01,53.65,-0.01,10.66,10.25,31.16,-6.70,17.68,-3.19,30.56,-8.74,7.58,-6.94,13.91,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,3491000,,1737000,976000,1066000,1497000,1292000,1618000,1337000,1125000,1396000,1249000,1799000,1206000,1517000,1400000,1335000,3801000,1740000,1960000,1898000,2031000,744000,,,,6473000,,,,,,,,,,,,,,,,,
