,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,-7587000,7587000,4786000,7414000,7606000,10297000,7391000,13359000,12054000,20648000,14452000,19493000,24046000,33984000,24149000,28594000,26568000,28639000,38983000,38046000,52951000,66492000,49808000,61603000,-17727000,37400000,29871000,36619000,30477000,-64788000,45020000,-37135000,2891000,2353000,2976000,2176000,2227000,2930000,2894000,2392000
IncomeRevenues_yy,,,,,200.25,35.72,54.43,80.19,58.48,100.52,95.54,45.92,99.49,64.59,67.10,46.69,10.49,-15.73,61.43,33.06,99.30,132.17,27.77,61.92,-133.48,-43.75,-40.03,-40.56,271.92,-273.23,50.71,-201.41,-90.51,103.63,-93.39,105.86,-22.97,24.52,-2.76,9.93
IncomeRevenues_sy,,,,,-13.29,-1.11,-7.62,24.26,15.86,12.88,16.48,8.99,20.57,31.73,10.78,11.50,7.07,4.42,15.79,-0.16,9.91,4.61,10.10,26.62,9.01,6.98,18.23,8.12,13.91,6.07,16.81,-1.21,4.49,17.49,4.33,8.28,4.27,1.74,-2.76,8.68
IncomeRevenues_qq,,200.00,-36.92,54.91,2.59,35.38,-28.22,80.75,-9.77,71.30,-30.01,34.88,23.36,41.33,-28.94,18.41,-7.09,7.80,36.12,-2.40,39.18,25.57,-25.09,23.68,-128.78,310.98,-20.13,22.59,-16.77,-312.58,169.49,-182.49,107.79,-18.61,26.48,-26.88,2.34,31.57,-1.23,-17.35
IncomeRevenues_sq,,30.07,-36.92,7.72,-8.36,35.38,-15.36,12.63,-5.42,25.96,-13.19,6.44,4.12,28.34,-25.43,12.43,-7.30,17.28,-13.86,4.88,-11.84,24.07,-15.56,23.68,-4.91,21.64,-10.12,21.68,-9.91,30.44,-17.50,9.12,-5.69,19.41,-15.79,3.40,-3.20,23.12,-17.45,11.61
IncomeCostOfSales,,7777000,3662000,5156000,,22284000,6084000,9049000,9352000,15882000,11360000,14327000,18917000,22685000,19197000,22524000,21174000,22432000,33997000,31830000,44381000,54807000,42520000,51285000,-7860000,31015000,24600000,35147000,27170000,-56879000,34109000,-28036000,1745000,5856000,2515000,1982000,1261000,2242000,2118000,1901000
IncomeCostOfSales_yy,,,,,,186.54,66.14,75.50,,-28.73,86.72,58.33,102.28,42.83,68.99,57.21,11.93,-1.12,77.10,41.32,109.60,144.33,25.07,61.12,-117.71,-43.41,-42.14,-31.47,445.67,-283.39,38.65,-179.77,-93.58,110.30,-92.63,107.07,-27.74,-61.71,-15.79,-4.09
IncomeCostOfSales_sy,,,,,,-7.53,12.06,19.25,,6.03,9.00,2.34,22.62,30.44,3.22,3.80,3.41,-3.00,10.85,1.17,-1.46,-2.72,6.22,-5.17,-6.56,-4.30,-6.78,9.56,2.20,10.21,10.36,-0.86,4.67,22.18,-1.68,9.22,-2.52,-6.60,-4.56,4.28
IncomeCostOfSales_qq,,,-52.91,40.80,-100.00,,-72.70,48.73,3.35,69.82,-28.47,26.12,32.04,19.92,-15.38,17.33,-5.99,5.94,51.56,-6.37,39.43,23.49,-22.42,20.61,-115.33,494.59,-20.68,42.87,-22.70,-309.34,159.97,-182.20,106.22,235.59,-57.05,-21.19,-36.38,77.80,-5.53,-10.25
IncomeCostOfSales_sq,,,-48.22,6.19,-13.41,,-12.54,21.03,-1.01,35.08,-15.54,16.16,-2.12,20.40,-17.63,7.47,-3.52,6.05,-15.02,0.08,-1.14,3.36,-11.56,8.34,-8.06,23.16,-18.75,23.04,-8.38,22.81,-12.13,5.24,-2.34,27.63,-20.56,-0.74,-4.68,30.71,-14.52,-9.44
