,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,28099000,26444000,46630000,53501000,36159000,42181000,40309000,51892000,40292000,44335000,41867000,53303000,41255000,41796000,39632000,48723000,38434000,42684000,43795000,51933000,41487000,47692000,47967000,52059000,49346000,82183000
IncomeCostOfSales,,,99537000,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,2124000,1619000,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,2205000,69000,-638000,6670000,2033000
IncomeGrossProfit,4326000,1989000,4240000,2795000,3621000,1756000,3443000,2113000,3178000,1726000,4182000,2158000,3298000,1592000,1753000,2413000,1685000,2699000,749000,2752000,2788000,,,13000,-364000,22000
IncomeOtherOperatingIncome,197000,154000,527000,1000,84000,251000,87000,26000,45000,166000,30000,50000,-20000,297000,341000,50000,54000,120000,227000,30000,572000,,,56000,44000,445000
IncomeOtherOperatingCosts,341000,-196000,6031000,187000,269000,406000,448000,74000,96000,57000,414000,58000,109000,156000,562000,109000,126000,76000,316000,108000,1373000,,,1593000,6261000,1609000
IncomeEBIT,4183000,2339000,-1264000,2609000,3436000,1601000,3082000,2065000,3127000,1835000,3798000,2150000,3169000,1733000,1532000,2354000,1613000,2743000,660000,2674000,1987000,,,904000,-452000,1000
IncomeFinanceIncome,3000,1000,107000,4000,9000,14000,71000,1000,1000,76000,-57000,58000,-48000,13000,22000,50000,53000,24000,61000,136000,,,670000,250000,248000,340000
IncomeFinanceCosts,299000,450000,215000,233000,238000,404000,269000,252000,83000,224000,188000,312000,115000,176000,171000,177000,156000,199000,221000,388000,,,,-3370000,100000,-1945000
IncomeOtherIncome,-952000,,,,,,,,,,,,,,,,1737000,-256000,346000,2189000,1462000,1901000,1089000,1191000,2398000,3212000
IncomeNetGrossProfit,1377000,2749000,1797000,2876000,1828000,3517000,1962000,2915000,1570000,1369000,2205000,1486000,2640000,485000,2514000,1735000,,,,,,,,,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,1737000,-256000,346000,2189000,1462000,1901000,1089000,1191000,2398000,3212000
IncomeBeforeTaxProfit,1377000,2749000,1797000,2876000,1828000,3517000,1962000,2915000,1570000,1369000,2205000,1486000,2640000,485000,2514000,1735000,,,,,,,,,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,1377000,-280000,436000,1383000,548000,1047000,337000,-15000,1488000,2292000
IncomeNetProfit,877000,1946000,1105000,1899000,1136000,2452000,1175000,1988000,863000,599000,1473000,591000,1729000,81000,1349000,1730000,1377000,-280000,446000,1373000,548000,1047000,337000,-15000,1488000,2292000
IncomeShareholderNetProfit,877000,1946000,1105000,1899000,1136000,2452000,1175000,1988000,863000,599000,1473000,591000,1729000,81000,1357000,1855000,,,,,,,,,,
BalanceNoncurrentAssets,,,74722000,75242000,71782000,71875000,70968000,71965000,68885000,72197000,72144000,72066000,71274000,72225000,72087000,72044000,71791000,72327000,72477000,72699000,71812000,71986000,72309000,72142000,72631000,147059000
BalanceIntangibleAssets,,,72322000,72790000,70018000,70090000,68568000,69575000,66675000,69552000,69527000,69711000,68922000,69324000,69455000,69494000,69464000,70070000,69523000,70065000,69183000,69273000,69539000,68940000,69487000,132635000
BalanceProperty,,,2319000,2073000,1389000,1488000,1916000,1960000,1622000,1935000,1852000,1835000,1851000,2402000,2137000,2048000,2030000,1808000,2482000,2126000,2105000,2086000,2081000,2072000,1837000,5659000
BalanceNoncurrentReceivables,,,19000,2000,52000,56000,54000,57000,,,,,,,,,,,,,,,,,,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,,,,,,,62000,377000
BalanceOtherNoncurrentAssets,323000,240000,430000,430000,530000,710000,765000,520000,501000,499000,495000,502000,297000,449000,472000,508000,524000,627000,689000,1130000,1307000,8765000,,,55177000,52388000
BalanceCurrentAssets,42005000,49421000,45109000,55687000,47031000,49328000,48028000,62754000,52264000,50688000,48649000,61472000,62062000,63610000,65980000,71196000,68611000,63330000,64363000,74533000,80306000,150533000,,,54000,54000
BalanceInventory,54000,54000,54000,54000,,,,,,,,,,,,,,,,,53152000,49765000,39599000,47477000,41663000,52595000
BalanceCurrentReceivables,44658000,46415000,45503000,59520000,48946000,47109000,45097000,50525000,46622000,52776000,55081000,63103000,52834000,56155000,60888000,67447000,68601000,100257000,,,1789000,0,2201000,1745000,2680000,1414000
BalanceCurrentInvestments,,,,,,,,,,,,,,,,,,1709000,,,2461000,2097000,1526000,2553000,3049000,3269000
BalanceCash,3137000,10566000,15103000,10448000,10566000,7921000,15531000,6891000,3243000,6919000,11461000,24540000,,,182000,860000,152000,146000,713000,631000,905000,816000,999000,681000,269000,310000
BalanceOtherCurrentAssets,415000,381000,337000,386000,333000,172000,246000,284000,232000,167000,244000,25736000,,,,,,,,,,,,,,
BalanceAssetsForSale,,,,,,,,,,,,,88752000,139078000,129899000,127630000,113787000,121296000,116077000,127652000,115916000,121525000,120172000,134820000,123538000,122913000
BalanceTotalAssets,120736000,133516000,133853000,135937000,138457000,143895000,140423000,135316000,136672000,146675000,152937000,297592000,57720000,56801000,56595000,61490000,68211000,72496000,72345000,75601000,72682000,79473000,80419000,82826000,83103000,85500000
BalanceCapital,86887000,85291000,86493000,89353000,89589000,90865000,91048000,88342000,90545000,89683000,91256000,94281000,,,53756000,53756000,59053000,59053000,59053000,59053000,59053000,59053000,59053000,59053000,59053000,59053000
BalanceShareCapital,59053000,59053000,59053000,57020000,57020000,57020000,57020000,57020000,57020000,57020000,57020000,57020000,,,,,,,,,,,,,,
BalanceOwnShares,,-4190000,-4190000,,,,,,,,,1277000,3882000,8312000,15109000,11877000,8333000,10533000,-52000,17000,478000,-410000,4096000,4347000,4489000,4516000
BalanceReserve,3545000,2919000,3595000,2305000,2718000,3192000,2249000,2181000,3351000,,,4000,10000,,,,,,,,,,,,,
BalanceNonshareCapital,,,,,-3000,-13193000,3312000,12172000,7332000,2423000,4293000,4281000,4633000,810000,2787000,1377000,1553000,1270000,1449000,2076000,2104000,7724000,7761000,7635000,8311000,7830000
BalanceNoncurrentLiabilities,7037000,6515000,6434000,5883000,5407000,51475000,,,5962000,,,,,,,,,,,,,,,,,
BalanceNoncurrentTradeLiabilities,,,,,,,,2423000,3377000,3377000,3740000,776000,868000,1343000,1524000,1263000,1441000,2071000,2071000,7717000,7760000,7632000,8308000,7827000,7032000,6510000
BalanceNoncurrentBorrowings,6429000,5876000,5400000,45527000,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceNoncurrentLeasing,,,,,,,1370000,916000,904000,892000,34000,1920000,34000,29000,7000,8000,5000,33000,7000,1000,3000,3000,3000,5000,5000,5000
BalanceNoncurrentOtherLiabilities,7000,7000,5948000,27720000,70105000,65511000,63707000,41283000,44519000,39100000,51241000,40447000,40675000,38200000,50724000,38986000,35337000,31745000,40501000,39599000,38949000,40557000,45200000,42338000,40459000,39693000
BalanceCurrentLiabilities,51109000,56277000,165029000,,,65511000,21199000,43328000,36880000,24884000,18592000,16845000,26937000,23416000,21293000,19122000,22794000,23915000,21502000,22979000,31542000,33755000,26595000,25969000,23799000,30329000
BalanceCurrentTradePayablesv,53896000,,,,19273000,,,18094000,13141000,14368000,17723000,9956000,8610000,7296000,5874000,5278000,5555000,5480000,4638000,958000,4365000,4689000,14661000,7305000,34258000,
BalanceCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentObligations,,,,,,,,,,,,,,,,,,,,,,,,,,
BalanceCurrentLeasing,,,23129000,41261000,1170000,2195000,8263000,40427000,8942000,6987000,6064000,5614000,5434000,5327000,11833000,10406000,11892000,12098000,9020000,7625000,9499000,9035000,12649000,18643000,76875000,
BalanceCurrentOtherLiabilities,,,107000,22000,21000,25000,20000,,,,,,,,,,,,,,,88752000,139078000,129442000,127630000,113787000
BalanceReckoning,121296000,116077000,127652000,115916000,121525000,120172000,134820000,123538000,122913000,120736000,133516000,133853000,135937000,138457000,143895000,140423000,135316000,136672000,146675000,152937000,297592000,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,
CashflowOperatingCashflow,,,1543000,-13947000,2087000,-1279000,4791000,1721000,6330000,-1821000,-1148000,-395000,7623000,2266000,922000,3913000,5566000,-7112000,3024000,4621000,12172000,-7335000,-2022000,-6422000,12073000,-1119000
CashflowAmortization,,,,848000,,,861000,224000,196000,255000,261000,271000,286000,314000,335000,310000,298000,310000,17000,170000,253000,181000,309000,208000,421000,
CashflowInvestingCashflow,,-20217000,19704000,660000,-1361000,-86000,-503000,-6000,-134000,7000,-312000,-27000,13000,-13000,-39000,-64000,-38000,281000,-204000,27000,-112000,-23000,-38000,405000,-81888000,
CashflowCapex,,,534000,0,701000,86000,653000,10000,130000,8000,297000,27000,22000,17000,39000,64000,48000,-23000,44000,46000,167000,81000,47000,56000,381000,
CashflowFinancingCashflow,,16955000,-3098000,-2256000,2183000,-3770000,-1159000,-6856000,2322000,570000,1503000,-6266000,-2224000,-1056000,2805000,-883000,2012000,-2840000,-7205000,-4093000,-1386000,-1669000,10294000,-7958000,95804000,
CashflowShareCapitalCash,,,15131000,,,,,,,,,,,,,,,,,,,,38338000,,,
CashflowDividend,,,,,,,,,,,,,,,,,,,,3421000,0,,,,,1021000
CashflowNetCashflow,-80000,492000,-456000,935000,60000,-532000,367000,-571000,796000,1330000,55000,-147000,6679000,4619000,-5138000,465000,-2788000,8106000,-8833000,-3714000,3834000,4520000,12797000,,,
