,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,21293000,22867000,23289000,22167000,23518000,23108000,24137000,24045000,27152000,27452000,28103000,26050000,26638000,21300000,22975000,20445000,23618000,33995000,23220000,24325000,24645000,28121000,27723000,34842000
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,13353000,12616000,13246000,14296000,14783000,9865000,14147000,14644000,17266000,16285000,18162000,16689000,16874000,7459000,11800000,10258000,11768000,12532000,11581000,11397000,12629000,12171000,14009000,17195000
IncomeOtherOperatingIncome,-33309000,33163000,16465000,87482000,-24150000,-12147000,1227000,27946000,3246000,15646000,-35785000,32876000,3601000,22660000,-358000,29125000,-18725000,49538000,-38572000,36566000,19395000,-8529000,1992000,40704000
IncomeOtherOperatingCosts,133000,580000,288000,602000,72000,600000,1000000,97000,211000,2857000,37000,81000,547000,336000,131000,1531000,385000,1539000,1108000,1101000,1333000,-2060000,2100000,242000
IncomeEBIT,-20089000,45199000,29423000,101176000,-9439000,-2882000,14374000,42493000,20301000,29074000,-17660000,49484000,19928000,29783000,11311000,37852000,-7342000,60531000,-28099000,46862000,30691000,5702000,13901000,57657000
IncomeFinanceIncome,10671000,3090000,268000,1309000,1882000,-1203000,738000,1018000,897000,1751000,17111000,-6390000,-4507000,918000,2407000,-725000,432000,2712000,12462000,-919000,-5768000,10887000,315000,305000
IncomeFinanceCosts,5659000,7856000,12966000,59061000,-5928000,-3538000,8256000,5135000,7431000,14315000,3504000,7077000,5925000,22199000,3658000,9854000,-2183000,8750000,3896000,3148000,4519000,4028000,7140000,20664000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetGrossProfit,-15077000,40433000,16725000,43424000,-1629000,-547000,6856000,38376000,13767000,16510000,-4053000,36017000,9496000,8502000,10060000,27273000,-4727000,54493000,-19533000,42795000,20404000,12561000,7076000,37298000
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-15077000,40433000,16725000,43424000,-1629000,-547000,6856000,38376000,13767000,16510000,-4053000,36017000,9496000,8502000,10060000,27273000,-4727000,54493000,-19533000,42795000,20404000,12561000,7076000,37298000
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,
IncomeNetProfit,-12437000,31052000,12489000,44693000,-2167000,1593000,872000,29169000,11537000,13191000,154000,29473000,34523000,10478000,3945000,22271000,-3550000,43749000,-15886000,35766000,16704000,10703000,4265000,27217000
IncomeShareholderNetProfit,-12437000,31052000,12489000,44693000,-2167000,1593000,872000,29169000,11537000,13191000,154000,29473000,34523000,10478000,3945000,22271000,-3550000,43749000,-15886000,35766000,16704000,10703000,4265000,27217000
BalanceNoncurrentAssets,,959802000,937976000,929861000,943817000,961333000,1007724000,1023091000,1053501000,1027295000,1064764000,769640000,934348000,943144000,963906000,945825000,1042700000,1035239000,1148876000,1212755000,1240954000,1265349000,1403219000,
BalanceIntangibleAssets,19000,22000,20000,23000,19000,19000,13000,10000,8000,10000,6000,5000,4000,3000,2000,20000,557000,617000,683000,738000,764000,802000,,940815000
BalanceProperty,924675000,910755000,931205000,948667000,994535000,1009929000,1046828000,1018701000,1055869000,756685000,846072000,858925000,892858000,875273000,969484000,961417000,1076198000,1137687000,1163578000,1190465000,1328985000,,6000,
BalanceNoncurrentReceivables,,,,,,,,,,,,,,,,,,,,,,,3120000,
BalanceNoncurrInvestments,,,,,,,,,,,,,,,,,,,18962000,10159000,19086000,12589000,12647000,13170000
