,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4
IncomeRevenues,5923000,6567000,7194000,7311000,6091000,5760000,13504000,24576000,16110000,22275000,23627000,38237000,27352000,35388000,51575000,51808000,31054000,35874000,27371000,37845000,27126000,40877000,38435000,54694000,32476000,67974000,51695000,58359000,40553000,70833000,56052000,59055000,42342000,63558000,58971000,55786000,32991000,47417000,44911000,18054000
IncomeCostOfSales,4648000,5235000,5858000,6733000,5040000,4741000,12473000,23247000,14145000,20632000,21221000,36292000,24895000,30822000,47837000,46619000,27959000,32839000,24154000,33187000,23917000,37998000,33374000,48550000,28652000,60851000,46302000,50053000,34682000,64733000,48603000,53594000,38204000,60122000,54772000,47252000,29737000,43618000,40003000,36173000
IncomeDistributionExpenses,211000,245000,234000,235000,270000,222000,241000,169000,454000,506000,482000,695000,415000,1100000,556000,1022000,613000,750000,507000,2720000,743000,805000,610000,712000,725000,645000,1080000,354000,739000,1378000,1315000,3020000,725000,-1233000,498000,506000,697000,570000,754000,547000
IncomeAdministrativExpenses,658000,658000,635000,600000,666000,660000,606000,1172000,1086000,1033000,1097000,1978000,1725000,2151000,1940000,3143000,2045000,2010000,1882000,2554000,2115000,2009000,2361000,3045000,2687000,3565000,3224000,3335000,2915000,3595000,3252000,4053000,3727000,4394000,3357000,3876000,2766000,2885000,2780000,2940000
IncomeGrossProfit,406000,429000,467000,-257000,115000,137000,184000,-12000,425000,104000,827000,-728000,317000,1315000,1242000,1024000,437000,275000,828000,-616000,351000,65000,2090000,2388000,412000,2913000,1089000,4618000,2217000,1127000,2882000,-1613000,-314000,275000,344000,4152000,-209000,344000,1374000,-21606000
IncomeOtherOperatingIncome,39000,290000,46000,-7000,5000,9000,10000,47000,26000,51000,25000,134000,102000,-30000,355000,94000,142000,110000,29000,-60000,59000,690000,101000,546000,1265000,449000,216000,54000,70000,287000,55000,1887000,2099000,-1916000,78000,218000,124000,3604000,68000,411000
IncomeOtherOperatingCosts,16000,66000,4000,249000,3000,151000,8000,-82000,2000,65000,47000,322000,80000,76000,92000,300000,95000,60000,22000,405000,57000,225000,-66000,1334000,1234000,191000,201000,1777000,207000,128000,176000,1962000,2171000,-1989000,91000,354000,268000,242000,206000,29364000
IncomeEBIT,429000,653000,509000,-513000,117000,-5000,186000,117000,449000,90000,805000,-916000,339000,1209000,1505000,818000,484000,325000,835000,-1081000,353000,530000,2257000,1600000,443000,3171000,1104000,2895000,2080000,1286000,2761000,-1688000,-386000,348000,331000,4017000,-353000,3706000,1236000,-50559000
IncomeFinanceIncome,6000,35000,79000,74000,58000,57000,33000,13000,59000,66000,49000,227000,76000,148000,110000,129000,54000,59000,-6000,42000,45000,160000,82000,208000,80000,79000,36000,587000,19000,138000,16000,137000,10000,1425000,340000,2737000,565000,526000,557000,1252000
IncomeFinanceCosts,3000,2000,0,10000,1000,0,0,90000,43000,-17000,19000,141000,70000,113000,73000,87000,183000,142000,325000,176000,258000,330000,358000,468000,402000,438000,589000,806000,838000,350000,711000,1147000,961000,1569000,1196000,894000,1235000,1160000,1271000,36379000
IncomeOtherIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73000,0,185000,62000,104000,62000,71000,69000,78000,432000,686000
IncomeNetGrossProfit,588000,-449000,174000,52000,219000,40000,465000,173000,835000,-830000,345000,1244000,1542000,860000,355000,242000,504000,-1215000,140000,360000,1981000,1340000,121000,2812000,551000,2676000,1261000,1147000,2066000,-2513000,-1275000,308000,-463000,5631000,-952000,3141000,600000,-85905000,,
IncomeExtraordinarProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432000,686000
IncomeBeforeTaxProfit,588000,-449000,174000,52000,219000,40000,465000,173000,835000,-830000,345000,1244000,1542000,860000,355000,242000,504000,-1215000,140000,360000,1981000,1340000,121000,2812000,551000,2676000,1261000,1147000,2066000,-2513000,-1275000,308000,-463000,5631000,-952000,3141000,600000,-85905000,,
IncomeDiscontinuedProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,357000,554000
IncomeNetProfit,513000,-460000,174000,-142000,289000,-88000,521000,337000,662000,-838000,250000,970000,1205000,558000,289000,-215000,517000,-846000,133000,7000,1716000,701000,-179000,2416000,1190000,2153000,936000,1096000,1475000,-2595000,-1364000,55000,-852000,4467000,-1025000,2508000,252000,-83668000,357000,554000
IncomeShareholderNetProfit,513000,-460000,174000,-142000,289000,-88000,521000,337000,662000,-838000,250000,970000,1205000,558000,289000,-215000,453000,-918000,215000,155000,1684000,881000,33000,1769000,1128000,1171000,837000,1164000,1418000,-1494000,-760000,514000,3000,2351000,-957000,2586000,158000,-83876000,,
