,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,7188000,12717000,4808000,,26057000,18214000,4770000,9125000,12152000,15884000,10420000,15496000,14982000,21443000,9443000,15152000,16454000,23597000,7836000,23064000,12808000,15821000,9137000,8750000,9156000,14316000,7176000,13341000,20150000,11729000,5063000,16265000,11889000,10666000,12695000,21468000,23769000,-52736000,791000,-421000,2992000,612000,617000,-375000
IncomeRevenues_yy,,,,,262.51,43.23,-0.79,,-53.36,-12.79,118.45,69.82,23.29,35.00,-9.38,-2.22,9.83,10.05,-17.02,52.22,-22.16,-32.95,16.60,-62.06,-28.51,-9.52,-21.46,52.46,120.07,-18.07,-29.44,21.92,-41.00,-9.06,150.72,31.99,99.93,-594.42,-93.77,-101.96,-87.41,101.16,-21.99,11.04
IncomeRevenues_sy,,,,,21.63,7.02,1.02,,-0.43,6.06,12.72,25.43,8.86,19.42,6.14,13.96,14.37,9.16,13.89,10.85,3.12,9.90,4.68,9.87,8.11,14.70,10.97,14.47,16.92,7.31,8.46,7.60,8.43,8.35,12.46,10.94,9.72,7.20,12.39,11.06,12.57,13.14,7.74,14.42
IncomeRevenues_qq,,76.92,-62.19,-100.00,,-30.10,-73.81,91.30,33.17,30.71,-34.40,48.71,-3.32,43.13,-55.96,60.46,8.59,43.41,-66.79,194.33,-44.47,23.52,-42.25,-4.23,4.64,56.35,-49.87,85.90,51.04,-41.79,-56.83,221.23,-26.91,-10.28,19.02,69.11,10.72,-321.87,101.50,-153.20,810.71,-79.54,0.82,-160.67
IncomeRevenues_sq,,19.62,-6.52,1.27,,5.45,-4.13,2.05,4.28,1.59,-2.03,7.83,0.15,5.94,-13.58,7.40,4.58,5.29,-7.22,5.74,-0.74,3.95,-14.07,12.16,2.66,10.72,-5.10,9.18,3.00,5.59,-7.96,12.18,-0.32,7.94,-6.38,7.48,0.24,5.31,-1.71,4.43,2.23,6.21,-1.39,4.50
IncomeCostOfSales,4937000,8002000,4028000,7696000,7037000,11768000,4392000,6908000,7807000,12325000,8223000,12556000,11322000,16224000,8580000,11973000,12751000,16841000,5765000,17333000,10085000,10754000,6346000,5597000,6435000,12939000,3525000,7658000,10344000,5412000,4221000,10909000,8323000,-5071000,8894000,12822000,15756000,-32956000,730000,,3139000,464000,575000,
IncomeCostOfSales_yy,,,,,42.54,47.06,9.04,-10.24,10.94,4.73,87.23,81.76,45.02,31.63,4.34,-4.64,12.62,3.80,-32.81,44.77,-20.91,-36.14,10.08,-67.71,-36.20,20.32,-44.46,36.82,60.76,-58.17,19.75,42.46,-19.54,-193.69,110.70,17.53,89.30,-549.88,-91.79,-100.00,-80.08,101.41,-21.29,
IncomeCostOfSales_sy,,,,,20.64,6.09,-9.53,-1.30,25.16,6.15,12.54,35.08,4.99,11.30,4.68,-2.33,18.08,3.80,20.58,18.66,-5.50,-1.40,2.31,4.74,3.30,3.08,6.28,12.98,12.67,6.69,9.95,8.54,7.58,6.72,10.16,2.30,9.02,-5.88,24.50,6.83,22.45,24.04,7.06,
IncomeCostOfSales_qq,,62.08,-49.66,91.06,-8.56,67.23,-62.68,57.29,13.01,57.87,-33.28,52.69,-9.83,43.30,-47.12,39.55,6.50,32.08,-65.77,200.66,-41.82,6.63,-40.99,-11.80,14.96,101.08,-72.76,117.25,35.08,-47.68,-22.01,158.45,-23.70,-160.93,275.38,44.17,22.88,-309.16,102.22,-100.00,,-85.20,23.71,-100.00
IncomeCostOfSales_sq,,13.00,2.14,-0.72,0.19,14.94,-16.41,-2.00,2.10,16.75,-13.60,21.37,-9.14,11.05,-12.17,5.62,6.01,1.96,-4.29,11.20,-2.30,7.06,-12.56,4.54,,8.28,-4.89,12.79,1.42,3.43,-9.14,12.36,-0.44,2.34,-8.21,9.19,-5.61,,6.31,4.96,,1.47,-2.64,2.09
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1088000,2049000,1543000,,1359000,1245000,1721000,-3992000,20000,,58000,14000,13000,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.87,-39.21,11.58,,-98.51,-100.00,-96.61,100.35,-34.22,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.04,-16.92,3.84,,-2.35,19.68,22.84,10.30,-5.88,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.31,-24.71,-100.00,,-8.34,38.22,-331.91,100.51,-100.00,,-76.01,-5.05,-100.00
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.84,-5.45,6.11,,-0.34,-7.29,2.06,1.11,14.04,,1.46,-2.07,18.18
IncomeAdministrativExpenses,1498000,1388000,1955000,1826000,1484000,2124000,2227000,2194000,2374000,3343000,2457000,2857000,3076000,3988000,2952000,3632000,3153000,4239000,3321000,3490000,3120000,4509000,3372000,3766000,3661000,6219000,4323000,5848000,6751000,6637000,4494000,2419000,2746000,22971000,3473000,2869000,3877000,-5180000,1650000,4114000,1089000,1118000,1432000,841000
IncomeAdministrativExpenses_yy,,,,,-0.93,53.03,13.91,20.15,59.97,57.39,10.33,30.22,29.57,19.29,20.15,27.13,2.50,6.29,12.50,-3.91,-1.05,6.37,1.54,7.91,17.34,37.93,28.21,55.30,84.39,6.71,3.94,-58.65,-59.32,246.11,-22.71,18.61,41.16,-122.55,-52.50,43.41,-71.91,121.58,-13.19,-79.57
IncomeAdministrativExpenses_sy,,,,,9.90,37.35,13.91,7.89,11.81,17.27,12.50,6.35,11.43,-12.17,17.32,9.79,17.17,10.27,6.69,8.48,-0.28,-4.19,3.66,3.65,8.22,-4.37,1.24,5.68,2.44,0.98,3.94,5.84,0.87,12.04,11.39,18.61,9.22,13.75,2.52,8.10,2.78,-5.63,10.40,6.14
IncomeAdministrativExpenses_qq,,-7.34,40.85,-6.60,-18.73,43.13,4.85,-1.48,8.20,40.82,-26.50,16.28,7.67,29.65,-25.98,23.04,-13.19,34.44,-21.66,5.09,-10.60,44.52,-25.22,11.68,-2.79,69.88,-30.49,35.28,15.42,-1.68,-32.29,-46.18,13.55,736.43,-84.88,-17.40,35.13,-233.62,131.85,149.38,-73.53,2.68,28.10,-41.30
IncomeAdministrativExpenses_sq,,17.58,-7.56,17.83,-3.50,24.41,-5.38,9.81,-2.82,38.62,-21.61,18.76,-8.71,31.28,-6.88,3.08,-6.42,34.44,-21.66,5.50,-3.75,32.95,-17.24,10.18,-2.96,15.24,-12.64,7.93,0.82,13.01,-15.38,2.15,6.45,15.81,-7.08,3.60,0.98,14.29,-13.90,10.30,-3.22,12.75,-17.22,9.46
IncomeGrossProfit,753000,3327000,-1175000,1255000,1951000,4322000,-1849000,23000,1971000,216000,-260000,83000,584000,1231000,-2089000,-453000,550000,2517000,-1250000,2241000,-397000,558000,-581000,-613000,-939000,-4843000,-672000,-166000,3055000,-320000,-4739000,889000,-723000,-2554000,-1031000,4532000,2415000,-10608000,-1609000,-3785000,-1294000,-984000,-1403000,-627000
IncomeGrossProfit_yy,,,,,159.10,29.91,-57.36,-98.17,1.03,-95.00,85.94,260.87,-70.37,469.91,-703.46,-645.78,-5.82,104.47,40.16,594.70,-172.18,-77.83,53.52,-127.34,-136.60,-967.85,-15.63,72.94,425.27,93.39,-605.44,635.96,-123.67,-698.38,78.25,410.07,433.87,-315.39,-56.07,-183.51,-153.58,90.72,12.80,83.42
IncomeGrossProfit_sy,,,,,60.90,28.60,34.62,15.20,-15.13,41.27,5.53,-13.12,-4.40,7.22,-21.40,31.43,10.63,52.20,21.25,-14.25,-15.59,-35.32,-4.25,13.30,15.00,45.52,56.85,6.06,29.68,42.25,36.97,46.18,9.65,-15.76,-29.56,-13.08,-9.79,5.09,3.05,-5.43,5.66,-11.86,-8.32,19.41
IncomeGrossProfit_qq,,341.83,-135.32,206.81,55.46,121.53,-142.78,101.24,8469.57,-89.04,-220.37,131.92,603.61,110.79,-269.70,78.31,221.41,357.64,-149.66,279.28,-117.72,240.55,-204.12,-5.44,-53.33,-415.55,86.13,75.32,1942.99,-110.47,-1381.56,118.75,-181.41,-253.07,59.64,539.72,-46.72,-539.28,84.84,-135.30,65.81,23.95,-42.53,55.28
IncomeGrossProfit_sq,,-65.50,101.31,30.84,24.19,-50.74,130.05,9.55,15.92,-74.78,57.94,-6.86,56.37,-36.04,-0.80,8.40,26.21,19.73,-46.32,-37.22,40.19,-16.21,-36.51,33.70,17.53,-9.35,-5.56,12.14,20.96,3.02,3.32,0.72,1.82,-22.23,-5.48,-8.16,-6.93,5.79,13.53,-25.14,31.12,-28.36,12.68,3.02
IncomeOtherOperatingIncome,19000,22000,,0,11000,10000,3000,-1000,25000,50000,22000,17000,52000,63000,4000,13000,60000,-29000,38000,-1000,22000,1065000,879000,932000,570000,737000,1055000,676000,305000,1796000,260000,193000,433000,859000,117000,148000,400000,36086000,4374000,25640000,23394000,-1462000,19519000,-17024000
IncomeOtherOperatingIncome_yy,,,,,-42.11,-54.55,,,127.27,400.00,633.33,1800.00,108.00,26.00,-81.82,-23.53,15.38,-146.03,850.00,-107.69,-63.33,3772.41,2213.16,93332.50,2492.77,-30.84,19.97,-27.44,-46.56,143.81,-75.31,-71.42,41.96,-52.17,-55.19,-23.37,-7.60,4100.85,3650.13,17205.39,5751.06,-104.05,346.25,-166.39
IncomeOtherOperatingIncome_sy,,,,,49.68,-0.60,,,126.76,89.92,14.83,18.48,19.84,111.31,10.12,-6.10,18.99,-40.06,27.70,-32.78,-22.80,9.68,36.50,51.21,52.45,86.66,19.87,7.07,-20.08,-14.17,-18.78,-24.76,31.06,1.88,9.17,23.76,-4.70,23.89,-7.29,5.68,34.69,16.38,17.06,17.71
IncomeOtherOperatingIncome_qq,,15.79,-100.00,,,-9.09,-70.00,-133.33,2600.00,100.00,-56.00,-22.73,205.88,21.15,-93.65,225.00,361.54,-148.33,231.03,-102.63,2300.00,4740.91,-17.46,6.07,-38.82,29.14,43.16,-35.85,-54.94,489.15,-85.51,-25.73,123.82,98.51,-86.42,27.03,169.86,8925.19,-87.88,486.18,-8.76,-106.25,1434.75,-187.21
IncomeOtherOperatingIncome_sq,,95.78,-54.00,,,5.01,-56.29,185.37,2.99,59.80,-44.82,18.95,-40.00,104.82,-76.91,43.75,-4.96,7.45,-16.80,-10.22,18.53,29.58,6.46,2.25,8.08,25.67,-23.98,-0.62,-15.66,15.74,-29.68,-1.84,-27.50,52.14,-5.62,-1.74,4.00,38.33,-35.95,14.42,10.94,44.64,-26.84,-7.14
IncomeOtherOperatingCosts,42000,10000,,,368000,0,,,15000,123000,,,1000,733000,0,0,20000,854000,565000,0,0,406000,0,756000,1000,618000,1000,165000,3000,2930000,91000,2925000,180000,729000,62000,528000,48000,-364000,1000,5000,0,448000,0,45000
