,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2
IncomeRevenues,32318000,33827000,61039000,69604000,67563000,56189000,78762000,84087000,84184000,64311000,87494000,90579000,97918000,69180000,103078000,103209000,94649000,78600000,110975000,112027000,-66644000,45816000,70822000,78453000,79304000,57638000,82703000,86452000,79045000,54681000,114315000,88264000,123403000,64501000,88386000,80170000,76478000,44844000,71217000,76973000,67302000,50610000,75689000,76745000,68320000,52338000,63824000,34331000,28763000,28155000,33624000
IncomeRevenues_yy,,,,,109.06,66.11,29.03,20.81,24.60,14.45,11.09,7.72,16.31,7.57,17.81,13.94,-3.34,13.62,7.66,8.54,-170.41,-41.71,-36.18,-29.97,219.00,25.80,16.78,10.20,-0.33,-5.13,38.22,2.10,56.12,17.96,-22.68,-9.17,-38.03,-30.48,-19.43,-3.99,-12.00,12.86,6.28,-0.30,1.51,3.41,-15.68,-55.27,-57.90,-46.21,-47.32
IncomeRevenues_sy,,,,,3.86,42.39,0.76,56.82,42.56,40.86,67.60,14.45,8.56,22.27,19.68,-3.26,5.96,-1.26,-3.94,-8.13,0.86,-6.66,-24.65,11.91,11.54,1.90,7.60,-21.76,-6.12,-5.13,-5.06,2.10,1.05,1.47,-7.94,12.74,-14.98,-14.67,8.34,1.20,6.90,4.60,6.28,1.90,12.72,0.25,-2.12,-1.18,5.95,18.84,11.87
IncomeRevenues_qq,,4.67,80.44,14.03,-2.93,-16.83,40.17,6.76,0.12,-23.61,36.05,3.53,8.10,-29.35,49.00,0.13,-8.29,-16.96,41.19,0.95,-159.49,168.75,54.58,10.78,1.08,-27.32,43.49,4.53,-8.57,-30.82,109.06,-22.79,39.81,-47.73,37.03,-9.30,-4.60,-41.36,58.81,8.08,-12.56,-24.80,49.55,1.39,-10.98,-23.39,21.95,-46.21,-16.22,-2.11,19.42
IncomeRevenues_sq,,-16.79,2.78,9.50,11.99,-18.78,11.90,26.42,3.43,-3.32,12.88,2.16,14.16,-10.28,14.41,-17.73,16.92,-16.67,1.01,-17.30,15.97,-22.90,-2.20,13.84,5.28,-27.15,3.36,-8.77,3.17,-24.18,-0.94,-2.02,12.70,-7.66,-15.57,3.32,1.10,-12.06,0.74,8.32,6.73,-19.38,2.34,-1.57,29.39,-31.70,1.50,0.20,14.10,-3.86,6.83
IncomeCostOfSales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeCostOfSales_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeDistributionExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_yy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_qq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeAdministrativExpenses_sq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IncomeGrossProfit,10711000,-256000,24940000,18890000,15650000,6830000,19567000,37265000,10234000,-1819000,12568000,19032000,-81771000,-14710000,-319335000,37801000,7764000,8926000,53050000,31824000,-32704000,778000,31410000,15245000,8030000,-1111000,26816000,17224000,23237000,805000,36594000,26259000,131638000,8893000,5459000,36778000,-26584000,1124000,-65915000,17438000,147814000,11461000,58806000,34569000,28889000,24352000,85489000,20809000,44558000,13989000,20120000
IncomeGrossProfit_yy,,,,,46.12,2769.71,-21.54,97.28,-34.61,-126.64,-35.77,-48.93,-899.03,-708.57,-2640.82,98.62,109.50,160.68,116.61,-15.81,-521.20,-91.28,-40.79,-52.10,124.55,-242.76,-14.63,12.98,189.39,172.49,36.46,52.45,466.50,1004.11,-85.08,40.06,-120.19,-87.36,-1307.43,-52.59,656.03,919.20,189.21,98.25,-80.46,112.49,45.38,-39.81,54.24,-42.56,-76.46
IncomeGrossProfit_sy,,,,,78.17,2.96,-42.89,79.71,-1.82,27.28,28.94,13.80,10.00,3.50,-1.64,8.53,7.00,4.14,5.23,-14.48,18.56,-16.57,-20.97,26.06,54.98,12.36,-9.72,-11.25,-76.32,7.91,27.59,1.08,30.43,-9.34,-18.41,6.56,15.32,20.08,15.36,-1.64,0.12,10.04,25.95,16.95,59.25,21.26,12.22,2.61,-2.83,23.07,25.24
IncomeGrossProfit_qq,,-102.39,9848.90,-24.26,-17.15,-56.36,186.50,90.45,-72.54,-117.78,790.82,51.43,-529.65,82.01,-2070.82,111.84,-79.46,14.95,494.36,-40.01,-202.76,102.38,3935.73,-51.46,-47.33,-113.84,2513.39,-35.77,34.91,-96.53,4443.18,-28.24,401.31,-93.24,-38.61,573.70,-172.28,104.23,-5961.85,126.45,747.68,-92.25,413.11,-41.21,-16.43,-15.70,251.05,-75.66,114.13,-68.60,43.83
IncomeGrossProfit_sq,,-38.09,7.69,-9.20,-2.14,-15.81,-30.52,62.48,-48.40,22.28,-9.11,25.52,14.48,6.65,-5.12,0.22,5.29,4.18,-8.10,-33.70,26.49,-11.28,4.07,42.60,7.00,-59.83,9.73,4.27,-5.52,-4.24,5.88,-8.52,-15.94,10.01,0.62,8.56,0.18,-11.96,-3.03,13.61,0.30,-3.51,3.36,3.18,106.69,-25.26,5.62,-8.98,47.44,2.46,6.72
IncomeOtherOperatingIncome,151787000,1200000,28142000,6298000,12850000,5959000,17085000,3906000,104175000,32973000,15319000,-1295000,21288000,1227000,10535000,-114000,9301000,16735000,597000,199000,17956000,6102000,-4000,8739000,2319000,1328000,43000,0,3937000,11330000,330000,-1188000,-5585000,1235000,653000,-71000,503000,6906000,1451000,20875000,46877000,1174000,2168000,1470000,41404000,2127000,101914000,750000,14415000,,427000
IncomeOtherOperatingIncome_yy,,,,,-91.53,396.43,-39.29,-37.98,710.71,453.33,-10.34,-133.16,-79.57,-96.28,-31.23,91.20,-56.31,1263.84,-94.33,274.85,93.06,-63.54,-100.67,4283.54,-87.09,-78.24,1168.91,-100.00,69.78,753.48,674.66,,-241.87,-89.10,97.89,94.03,109.01,459.35,122.16,29508.39,9220.28,-83.00,49.42,-92.96,-11.67,81.19,4599.74,-49.01,-65.19,-100.00,-99.58
IncomeOtherOperatingIncome_sy,,,,,-91.53,27.62,81.08,30.66,418.60,189.34,-18.96,-7.56,29.66,40.96,-14.16,-57.44,-24.38,-42.32,22.52,129.16,97.65,59.90,-68.74,112.22,-76.60,-27.36,55.56,-44.73,12.50,21.69,-20.35,,-67.51,-45.37,-61.07,97.08,109.01,-25.29,111.08,-57.31,-20.96,61.05,7.69,-9.43,19.46,-6.69,-30.16,-11.11,-29.98,55.50,30.58
IncomeOtherOperatingIncome_qq,,-99.21,2244.41,-77.62,104.03,-53.63,186.72,-77.14,2567.10,-68.35,-53.54,-108.45,1743.63,-94.24,758.56,-101.08,8258.01,79.93,-96.43,-66.61,8907.27,-66.02,-100.07,219299.00,-73.46,-42.75,-96.79,-100.00,,187.80,-97.09,-459.93,-370.08,122.11,-47.09,-110.87,808.55,1273.16,-78.99,1338.41,124.56,-97.50,84.74,-32.19,2715.86,-94.86,4691.92,-99.26,1822.51,-100.00,
IncomeOtherOperatingIncome_sq,,-84.23,4.61,136.12,-32.85,19.34,160.82,-50.45,86.12,-41.53,6.63,-25.32,59.89,-35.94,-18.60,-41.67,105.52,-67.76,142.86,-75.14,509.51,-56.84,-11.54,-41.94,-38.18,-72.89,95.18,-40.71,,-10.81,20.07,-37.50,71.43,16.99,-36.70,85.74,79.34,-72.86,61.65,-35.58,140.00,-45.48,90.17,-52.68,172.85,-65.83,37.92,-7.04,173.77,-25.88,
IncomeOtherOperatingCosts,15790000,3503000,5002000,4549000,4061000,5622000,9961000,12220000,4854000,6868000,7899000,6264000,21409000,20911000,27828000,12731000,-3262000,14421000,10091000,8524000,3643000,8204000,7371000,5805000,11042000,6517000,8126000,5681000,18033000,11738000,14659000,11617000,13174000,12314000,9745000,11984000,15199000,10198000,13728000,12233000,181421000,14577000,13790000,17209000,20917000,12043000,18630000,12100000,20784000,9052000,13682000
