,2012/Q3,2012/Q4,2013/Q3,2013/Q4,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4
IncomeRevenues,83852000,-18430000,25348000,27840000,186236000,15229000,22530000,164953000,19298000,20021000,60423000,93648000,-57927000,102296000
IncomeCostOfSales,70490000,-24672000,-266673000,16452000,172039000,14492000,9086000,153066000,7019000,45236000,47191000,71826000,-59756000,76717000
IncomeDistributionExpenses,,,,,,,,,,,,,,
IncomeAdministrativExpenses,13263000,2739000,12961000,5491000,5963000,7860000,7401000,8947000,5629000,7364000,6582000,6700000,6162000,8941000
IncomeGrossProfit,99000,3504000,279060000,5897000,8234000,-7122000,6044000,2940000,6650000,-32579000,6650000,15122000,-4334000,16639000
IncomeOtherOperatingIncome,-17426000,-283190000,-556446000,-158958000,-2593000,-72476000,7148000,-45065000,-5947000,-115000,-68000,1124000,39218000,-220174000
IncomeOtherOperatingCosts,695000,1149000,10009000,20840000,1624000,4058000,2384000,692000,0,4700000,777000,9046000,513000,-1871000
IncomeEBIT,-18023000,-280835000,-287396000,-173900000,4017000,-83656000,10807000,-42816000,704000,-37395000,5805000,7200000,34371000,-201664000
IncomeFinanceIncome,5994000,24795000,-18741000,-3890000,681000,3789000,5794000,9970000,70484000,-26127000,15332000,-987000,388000,67170000
IncomeFinanceCosts,20939000,42983000,77846000,27094000,12915000,26682000,87251000,45308000,32976000,22479000,55062000,1757000,47911000,42860000
IncomeOtherIncome,5159000,4726000,-20044000,9028000,1791000,18076000,-720000,1455000,2111000,5595000,2429000,2545000,-4010000,17961000
IncomeNetGrossProfit,-27809000,-294297000,-404027000,-195856000,-6426000,-88473000,-71369000,-76699000,40322000,-80406000,-31497000,7001000,-17162000,-159392000
IncomeExtraordinarProfit,,,,,,,,,,,,,,
IncomeBeforeTaxProfit,-27809000,-294297000,-404027000,-195856000,-6426000,-88473000,-71369000,-76699000,40322000,-80406000,-31497000,7001000,-17162000,-159392000
IncomeDiscontinuedProfit,-3373000,2731000,2020000,166000,79000,,,,,,,,-26699000,-285622000
IncomeNetProfit,-378459000,-196034000,-5282000,-84909000,-72285000,-76820000,39902000,-83257000,-32598000,6966000,-18028000,-160472000,-26699000,-285622000
IncomeShareholderNetProfit,-378459000,-196034000,-5282000,-84909000,-72285000,-76820000,39902000,-83257000,-32598000,6966000,-18028000,-160472000,,
BalanceNoncurrentAssets,,755434000,209276000,2082205000,1828109000,1781492000,1578328000,1600635000,1569843000,1534678000,1501900000,1471910000,1329063000,
BalanceIntangibleAssets,,,,,,,,,,,,,,
BalanceProperty,89409000,28114000,27040000,20013000,17173000,15117000,10592000,10569000,10445000,10710000,10388000,10618000,,
BalanceNoncurrentReceivables,932000,,,11618000,11601000,12052000,12156000,33054000,12457000,18430000,,661385000,178362000,2052789000
BalanceNoncurrInvestments,1807290000,1760287000,1548552000,1575683000,1545493000,1511364000,1457388000,1448966000,1300015000,,4640000,1868000,2376000,806000
BalanceOtherNoncurrentAssets,4032000,3041000,2759000,1730000,713000,748000,99000,,2865967000,2429508000,341916000,228400000,199041000,206075000
BalanceCurrentAssets,109326000,100712000,111145000,128933000,166146000,96014000,,,,,,,,
BalanceInventory,,,,,,,,60877000,50284000,34185000,78541000,24218000,19496000,14822000
BalanceCurrentReceivables,12802000,51899000,12830000,37510000,36538000,,,,,48837000,,,,
BalanceCurrentInvestments,,,,,301170000,126767000,140462000,101022000,174822000,186579000,94504000,87910000,59245000,116103000
BalanceCash,128636000,59476000,,2503920000,2252457000,167269000,,,,,,,,
BalanceOtherCurrentAssets,,0,8846000,5167000,5917000,6112000,9895000,,88054000,,,3621401000,2647630000,2429289000
BalanceAssetsForSale,2062426000,1986645000,1794297000,1709961000,1670555000,1645822000,1718886000,1638055000,1425077000,,1807867000,1086140000,869759000,478997000
BalanceTotalAssets,506792000,388771000,428433000,349878000,314099000,332753000,306553000,162020000,,12150000,12531000,12325000,12410000,29222000
BalanceCapital,28757000,29060000,29217000,29264000,30341000,29563000,30331000,,,,,,,
BalanceShareCapital,,,,,,,,,1021927000,995734000,976869000,1003410000,1110461000,1133792000
BalanceOwnShares,1141404000,1149957000,1148072000,1190455000,1160286000,1198400000,,2927000,2576000,2513000,2764000,2864000,3213000,3247000
BalanceReserve,3264000,3270000,3390000,3303000,,544054000,380121000,1572000,1244506000,1198084000,1109649000,800629000,824616000,855201000
BalanceNonshareCapital,879769000,61264000,,,,,,,,,,,,6399000
BalanceNoncurrentLiabilities,6399000,2159000,,514966000,378501000,481478000,1130882000,1041738000,300951000,298464000,306422000,316246000,,
BalanceNoncurrentTradeLiabilities,,,,694167000,,,434780000,460953000,475033000,492103000,,,,
BalanceNoncurrentBorrowings,,,,,,,,,,,,29088000,1619000,1572000
BalanceNoncurrentObligations,68862000,67203000,67911000,64898000,65200000,67347000,65021000,59105000,,1266553000,1178793000,1555445000,1580665000,232483000
BalanceNoncurrentLeasing,204230000,168633000,516784000,503838000,527542000,448431000,1201793000,,30944000,12565000,10086000,8059000,8069000,3670000
BalanceNoncurrentOtherLiabilities,4073000,9473000,7619000,18450000,20616000,32928000,,1127006000,1059329000,1430373000,1440426000,166426000,168237000,137526000
BalanceCurrentLiabilities,136368000,136124000,140970000,108430000,364896000,,,,,,,,,
BalanceCurrentTradePayablesv,339062000,327186000,332683000,291750000,789109000,,,,,,,,,
BalanceCurrentBorrowings,,,,,,,108603000,106900000,114985000,132180000,57989000,32322000,27034000,31880000
BalanceCurrentObligations,32909000,35439000,27636000,14860000,,,,,,,,,,
BalanceCurrentLeasing,,,,,0,3621401000,2647630000,2429289000,2062426000,1986645000,0,1794297000,1709961000,1670555000
BalanceCurrentOtherLiabilities,1645822000,1718886000,1638055000,1425077000,,,,,,,,,,
BalanceReckoning,,,,,,,,,,,,,,
BalanceTotalEquityAndLiabilities,,,,,,,,,,,,,,
CashflowOperatingCashflow,-41348000,-133934000,-30948000,10248000,12614000,5174000,-1235000,21345000,-30611000,-852000,-16715000,-44622000,143413000,-220094000
CashflowAmortization,18352000,-22203000,4794000,-3193000,1186000,2323000,278000,835000,-381000,98000,94000,53000,69000,75000
CashflowInvestingCashflow,-41911000,271861000,24809000,6304000,-49129000,50125000,-2825000,-575000,14517000,-21000,51000,99432000,-96835000,171598000
CashflowCapex,-7039000,1889000,0,294000,292000,-273000,70000,-59000,0,,,-86254000,-173708000,-258438000
CashflowFinancingCashflow,-11703000,-7695000,17578000,-11400000,-7290000,-56950000,119000,-14205000,-5634000,-43616000,-15979000,,,
CashflowShareCapitalCash,,,,,,,,,,,,,,
CashflowDividend,,,,,,,,,,,,-169234000,-36140000,-264366000
CashflowNetCashflow,7979000,-44210000,72877000,-15461000,13481000,-73044000,-754000,-30869000,49176000,2962000,-64475000,,,
